"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"bladder cell","CL:1001319","Dcn",0,0,5.60861165179997,1,0.72
"bladder cell","CL:1001319","Col1a1",0,0,5.27773097029684,1,0.609
"bladder cell","CL:1001319","Col1a2",0,0,5.23119735077455,1,0.751
"bladder cell","CL:1001319","Col3a1",0,0,5.02398912728764,1,0.532
"bladder cell","CL:1001319","Sparc",0,0,4.68047490815935,1,0.783
"bladder cell","CL:1001319","Mgp",0,0,4.64956877502874,0.999,0.604
"bladder cell","CL:1001319","Serpinh1",0,0,4.26678120634388,0.999,0.456
"bladder cell","CL:1001319","Bgn",0,0,3.99369810693193,0.998,0.392
"bladder cell","CL:1001319","Plac9",0,0,3.85299620807492,0.999,0.337
"bladder cell","CL:1001319","Nbl1",0,0,3.84711148970444,0.999,0.413
"bladder cell","CL:1001319","Serping1",0,0,3.77376425600396,0.999,0.329
"bladder cell","CL:1001319","Lgals1",0,0,3.7054820424374,0.999,0.405
"bladder cell","CL:1001319","Fbln1",0,0,3.54543737394235,0.943,0.245
"bladder cell","CL:1001319","Gadd45g",0,0,3.47899687960997,0.971,0.522
"bladder cell","CL:1001319","Htra1",0,0,3.44185266529183,0.981,0.249
"bladder cell","CL:1001319","Col6a1",0,0,3.23230107312773,0.987,0.227
"bladder cell","CL:1001319","Igfbp6",0,0,3.11963696810872,0.922,0.166
"bladder cell","CL:1001319","Rcn3",0,0,3.1059034207758,0.98,0.197
"bladder cell","CL:1001319","Ppic",0,0,3.0909144874685,0.949,0.278
"bladder cell","CL:1001319","Rarres2",0,0,3.07874525167053,0.986,0.144
"bladder cell","CL:1001319","Pcolce",0,0,3.07764634491536,0.978,0.207
"bladder cell","CL:1001319","Mmp2",0,0,3.05800052603481,0.942,0.256
"bladder cell","CL:1001319","Tuba1a",0,0,3.04584138531166,0.983,0.258
"bladder cell","CL:1001319","Timp2",0,0,3.01316663232067,1,0.717
"bladder cell","CL:1001319","Cebpd",0,0,2.91209831415584,0.968,0.451
"bladder cell","CL:1001319","Socs3",0,0,2.90247314570402,0.961,0.412
"bladder cell","CL:1001319","Csrp2",0,0,2.86160472314899,0.983,0.648
"bladder cell","CL:1001319","Plac8",0,0,2.79947990898881,0.979,0.127
"bladder cell","CL:1001319","Cygb",0,0,2.77424438990243,0.96,0.131
"bladder cell","CL:1001319","Tcf21",0,0,2.76834297773386,0.923,0.069
"bladder cell","CL:1001319","Id3",0,0,2.74194670777803,0.994,0.696
"bladder cell","CL:1001319","Selm",0,0,2.74101133249833,0.994,0.217
"bladder cell","CL:1001319","Ecm1",0,0,2.67601578056028,0.962,0.435
"bladder cell","CL:1001319","Wnt2",0,0,2.65863798280487,0.934,0.113
"bladder cell","CL:1001319","Vim",0,0,2.6563630133969,0.996,0.322
"bladder cell","CL:1001319","Col6a2",0,0,2.64206362831119,0.959,0.18
"bladder cell","CL:1001319","Fbln5",0,0,2.62437610130506,0.903,0.125
"bladder cell","CL:1001319","Fn1",0,0,2.62287676119049,0.904,0.143
"bladder cell","CL:1001319","Nupr1",0,0,2.61026651159139,0.966,0.208
"bladder cell","CL:1001319","Ly6a",0,0,2.59557699361875,0.992,0.524
"bladder cell","CL:1001319","Fstl1",0,0,2.54308918065795,0.944,0.083
"bladder cell","CL:1001319","Rbp1",0,0,2.52636300466673,0.933,0.133
"bladder cell","CL:1001319","C1s",0,0,2.51016183971669,0.967,0.133
"bladder cell","CL:1001319","Mxra8",0,0,2.46613006495324,0.951,0.169
"bladder cell","CL:1001319","Prelp",0,0,2.45810849180726,0.899,0.18
"bladder cell","CL:1001319","Dkk3",0,0,2.44060034118201,0.939,0.166
"bladder cell","CL:1001319","Lsp1",0,0,2.43203428277656,0.955,0.179
"bladder cell","CL:1001319","Col5a2",0,0,2.42099051004495,0.927,0.106
"bladder cell","CL:1001319","Cd81",0,0,2.39866787802733,0.998,0.787
"bladder cell","CL:1001319","Junb",0,0,2.393726114293,1,0.996
"bladder cell","CL:1001319","Klf9",0,0,2.36817252527653,0.979,0.547
"bladder cell","CL:1001319","Ifitm3",0,0,2.36756727984235,0.999,0.742
"bladder cell","CL:1001319","Aebp1",0,0,2.3512902471471,0.92,0.096
"bladder cell","CL:1001319","Tmsb10",0,0,2.32672493545521,1,0.986
"bladder cell","CL:1001319","Aldh2",0,0,2.24947130106924,0.948,0.333
"bladder cell","CL:1001319","Cd302",0,0,2.2352780963377,0.932,0.082
"bladder cell","CL:1001319","Lhfp",0,0,2.19635467832128,0.93,0.118
"bladder cell","CL:1001319","Anxa5",0,0,2.1727018395496,0.975,0.668
"bladder cell","CL:1001319","Ctsk",0,0,2.13433133587354,0.808,0.093
"bladder cell","CL:1001319","Ifitm2",0,0,2.13221093420021,0.998,0.907
"bladder cell","CL:1001319","Bmp4",0,0,2.13032586440653,0.874,0.085
"bladder cell","CL:1001319","Ltbp4",0,0,2.12005622618396,0.952,0.427
"bladder cell","CL:1001319","Fkbp7",0,0,2.09867809148104,0.86,0.11
"bladder cell","CL:1001319","Crispld2",0,0,2.09234148657604,0.852,0.113
"bladder cell","CL:1001319","Col5a1",0,0,2.04848467701463,0.86,0.105
"bladder cell","CL:1001319","C1ra",0,0,2.04809972861887,0.869,0.078
"bladder cell","CL:1001319","Nkain4",0,0,1.94348832158688,0.82,0.056
"bladder cell","CL:1001319","Igfbp7",0,0,1.9421335479544,0.999,0.955
"bladder cell","CL:1001319","Cd63",0,0,1.92536653839236,0.995,0.948
"bladder cell","CL:1001319","Col16a1",0,0,1.91910473406643,0.825,0.091
"bladder cell","CL:1001319","Emp3",0,0,1.91701315377237,0.923,0.157
"bladder cell","CL:1001319","Fxyd1",0,0,1.91487844222962,0.904,0.08
"bladder cell","CL:1001319","Sepp1",0,0,1.82367803207154,0.992,0.793
"bladder cell","CL:1001319","Rcn1",0,0,1.80432733036315,0.932,0.55
"bladder cell","CL:1001319","Dynll1",0,0,1.74415101805171,0.994,0.9
"bladder cell","CL:1001319","Axl",0,0,1.70770296981881,0.854,0.128
"bladder cell","CL:1001319","Slc25a4",0,0,1.67688683135673,0.974,0.816
"bladder cell","CL:1001319","Nenf",0,0,1.50809348652533,0.991,0.899
"bladder cell","CL:1001319","Gnas",0,0,1.44904053520902,0.999,0.992
"bladder cell","CL:1001319","Arf4",2.29791486195047e-305,5.3635630792786e-301,1.52186314469692,0.982,0.92
"bladder cell","CL:1001319","Pmp22",2.35595419703664e-305,5.49903269130322e-301,1.97865429735952,0.879,0.17
"bladder cell","CL:1001319","Rhoc",9.07742898563226e-305,2.11876269953643e-300,1.81522496735928,0.877,0.194
"bladder cell","CL:1001319","Itih5",1.44259739053524e-303,3.36716656924831e-299,2.23982012032504,0.815,0.093
"bladder cell","CL:1001319","Ubb",1.5288878803788e-300,3.56857720159215e-296,1.76713331404352,0.999,0.992
"bladder cell","CL:1001319","0610007N19Rik",3.97107112658119e-300,9.26887711655315e-296,1.92382820783243,0.894,0.362
"bladder cell","CL:1001319","Pltp",3.70802031835153e-299,8.65489022506431e-295,2.10477429360257,0.889,0.225
"bladder cell","CL:1001319","Tubb6",1.83580682235236e-297,4.28495670405263e-293,1.95091254109224,0.904,0.333
"bladder cell","CL:1001319","Ctsl",1.68227365838957e-296,3.92659494604711e-292,2.14763675082081,0.963,0.737
"bladder cell","CL:1001319","Vcan",3.4221981477183e-296,7.98775269658929e-292,2.15752585967618,0.785,0.076
"bladder cell","CL:1001319","Ptgis",6.48853919395507e-296,1.51448993326105e-291,1.68607666321453,0.758,0.039
"bladder cell","CL:1001319","Egr1",1.21541313608741e-295,2.83689580094162e-291,2.01637386035037,0.998,0.937
"bladder cell","CL:1001319","Adam23",4.41121128828326e-295,1.0296208267982e-290,1.61950700783062,0.76,0.046
"bladder cell","CL:1001319","Serpinf1",2.10435865955648e-294,4.91178354727079e-290,2.08009022800861,0.792,0.094
"bladder cell","CL:1001319","Cald1",7.99167359420673e-293,1.86533653362379e-288,1.68602974585228,0.835,0.105
"bladder cell","CL:1001319","Txndc5",5.39873721458271e-292,1.26011925325575e-287,1.70768525212854,0.9,0.449
"bladder cell","CL:1001319","Smoc2",6.1055111686856e-292,1.42508736188291e-287,1.9914505541268,0.776,0.078
"bladder cell","CL:1001319","Col6a3",2.22167881300848e-289,5.1856205174431e-285,3.02590753641606,0.833,0.201
"bladder cell","CL:1001319","Pdpn",3.13769224941455e-288,7.3236874793585e-284,1.86353410775852,0.906,0.426
"bladder cell","CL:1001319","Col12a1",1.37866977721875e-287,3.21795312700628e-283,2.30973783743605,0.789,0.109
"bladder cell","CL:1001319","Nfkbia",1.85215606102125e-287,4.3231174620297e-283,2.3680613427668,0.967,0.622
"bladder cell","CL:1001319","Fosb",6.62669534283983e-286,1.54673695997224e-281,2.01501789501871,0.993,0.958
"bladder cell","CL:1001319","Cst3",1.38952357657142e-285,3.24328698007535e-281,0.968768726863429,1,0.98
"bladder cell","CL:1001319","Pdgfra",6.65836811678422e-285,1.55412970213861e-280,1.6287385426528,0.751,0.053
"bladder cell","CL:1001319","Akap12",1.20124568345331e-283,2.80382754974838e-279,2.36405778197558,0.874,0.258
"bladder cell","CL:1001319","Pnp",1.35365886248411e-283,3.15957515092415e-279,2.0429609078618,0.884,0.381
"bladder cell","CL:1001319","Zfp36l1",4.84334842096435e-281,1.13048595493729e-276,2.04610890835285,0.981,0.85
"bladder cell","CL:1001319","Rnase4",1.21502073542882e-280,2.8359798985644e-276,1.51492923961477,0.961,0.766
