"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"endothelial cell","CL:0000115","Cdh5",6.60675686326152e-101,1.54208311945387e-96,3.44724523377521,0.989,0.179
"endothelial cell","CL:0000115","C1qtnf9",1.24117478266582e-100,2.89702606022029e-96,3.05470556604801,0.864,0.038
"endothelial cell","CL:0000115","Gpihbp1",1.61336545887304e-100,3.76575631755557e-96,4.25124163709084,0.949,0.13
"endothelial cell","CL:0000115","1190002H23Rik",3.74759854053614e-100,8.7472697534654e-96,3.5892813255475,0.91,0.074
"endothelial cell","CL:0000115","Tcf15",1.00158940187131e-97,2.33780982290782e-93,3.31616117820121,0.887,0.067
"endothelial cell","CL:0000115","Ly6c1",3.67893137893333e-95,8.58699373156829e-91,4.88534059989109,0.989,0.273
"endothelial cell","CL:0000115","Cd300lg",1.60783898602611e-91,3.75285697728355e-87,2.95602618877056,0.921,0.112
"endothelial cell","CL:0000115","Cd36",2.52402809592285e-91,5.89133397869352e-87,4.12539012883057,1,0.387
"endothelial cell","CL:0000115","Tspan13",7.35999523189611e-89,1.71789648707687e-84,3.21954731334489,0.955,0.221
"endothelial cell","CL:0000115","Fabp4",1.38641643310464e-86,3.23603459650954e-82,5.78823114666909,1,0.593
"endothelial cell","CL:0000115","Mgll",2.12146145113703e-86,4.95170317309895e-82,3.5075691591572,0.927,0.213
"endothelial cell","CL:0000115","Tmem88",2.72392365963626e-84,6.35791021395699e-80,2.56292400378678,0.819,0.078
"endothelial cell","CL:0000115","Ushbp1",1.14398261484705e-83,2.67016982131451e-79,2.36793407464331,0.814,0.074
"endothelial cell","CL:0000115","Cldn5",7.046184315957e-83,1.64464988118752e-78,3.39433196805935,0.768,0.045
"endothelial cell","CL:0000115","Ptprb",2.68676567648185e-82,6.2711797654763e-78,2.74444968697104,0.898,0.154
"endothelial cell","CL:0000115","Eltd1",1.12366693706242e-81,2.62275099779739e-77,2.68375792841055,0.859,0.116
"endothelial cell","CL:0000115","Lims2",1.38900061069239e-81,3.2420663254171e-77,2.73920680680008,0.921,0.242
"endothelial cell","CL:0000115","Cav1",5.59077759011057e-81,1.30494339730771e-76,2.94681394173022,0.989,0.412
"endothelial cell","CL:0000115","Kdr",1.23126089805263e-80,2.87388606214464e-76,2.69945368372675,0.842,0.116
"endothelial cell","CL:0000115","Egfl7",2.0518865727166e-80,4.78930844937781e-76,2.68407280206445,0.977,0.262
"endothelial cell","CL:0000115","Myct1",9.72416232049183e-80,2.269716727226e-75,2.38025809424959,0.819,0.096
