"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"leukocyte","CL:0000738","Ptprcap",0,0,3.49395574818128,0.976,0.007
"leukocyte","CL:0000738","Cd2",0,0,2.47351979668544,0.643,0.001
"leukocyte","CL:0000738","Ltb",1.91080939030475e-291,4.46002019791033e-287,3.15195589344758,0.833,0.009
"leukocyte","CL:0000738","Ms4a4b",1.38516553875291e-272,3.23311488400318e-268,2.78928266207877,0.595,0.003
"leukocyte","CL:0000738","Cd3e",2.50230035040877e-261,5.8406192478891e-257,2.41830252295151,0.476,0.001
"leukocyte","CL:0000738","Cd28",1.81790740756983e-259,4.24317768000873e-255,1.87425293629491,0.452,0
"leukocyte","CL:0000738","Thy1",4.32068746468181e-249,1.00849166113138e-244,2.63936502111863,0.643,0.005
"leukocyte","CL:0000738","Cd3g",1.79265833391733e-224,4.18424381719643e-220,3.11921357016562,0.524,0.003
"leukocyte","CL:0000738","Cd3d",1.91914372711044e-224,4.47947337344847e-220,3.09685156827449,0.524,0.003
"leukocyte","CL:0000738","Lat",3.74183551314966e-205,8.73381827124263e-201,2.31900842730535,0.548,0.005
"leukocyte","CL:0000738","Gimap7",2.60672634244458e-204,6.08435995589991e-200,1.29046273847915,0.381,0.001
"leukocyte","CL:0000738","Ccr7",1.94145319019735e-193,4.53154589123962e-189,2.39981468615425,0.381,0.001
"leukocyte","CL:0000738","Nkg7",6.38770126358343e-192,1.49095335193301e-187,3.52519416486512,0.5,0.004
"leukocyte","CL:0000738","Ctsw",1.10249864043353e-188,2.5733420766359e-184,2.07418993998657,0.405,0.002
"leukocyte","CL:0000738","Sh2d1a",7.77270935121696e-184,1.81422808966755e-179,1.23936655703651,0.381,0.001
"leukocyte","CL:0000738","Sh2d2a",5.14994163939178e-170,1.20204787805043e-165,1.3077057808558,0.357,0.001
"leukocyte","CL:0000738","Zap70",6.70820402181764e-170,1.56576190073246e-165,1.07579066040905,0.357,0.001
"leukocyte","CL:0000738","Itk",1.20399517190415e-165,2.81024513074148e-161,1.21698554605231,0.333,0.001
"leukocyte","CL:0000738","Ms4a1",1.69097778372739e-159,3.94691124499809e-155,2.23275382400208,0.286,0
"leukocyte","CL:0000738","Sit1",1.76733184453307e-159,4.12512925832464e-155,1.00800364648236,0.286,0
"leukocyte","CL:0000738","Tbc1d10c",9.56346519474547e-154,2.23220841110554e-149,1.56315701679501,0.5,0.007
"leukocyte","CL:0000738","Il2rb",8.36610976985718e-152,1.95273368138236e-147,1.56427816303611,0.31,0.001
"leukocyte","CL:0000738","Lck",7.26575822956968e-150,1.69590062836386e-145,2.00945815537634,0.571,0.011
"leukocyte","CL:0000738","Tnfrsf18",7.27603137895147e-148,1.69829848416106e-143,1.55644731640668,0.452,0.006
"leukocyte","CL:0000738","Skap1",1.76417167391771e-143,4.11775310409132e-139,1.72252322980604,0.5,0.008
"leukocyte","CL:0000738","Cxcr6",7.88617981115273e-143,1.84071322972116e-138,2.18680148599934,0.31,0.001
"leukocyte","CL:0000738","Cd79a",6.75764569088243e-135,1.57730208070887e-130,3.7350875079115,0.31,0.002
"leukocyte","CL:0000738","Cd37",6.00275759080332e-134,1.4011036492694e-129,3.10385737485026,0.857,0.039
"leukocyte","CL:0000738","Il7r",2.11706204683188e-124,4.94143452351028e-120,1.76719196328668,0.262,0.001
"leukocyte","CL:0000738","Hcst",2.36035904972651e-124,5.50931405796664e-120,2.76252651197499,0.69,0.025
"leukocyte","CL:0000738","Cd247",4.44490557755255e-118,1.03748541085654e-113,1.74714568159607,0.381,0.005
"leukocyte","CL:0000738","Gimap3",5.06548471037177e-116,1.18233478624787e-111,2.23403636259022,0.643,0.023
"leukocyte","CL:0000738","Rac2",5.09609187790814e-114,1.18947880522254e-109,3.81990544951918,0.976,0.068
"leukocyte","CL:0000738","Sell",1.90258181047387e-110,4.44081620382706e-106,1.3894277381578,0.357,0.005
"leukocyte","CL:0000738","Ptpn22",1.48757649561101e-103,3.47215229840566e-99,1.53271890046522,0.476,0.013
"leukocyte","CL:0000738","Gpr171",2.69308051877138e-103,6.28591923886429e-99,1.29173795536371,0.333,0.005
"leukocyte","CL:0000738","Cd53",7.22559521133263e-96,1.68652617827715e-91,2.40117516159321,0.952,0.072
"leukocyte","CL:0000738","Acap1",2.11840620117722e-93,4.94457191416775e-89,1.14956593807218,0.381,0.008
"leukocyte","CL:0000738","Galnt6",3.14393594221341e-91,7.33826088272032e-87,0.763654406954946,0.262,0.003
"leukocyte","CL:0000738","Cd69",1.62087221946212e-88,3.78327784744654e-84,1.58371638444435,0.381,0.009
"leukocyte","CL:0000738","Itgal",3.77985501010512e-83,8.82255957908637e-79,1.20268890528548,0.405,0.012
"leukocyte","CL:0000738","Cd52",5.32410094723264e-82,1.24269840209357e-77,3.70613187298642,1,0.098
"leukocyte","CL:0000738","Ccl5",9.68084146156161e-81,2.2596052055431e-76,4.6548021225845,0.381,0.011
"leukocyte","CL:0000738","Coro1a",2.61228922058817e-80,6.09734426977486e-76,3.35904127065883,0.976,0.1
"leukocyte","CL:0000738","P2ry10",4.4623430586081e-76,1.04155549330972e-71,0.932076576305046,0.286,0.005
"leukocyte","CL:0000738","Cd7",5.22036538507542e-75,1.21848548453045e-70,2.54858465063147,0.262,0.004
"leukocyte","CL:0000738","Cxcr3",1.86884947534072e-74,4.36208156039277e-70,2.00201254493987,0.357,0.01
"leukocyte","CL:0000738","B4galnt1",9.53785025118527e-74,2.22622962712915e-69,2.29718655207721,0.762,0.063
"leukocyte","CL:0000738","Limd2",1.81856170453217e-73,4.24470487454853e-69,2.79620728601385,0.952,0.109
"leukocyte","CL:0000738","Rhoh",1.53995648213091e-71,3.59441242494176e-67,1.21577476076179,0.405,0.015
"leukocyte","CL:0000738","Itgb7",4.72485107920036e-71,1.10282749039616e-66,1.78841241750258,0.524,0.027
"leukocyte","CL:0000738","Rasal3",5.22413352412318e-71,1.21936500586559e-66,0.953624968252988,0.333,0.009
"leukocyte","CL:0000738","Arhgdib",6.72268216534619e-71,1.56914124421345e-66,3.13481370930714,0.976,0.121
"leukocyte","CL:0000738","Hmha1",7.24278990790085e-70,1.69053959240314e-65,2.24857715794952,0.738,0.061
"leukocyte","CL:0000738","Il21r",1.85878329273667e-65,4.33858608357666e-61,1.48906064699393,0.476,0.024
