"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"endothelial cell","CL:0000115","Fabp4",0,0,5.60387139645508,0.972,0.422
"endothelial cell","CL:0000115","Aqp1",0,0,5.08844539249105,0.804,0.316
"endothelial cell","CL:0000115","Gpihbp1",0,0,3.78564264729929,0.777,0.07
"endothelial cell","CL:0000115","Id1",0,0,3.66419625262858,0.794,0.182
"endothelial cell","CL:0000115","Cldn5",0,0,3.58077967103188,0.633,0.071
"endothelial cell","CL:0000115","Cdh5",0,0,3.41939726010139,0.895,0.059
"endothelial cell","CL:0000115","Cd36",0,0,3.40788446688666,0.89,0.167
"endothelial cell","CL:0000115","Tm4sf1",0,0,3.33466336233859,0.886,0.365
"endothelial cell","CL:0000115","Sdpr",0,0,3.31981022382418,0.888,0.134
"endothelial cell","CL:0000115","Pecam1",0,0,3.30028179499832,0.883,0.074
"endothelial cell","CL:0000115","Esam",0,0,3.25649281264417,0.894,0.09
"endothelial cell","CL:0000115","Egfl7",0,0,3.24453655739788,0.816,0.061
"endothelial cell","CL:0000115","Sox17",0,0,3.19516936088221,0.644,0.035
"endothelial cell","CL:0000115","Timp4",0,0,3.17689169782337,0.583,0.04
"endothelial cell","CL:0000115","Apold1",0,0,3.17579878043356,0.765,0.093
"endothelial cell","CL:0000115","Rnd1",0,0,3.17431951265698,0.72,0.239
"endothelial cell","CL:0000115","Cav1",0,0,3.1579662995424,0.939,0.328
"endothelial cell","CL:0000115","1190002H23Rik",0,0,3.10845797771156,0.814,0.316
"endothelial cell","CL:0000115","Iigp1",0,0,3.10486249324555,0.635,0.134
"endothelial cell","CL:0000115","Ctla2a",0,0,3.03632801119412,0.683,0.113
"endothelial cell","CL:0000115","Ly6c1",0,0,3.01874365200507,0.947,0.468
"endothelial cell","CL:0000115","Slc9a3r2",0,0,2.98179535588292,0.774,0.1
"endothelial cell","CL:0000115","Emcn",0,0,2.9636255954445,0.749,0.042
"endothelial cell","CL:0000115","C1qtnf9",0,0,2.89544676092844,0.702,0.038
"endothelial cell","CL:0000115","Eng",0,0,2.89333239544392,0.851,0.211
"endothelial cell","CL:0000115","Cav2",0,0,2.88735008556759,0.808,0.133
"endothelial cell","CL:0000115","Tspan13",0,0,2.86089441058085,0.891,0.223
"endothelial cell","CL:0000115","Tinagl1",0,0,2.85001159312202,0.824,0.098
"endothelial cell","CL:0000115","Tspan7",0,0,2.80360496503316,0.783,0.124
"endothelial cell","CL:0000115","Gng11",0,0,2.80045187906451,0.892,0.392
"endothelial cell","CL:0000115","Cd300lg",0,0,2.78915541048131,0.651,0.043
"endothelial cell","CL:0000115","Pim3",0,0,2.76795185010804,0.851,0.418
"endothelial cell","CL:0000115","Tcf15",0,0,2.76454152879653,0.623,0.066
"endothelial cell","CL:0000115","Fabp5",0,0,2.67986427316098,0.639,0.098
"endothelial cell","CL:0000115","Mgll",0,0,2.67490410125539,0.762,0.165
"endothelial cell","CL:0000115","1810011O10Rik",0,0,2.65983044251438,0.662,0.119
"endothelial cell","CL:0000115","Ptprb",0,0,2.6472369004106,0.685,0.04
"endothelial cell","CL:0000115","Flt1",0,0,2.62771866360337,0.696,0.033
"endothelial cell","CL:0000115","Rasip1",0,0,2.62326244278908,0.707,0.036
"endothelial cell","CL:0000115","Nrp1",0,0,2.52843068389871,0.817,0.299
"endothelial cell","CL:0000115","Gpr116",0,0,2.52057059268297,0.702,0.045
"endothelial cell","CL:0000115","Eltd1",0,0,2.51302509521811,0.673,0.026
"endothelial cell","CL:0000115","Ecscr",0,0,2.47855147649127,0.699,0.076
"endothelial cell","CL:0000115","Lims2",0,0,2.47024583747129,0.673,0.13
"endothelial cell","CL:0000115","Grrp1",0,0,2.43292675834895,0.526,0.021
"endothelial cell","CL:0000115","Mmrn2",0,0,2.41160498025099,0.643,0.035
"endothelial cell","CL:0000115","Hspb1",0,0,2.39499923371305,0.986,0.718
"endothelial cell","CL:0000115","Jam2",0,0,2.34836974060636,0.686,0.142
"endothelial cell","CL:0000115","Aqp7",0,0,2.28972518941977,0.487,0.016
"endothelial cell","CL:0000115","Cd93",0,0,2.27395647447357,0.629,0.052
"endothelial cell","CL:0000115","Epas1",0,0,2.25770682813456,0.689,0.119
"endothelial cell","CL:0000115","Tie1",0,0,2.22459231036163,0.618,0.027
"endothelial cell","CL:0000115","Scarb1",0,0,2.19957430863934,0.532,0.052
"endothelial cell","CL:0000115","Bcam",0,0,2.19105538634272,0.657,0.08
"endothelial cell","CL:0000115","F11r",0,0,2.18434307315941,0.639,0.045
"endothelial cell","CL:0000115","Gpr56",0,0,2.11150716499332,0.556,0.018
"endothelial cell","CL:0000115","Podxl",0,0,2.0576398818762,0.53,0.022
"endothelial cell","CL:0000115","Icam2",0,0,2.0562509230839,0.561,0.063
"endothelial cell","CL:0000115","S1pr1",0,0,2.02035780354763,0.649,0.117
"endothelial cell","CL:0000115","Ptrf",0,0,1.97492515072485,0.911,0.551
"endothelial cell","CL:0000115","Myct1",0,0,1.87776146729278,0.462,0.014
"endothelial cell","CL:0000115","Calm1",0,0,1.56143971237456,0.968,0.873
"endothelial cell","CL:0000115","Ifitm3",0,0,1.51475349057587,0.993,0.824
"endothelial cell","CL:0000115","B2m",0,0,1.41073120241022,0.998,0.971
"endothelial cell","CL:0000115","H2-D1",0,0,1.31843687900376,0.996,0.962
"endothelial cell","CL:0000115","Tgm2",8.49997416852118e-307,1.98397897067453e-302,2.33437301556732,0.668,0.182
