"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"hepatocyte","CL:0000182","Trf",7.18123103835492e-50,1.67617113666242e-45,3.17935704345585,0.999,0.79
"hepatocyte","CL:0000182","Serpina1a",1.68476490206679e-48,3.93240975791409e-44,2.616456624743,0.999,0.728
"hepatocyte","CL:0000182","Serpina1c",2.54814891313588e-48,5.94763437815045e-44,2.66254957466539,1,0.815
"hepatocyte","CL:0000182","Serpina3k",4.52865352108614e-48,1.05703301835672e-43,3.23920203482218,0.999,0.753
"hepatocyte","CL:0000182","Rbp4",7.72810897412793e-48,1.8038179156512e-43,2.65248413777433,0.999,0.654
"hepatocyte","CL:0000182","Serpina1b",2.13432942028986e-46,4.98173829989856e-42,2.51579306658253,0.999,0.741
"hepatocyte","CL:0000182","Gc",2.2572037866771e-46,5.26853935848301e-42,2.64970534585975,0.997,0.605
"hepatocyte","CL:0000182","Apoa2",1.14376738318067e-44,2.66966744908201e-40,2.11312145732968,1,1
"hepatocyte","CL:0000182","Scp2",4.03612023020371e-44,9.42070822931849e-40,2.32356444601359,0.994,0.728
"hepatocyte","CL:0000182","Apoa1",4.12350401984908e-44,9.62467073272973e-40,2.39413333903148,1,0.963
"hepatocyte","CL:0000182","Serpina1d",5.97164900779776e-44,1.39384259491008e-39,2.44128420092875,0.995,0.58
"hepatocyte","CL:0000182","Alb",6.98050168767587e-44,1.62931889892042e-39,2.75343950555174,1,0.975
"hepatocyte","CL:0000182","Fgb",1.1676297323146e-43,2.72536455819551e-39,2.94473513074491,0.987,0.457
"hepatocyte","CL:0000182","Hp",2.65501957301762e-43,6.19708118538042e-39,2.76066821821942,0.98,0.469
"hepatocyte","CL:0000182","Ahsg",9.3953042141785e-43,2.1929579566314e-38,2.5967110525116,0.993,0.654
"hepatocyte","CL:0000182","Cat",3.00459850653978e-42,7.0130333741145e-38,2.92274047853231,0.961,0.444
"hepatocyte","CL:0000182","Apoc4",2.45842347586133e-41,5.73820623500792e-37,2.1644904625332,0.993,0.667
"hepatocyte","CL:0000182","Ttr",4.29307607454149e-41,1.00204688655873e-36,2.12385303699985,1,0.963
