"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"myeloid cell","CL:0000763","Cd209a",0,0,3.07880360082567,0.632,0.012
"myeloid cell","CL:0000763","Flt3",0,0,1.05110253468638,0.483,0.004
"myeloid cell","CL:0000763","Clec9a",1.2209932262749e-305,2.84992028944825e-301,0.733501273343463,0.333,0.001
"myeloid cell","CL:0000763","Fgd2",6.03976644812431e-208,1.4097418866567e-203,1.35089721115661,0.713,0.033
"myeloid cell","CL:0000763","Upb1",1.06316141399754e-199,2.48152505641166e-195,0.908139457497639,0.333,0.005
"myeloid cell","CL:0000763","Gatm",1.0435710997272e-185,2.43579930387326e-181,0.721439959060177,0.356,0.007
"myeloid cell","CL:0000763","Kmo",1.58247532287593e-184,3.6936556511247e-180,0.726273492465887,0.414,0.01
"myeloid cell","CL:0000763","Mycl1",1.52165630440535e-181,3.55169798011254e-177,0.438050937327773,0.264,0.003
"myeloid cell","CL:0000763","Aif1",1.06517457650286e-169,2.48622397901532e-165,1.76222074683834,0.69,0.04
"myeloid cell","CL:0000763","Clec10a",6.22990588938616e-166,1.45412233364162e-161,1.0621155224142,0.402,0.012
"myeloid cell","CL:0000763","Ppfia4",1.32046097372286e-164,3.08208795876652e-160,1.34796864677303,0.724,0.045
"myeloid cell","CL:0000763","Nccrp1",2.26972724408014e-163,5.29777036040746e-159,0.496233787019573,0.264,0.004
"myeloid cell","CL:0000763","Pak1",1.93018735576411e-145,4.505250307089e-141,0.9407441271477,0.586,0.032
"myeloid cell","CL:0000763","Ly86",5.35325253499668e-131,1.24950267419358e-126,1.90597084971641,0.931,0.099
"myeloid cell","CL:0000763","Batf3",1.00161260448581e-127,2.33786398013034e-123,1.23067627694641,0.517,0.029
"myeloid cell","CL:0000763","H2-DMb1",8.34755874846477e-119,1.94840368747916e-114,2.86598360466798,0.954,0.141
"myeloid cell","CL:0000763","Tnni2",1.9865900950745e-118,4.63689994091339e-114,1.08034199903156,0.483,0.027
"myeloid cell","CL:0000763","Cfp",2.85147694580881e-103,6.65563233921233e-99,1.78032067666285,0.69,0.07
"myeloid cell","CL:0000763","H2-DMa",4.53261260982523e-102,1.05795710925931e-97,2.54847677080526,0.92,0.149
"myeloid cell","CL:0000763","Clec12a",1.01831132449758e-98,2.37684046250981e-94,1.20092579878794,0.69,0.068
"myeloid cell","CL:0000763","Evi2a",3.48349076064164e-98,8.13081578441366e-94,1.32718020519925,0.816,0.098
"myeloid cell","CL:0000763","Kctd14",3.37991223148812e-96,7.88905313951642e-92,0.491133144880225,0.322,0.014
"myeloid cell","CL:0000763","Ptpro",3.38918696514268e-95,7.91070129533954e-91,0.917631572138002,0.529,0.042
"myeloid cell","CL:0000763","Plbd1",8.24950427499605e-95,1.92551679282683e-90,1.96688340143667,0.736,0.089
"myeloid cell","CL:0000763","Slamf8",2.95488549547661e-90,6.89699823499196e-86,0.742099135899673,0.414,0.026
"myeloid cell","CL:0000763","Amica1",1.21965175107336e-89,2.84678915218034e-85,0.891725023987316,0.437,0.029
"myeloid cell","CL:0000763","Ciita",2.35060767598736e-89,5.48655337652209e-85,0.62697751256966,0.345,0.018
"myeloid cell","CL:0000763","Rgs18",1.22428947339735e-88,2.85761405985677e-84,0.733865506440337,0.402,0.025
"myeloid cell","CL:0000763","Pld4",1.02883986061303e-87,2.40141511865689e-83,1.79929726469814,0.897,0.135
"myeloid cell","CL:0000763","Clec4b1",1.21615737132249e-87,2.83863292040382e-83,0.795074029585142,0.425,0.029
"myeloid cell","CL:0000763","Plekho1",3.10441962693505e-86,7.24602585122911e-82,1.04844936839896,0.724,0.085
