"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"luminal epithelial cell of mammary gland","CL:0002326","Krt18",0,0,4.79793414550105,1,0.325
"luminal epithelial cell of mammary gland","CL:0002326","Expi",0,0,4.70374297498264,0.741,0.104
"luminal epithelial cell of mammary gland","CL:0002326","Krt19",0,0,4.45368870651161,0.998,0.26
"luminal epithelial cell of mammary gland","CL:0002326","Krt8",0,0,4.19497692599824,1,0.319
"luminal epithelial cell of mammary gland","CL:0002326","Epcam",0,0,3.65911765913592,1,0.259
"luminal epithelial cell of mammary gland","CL:0002326","Csn3",0,0,3.3785960178015,0.588,0.022
"luminal epithelial cell of mammary gland","CL:0002326","Cldn4",0,0,3.2671703995057,0.956,0.04
"luminal epithelial cell of mammary gland","CL:0002326","Cldn7",0,0,2.92054815188836,0.956,0.047
"luminal epithelial cell of mammary gland","CL:0002326","Fcgbp",0,0,2.75206671511759,0.619,0.024
"luminal epithelial cell of mammary gland","CL:0002326","Clu",0,0,2.54881343947492,0.954,0.154
"luminal epithelial cell of mammary gland","CL:0002326","Krt7",0,0,2.54352473817051,0.885,0.056
"luminal epithelial cell of mammary gland","CL:0002326","Prlr",0,0,2.53025475665401,0.569,0.031
"luminal epithelial cell of mammary gland","CL:0002326","Fxyd3",0,0,2.52183859576346,0.974,0.17
"luminal epithelial cell of mammary gland","CL:0002326","Sox9",0,0,2.49645700502932,0.937,0.133
"luminal epithelial cell of mammary gland","CL:0002326","3110079O15Rik",0,0,2.29352561794513,0.523,0.017
"luminal epithelial cell of mammary gland","CL:0002326","Cldn3",0,0,2.22147377026397,0.915,0.03
"luminal epithelial cell of mammary gland","CL:0002326","Basp1",0,0,2.15737399305365,0.911,0.144
"luminal epithelial cell of mammary gland","CL:0002326","Tacstd2",0,0,1.91480555055883,0.856,0.047
"luminal epithelial cell of mammary gland","CL:0002326","Cdh1",0,0,1.67133757488378,0.891,0.102
"luminal epithelial cell of mammary gland","CL:0002326","Ceacam1",0,0,1.64748255356196,0.651,0.033
"luminal epithelial cell of mammary gland","CL:0002326","Ppap2c",0,0,1.60537775428361,0.893,0.085
"luminal epithelial cell of mammary gland","CL:0002326","Acot1",0,0,1.58802347981198,0.625,0.036
"luminal epithelial cell of mammary gland","CL:0002326","Jup",0,0,1.51646410717087,0.924,0.164
"luminal epithelial cell of mammary gland","CL:0002326","Spint1",0,0,1.45700697728984,0.8,0.036
"luminal epithelial cell of mammary gland","CL:0002326","Rab25",0,0,1.39881955421572,0.821,0.024
"luminal epithelial cell of mammary gland","CL:0002326","Aqp5",0,0,1.38832636608349,0.654,0.017
"luminal epithelial cell of mammary gland","CL:0002326","Sgms2",0,0,1.37515286450838,0.791,0.097
"luminal epithelial cell of mammary gland","CL:0002326","Gm5480",0,0,1.36087422378609,0.819,0.012
"luminal epithelial cell of mammary gland","CL:0002326","S100a14",0,0,1.30776695597676,0.654,0.048
"luminal epithelial cell of mammary gland","CL:0002326","Cck",0,0,1.25111804541823,0.442,0.012
