"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"monocyte","CL:0000576","S100a4",0,0,3.21278392798006,0.97,0.228
"monocyte","CL:0000576","Gm11428",0,0,3.03403371535087,0.952,0.14
"monocyte","CL:0000576","Ccl9",0,0,2.76069962908014,0.95,0.244
"monocyte","CL:0000576","Ctss",0,0,2.74932314640079,0.998,0.385
"monocyte","CL:0000576","Ccr2",0,0,2.50533569703733,0.973,0.189
"monocyte","CL:0000576","Fn1",0,0,2.441132837308,0.832,0.114
"monocyte","CL:0000576","Ms4a6c",0,0,2.42828321093386,0.987,0.234
"monocyte","CL:0000576","Ms4a4c",0,0,2.20506216377779,0.869,0.155
"monocyte","CL:0000576","Clec4a3",0,0,1.91721695362061,0.779,0.052
"monocyte","CL:0000576","Slfn5",0,0,1.70834227649672,0.686,0.057
"monocyte","CL:0000576","Clec4a1",0,0,1.60240356463873,0.724,0.049
"monocyte","CL:0000576","Tgfbi",7.4382201409404e-306,1.7361549630969e-301,2.13596494230185,0.935,0.217
"monocyte","CL:0000576","Cx3cr1",1.32446514167325e-305,3.09143408717954e-301,1.62656610664716,0.716,0.084
"monocyte","CL:0000576","LOC100038947",8.05363846106362e-305,1.87979975319686e-300,1.45917289010309,0.516,0.018
"monocyte","CL:0000576","AI607873",5.58490478959844e-288,1.30357262694017e-283,1.54160029948272,0.691,0.077
"monocyte","CL:0000576","Ahnak",1.45924795082327e-282,3.4060306420166e-278,2.03043297634533,0.971,0.274
"monocyte","CL:0000576","Ccl6",3.27164741799944e-280,7.6363522383525e-276,2.4235020848072,0.985,0.361
"monocyte","CL:0000576","F13a1",2.65892158601959e-276,6.20618887392833e-272,2.16351975105467,0.899,0.19
"monocyte","CL:0000576","Clec7a",5.83116557521565e-268,1.36105235691108e-263,1.63754189406252,0.775,0.143
"monocyte","CL:0000576","Ifitm3",8.76432800980307e-268,2.04568180076813e-263,2.84827015832338,0.996,0.717
"monocyte","CL:0000576","Ccdc109b",1.78193955310938e-260,4.1592251109126e-256,1.28764698313887,0.707,0.102
"monocyte","CL:0000576","Ms4a6b",1.17409839401689e-256,2.74046306147482e-252,1.7214280465539,0.85,0.19
"monocyte","CL:0000576","Cd302",2.1991428443765e-256,5.13301931305918e-252,1.26748489020743,0.661,0.088
"monocyte","CL:0000576","Ifi204",7.56252790312846e-250,1.76516963786921e-245,1.62082063041733,0.653,0.087
"monocyte","CL:0000576","Csf1r",1.83828405667036e-249,4.29073881667429e-245,1.52527483089171,0.745,0.14
"monocyte","CL:0000576","Pid1",7.35861722367748e-247,1.71757484617856e-242,1.01023774184384,0.56,0.052
"monocyte","CL:0000576","Npc2",1.03246660444635e-245,2.40988030143823e-241,2.00454789327728,1,0.729
"monocyte","CL:0000576","Klra2",2.84565616298002e-241,6.64204605001166e-237,1.22700804292973,0.587,0.062
"monocyte","CL:0000576","Lrp1",1.34295132936176e-235,3.13458269786327e-231,0.973857428669364,0.507,0.041
"monocyte","CL:0000576","Mpeg1",2.15550590682325e-235,5.03116633711614e-231,1.57923989233607,0.97,0.301
"monocyte","CL:0000576","Ctsc",2.08683744783831e-234,4.8708872869994e-230,1.85180547905824,0.907,0.302
"monocyte","CL:0000576","Atf3",2.4704853350435e-232,5.76635982052503e-228,1.17624964198301,0.566,0.061
"monocyte","CL:0000576","Irf5",3.54443737302628e-231,8.27307127238064e-227,1.46367394498342,0.884,0.247
"monocyte","CL:0000576","Lgals3",1.21339729018842e-230,2.83219061502878e-226,2.10987125496158,0.996,0.606
"monocyte","CL:0000576","Apoc2",9.47836723949524e-229,2.21234569737058e-224,1.75513293931343,0.613,0.085
"monocyte","CL:0000576","Cst3",3.04271261233037e-228,7.10199550844031e-224,1.95803671855102,1,0.865
"monocyte","CL:0000576","Ftl1",9.92250896278816e-228,2.31601281700438e-223,1.39542271489211,1,1
"monocyte","CL:0000576","Emr1",3.18373527481068e-227,7.4311565049356e-223,1.08188712582756,0.545,0.059
"monocyte","CL:0000576","Ifi30",2.38427316909956e-225,5.56513200399528e-221,1.74605025404744,0.92,0.288
"monocyte","CL:0000576","Lyz1",8.25235122636287e-222,1.92618129974536e-217,2.3526497310165,0.983,0.602
"monocyte","CL:0000576","Pld4",1.85569122157876e-221,4.33136888028699e-217,1.42210472138028,0.962,0.281
"monocyte","CL:0000576","Metrnl",2.26323628633483e-221,5.28261981593412e-217,1.07938554212498,0.516,0.05
"monocyte","CL:0000576","Lyz2",5.275680103869e-217,1.23139649304406e-212,2.34539257522957,0.992,0.775
"monocyte","CL:0000576","Cd68",5.32376968047006e-215,1.24262108111852e-210,1.26112805939169,0.811,0.195
"monocyte","CL:0000576","Ly86",1.50463777633467e-210,3.51197503374276e-206,1.54583515713743,0.941,0.307
"monocyte","CL:0000576","Psap",5.36466065359058e-210,1.25216544315458e-205,1.98140193208832,1,0.801
"monocyte","CL:0000576","Mnda",1.47814490594425e-209,3.45013802496448e-205,1.4025320489963,0.598,0.09
"monocyte","CL:0000576","Klf4",2.04141600761383e-209,4.76486910337143e-205,1.59660336006103,0.903,0.281
"monocyte","CL:0000576","Anxa5",4.83493087309759e-209,1.12852121508971e-204,1.59331282741085,0.947,0.423
"monocyte","CL:0000576","Smpdl3a",9.72866046893954e-208,2.27076664005518e-203,1.98900569841711,0.92,0.469
"monocyte","CL:0000576","Naaa",1.04076494724183e-207,2.42924946335716e-203,1.26342966686106,0.699,0.142
"monocyte","CL:0000576","Samhd1",1.34332340698937e-204,3.1354511642539e-200,1.68218716158249,0.949,0.469
"monocyte","CL:0000576","Lamp1",4.3284481345636e-204,1.01030307908849e-199,1.67224109305235,0.99,0.706
"monocyte","CL:0000576","Rassf4",5.57198448345388e-204,1.30055689828297e-199,1.31401750423017,0.781,0.205
"monocyte","CL:0000576","Ifi27l2a",9.86922241897881e-203,2.30357520481385e-198,2.57485664317175,0.949,0.527
"monocyte","CL:0000576","Fcgr1",2.76451881540055e-200,6.45266336702643e-196,1.14367181366411,0.438,0.035
"monocyte","CL:0000576","Fxyd5",5.62462836054081e-200,1.31284450563383e-195,1.60115834350095,0.987,0.721
"monocyte","CL:0000576","Nupr1",6.03102350850554e-197,1.40770119712028e-192,0.930107355955452,0.47,0.047
"monocyte","CL:0000576","Emilin2",2.6287292386011e-193,6.13571691581882e-189,1.28382909095681,0.794,0.215
"monocyte","CL:0000576","Fcer1g",1.26560356498544e-189,2.95404528103252e-185,1.34333087227947,0.998,0.813
"monocyte","CL:0000576","Tpd52",7.3211465175618e-189,1.7088288086641e-184,1.41022132657347,0.95,0.44
"monocyte","CL:0000576","Ms4a8a",1.33690461130632e-187,3.12046905325008e-183,0.754808513964145,0.366,0.02
"monocyte","CL:0000576","Arpc1b",1.93952934225467e-184,4.52705543775664e-180,1.14093398452767,1,0.894
"monocyte","CL:0000576","Ifitm2",1.3948848573297e-182,3.25580074549326e-178,1.57936024531471,0.973,0.667
"monocyte","CL:0000576","Ptpro",1.9537281970834e-182,4.56019698481236e-178,0.889215571006377,0.52,0.074
"monocyte","CL:0000576","Cd300a",1.71655961753179e-180,4.00662180328095e-176,1.36526016025303,0.785,0.267
"monocyte","CL:0000576","Atox1",6.8229369238738e-180,1.59254170740138e-175,1.29765894846518,0.996,0.776
"monocyte","CL:0000576","Fos",1.76607859645396e-177,4.12220405198318e-173,1.545400575919,0.998,0.877
"monocyte","CL:0000576","Gm2a",1.45466970110152e-176,3.39534454934107e-172,1.4503239718459,0.935,0.414
"monocyte","CL:0000576","Cebpb",1.78373380044407e-173,4.1634130636165e-169,1.73663696729681,0.941,0.531
"monocyte","CL:0000576","Fau",3.68231267753654e-173,8.59488602063804e-169,0.78451672169938,1,0.994
"monocyte","CL:0000576","Crip1",1.20513355434981e-172,2.81290222920788e-168,1.79536607166502,0.989,0.7
"monocyte","CL:0000576","Glud1",3.30734017270589e-172,7.71966269711281e-168,1.3866703684937,0.93,0.529
"monocyte","CL:0000576","Hpgd",2.62014672357193e-170,6.11568446748923e-166,1.13971428076107,0.337,0.019
"monocyte","CL:0000576","Lsp1",4.66185359025085e-170,1.08812324650045e-165,1.41719095543962,0.975,0.763
"monocyte","CL:0000576","Tmsb10",3.24116540826529e-167,7.56520417943202e-163,1.69027764785854,1,0.942
"monocyte","CL:0000576","Lst1",4.54323621926988e-164,1.06043676593978e-159,1.579574065198,0.954,0.583
"monocyte","CL:0000576","Sirpb1b",4.84444616464814e-164,1.13074217929052e-159,0.767314381132914,0.379,0.031
"monocyte","CL:0000576","Ctsh",6.10766720568588e-164,1.42559060247914e-159,1.27346524300072,0.968,0.519
"monocyte","CL:0000576","Atp2b1",1.00305190399634e-160,2.34122344911785e-156,1.2442448326557,0.844,0.361
"monocyte","CL:0000576","Susd3",4.41739302047686e-159,1.0310637049095e-154,1.03718980366173,0.558,0.11
"monocyte","CL:0000576","Sepp1",4.58909040748117e-159,1.07113959201018e-154,1.52471766011647,0.855,0.36
