"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"B cell","CL:0000236","Cd79a",0,0,3.82107152987673,0.993,0.305
"B cell","CL:0000236","Cd79b",0,0,3.45745935884304,0.985,0.284
"B cell","CL:0000236","Ly6d",0,0,3.36191326643557,0.977,0.249
"B cell","CL:0000236","Ms4a1",0,0,3.14760090386552,0.912,0.116
"B cell","CL:0000236","Faim3",0,0,2.91721377864814,0.864,0.13
"B cell","CL:0000236","2010001M09Rik",0,0,2.52768617616862,0.759,0.105
"B cell","CL:0000236","Cd74",0,0,2.31784003189521,0.999,0.848
"B cell","CL:0000236","Tnfrsf13c",0,0,2.19554844659316,0.7,0.07
"B cell","CL:0000236","Vpreb3",0,0,2.09590364958287,0.537,0.048
"B cell","CL:0000236","Cd24a",0,0,1.99639861625498,0.665,0.12
"B cell","CL:0000236","Mef2c",0,0,1.99367696884447,0.7,0.11
"B cell","CL:0000236","H2-Ob",0,0,1.93559781237397,0.747,0.17
"B cell","CL:0000236","Bank1",0,0,1.89855385502525,0.66,0.077
"B cell","CL:0000236","H2-Aa",0,0,1.85053743696708,0.993,0.475
"B cell","CL:0000236","Fcer2a",0,0,1.79966039914843,0.505,0.047
"B cell","CL:0000236","Fcrla",0,0,1.79347134117741,0.604,0.069
"B cell","CL:0000236","Cd37",0,0,1.7578009618728,0.948,0.606
"B cell","CL:0000236","Cd19",0,0,1.74401205081023,0.626,0.086
"B cell","CL:0000236","Cr2",0,0,1.73931507416465,0.498,0.048
"B cell","CL:0000236","Serpinb1a",0,0,1.73694111554576,0.54,0.067
"B cell","CL:0000236","H2-Eb1",0,0,1.70184327880497,0.99,0.459
"B cell","CL:0000236","Cd22",0,0,1.6595245212684,0.584,0.075
"B cell","CL:0000236","H2-Ab1",0,0,1.65896394209328,0.993,0.589
"B cell","CL:0000236","Chchd10",0,0,1.65433977387488,0.627,0.162
"B cell","CL:0000236","Swap70",0,0,1.64045186778718,0.588,0.093
"B cell","CL:0000236","Ly86",0,0,1.56259167259761,0.712,0.164
"B cell","CL:0000236","Serp1",0,0,1.56034374733778,0.859,0.398
"B cell","CL:0000236","Scd1",0,0,1.55657308558228,0.523,0.048
"B cell","CL:0000236","Pou2af1",0,0,1.5550234406904,0.523,0.057
"B cell","CL:0000236","Pkig",0,0,1.55396204404395,0.587,0.105
"B cell","CL:0000236","Spib",0,0,1.51231242990833,0.48,0.058
"B cell","CL:0000236","Ralgps2",0,0,1.50396665451387,0.534,0.081
"B cell","CL:0000236","Capg",0,0,1.48818021698463,0.702,0.209
"B cell","CL:0000236","Snx2",0,0,1.48430927795381,0.674,0.234
"B cell","CL:0000236","Fcrl1",0,0,1.4702745849797,0.526,0.078
"B cell","CL:0000236","H2-Oa",0,0,1.46029780062372,0.685,0.194
"B cell","CL:0000236","Blnk",0,0,1.4494443261084,0.512,0.063
"B cell","CL:0000236","Napsa",0,0,1.42730778956109,0.777,0.21
"B cell","CL:0000236","Blk",0,0,1.41887736300353,0.476,0.043
"B cell","CL:0000236","Pold4",0,0,1.3620267844392,0.682,0.322
"B cell","CL:0000236","1110003E01Rik",0,0,1.31219993088459,0.777,0.419
"B cell","CL:0000236","Unc93b1",0,0,1.28666779177353,0.701,0.224
"B cell","CL:0000236","H2-DMa",0,0,1.18898252965713,0.66,0.22
"B cell","CL:0000236","Cd81",0,0,1.16839661016218,0.645,0.174
"B cell","CL:0000236","Serinc3",0,0,1.15296534437666,0.789,0.413
"B cell","CL:0000236","H3f3a",0,0,1.138903648404,0.993,0.954
"B cell","CL:0000236","Ly6e",0,0,1.04432908129694,0.989,0.864
"B cell","CL:0000236","Fth1",0,0,0.522550218373071,0.997,0.987
"B cell","CL:0000236","Hvcn1",2.02631816518069e-304,4.72962922934824e-300,1.49734160736858,0.612,0.222
"B cell","CL:0000236","Apobec3",1.40277925148365e-301,3.27422705088798e-297,1.04994582596199,0.819,0.505
"B cell","CL:0000236","Cd55",4.89568856395003e-291,1.14270266771158e-286,1.51528926962964,0.527,0.131
"B cell","CL:0000236","Ctss",7.20875852482198e-273,1.6825963272787e-268,0.683815731738111,0.874,0.551
"B cell","CL:0000236","Ly6a",4.34663059334345e-269,1.0145470467923e-264,1.31398721484515,0.639,0.255
"B cell","CL:0000236","Bcl11a",1.0328693309032e-267,2.41082030526115e-263,1.26545191787301,0.471,0.09
"B cell","CL:0000236","Irf8",2.90473035533879e-261,6.77993112239626e-257,0.752492517234327,0.643,0.209
"B cell","CL:0000236","Ctsh",1.42422327322219e-260,3.32427954202791e-256,0.902859824181327,0.628,0.194
"B cell","CL:0000236","Ptpn6",2.32494818597399e-256,5.42666156088189e-252,1.10388709967227,0.744,0.44
"B cell","CL:0000236","Lmo2",1.10785407774078e-252,2.58584220285475e-248,1.32235145180212,0.45,0.092
"B cell","CL:0000236","Snn",1.44656468493313e-249,3.37642663110242e-245,1.21295142589623,0.406,0.052
"B cell","CL:0000236","Plac8",3.8054043684673e-246,8.88219433643953e-242,0.969538297272848,0.737,0.392
"B cell","CL:0000236","Cd72",7.73579855365024e-245,1.8056127404075e-240,1.24324803692218,0.551,0.193
"B cell","CL:0000236","Dok3",7.22634098300088e-239,1.68670024884223e-234,1.18318792728022,0.427,0.075
"B cell","CL:0000236","Ptp4a3",1.52795728030343e-238,3.56640508795624e-234,1.08214166887094,0.666,0.348
"B cell","CL:0000236","1300014I06Rik",6.24084473416623e-238,1.45667556940174e-233,1.28589380742127,0.373,0.036
"B cell","CL:0000236","Pxk",1.08435426837259e-236,2.53099129780846e-232,1.19288293391993,0.483,0.13
"B cell","CL:0000236","Cd38",1.88610281915159e-219,4.40235259018172e-215,1.08801119516487,0.402,0.071
"B cell","CL:0000236","Mif4gd",1.41957639798497e-218,3.31343327053671e-214,1.09210188060294,0.533,0.195
