"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"immature T cell","CL:0002420","Satb1",5.99094908702592e-35,1.39834742640272e-30,2.45995207324879,0.979,0.68
"immature T cell","CL:0002420","Lck",4.98201520059032e-32,1.16285216796979e-27,1.69894493623117,0.993,0.72
"immature T cell","CL:0002420","Tcf7",2.74308547963345e-30,6.40263581801244e-26,2.19405092305686,0.839,0.147
"immature T cell","CL:0002420","Lat",2.48454262632864e-29,5.79917094411367e-25,1.51070083465944,0.976,0.773
"immature T cell","CL:0002420","Hnrnpk",4.81507173174431e-28,1.12388589290644e-23,1.38100636210543,0.956,0.8
"immature T cell","CL:0002420","Cd8b1",1.1265274688428e-27,2.62942776502598e-23,3.17352066246509,0.886,0.533
"immature T cell","CL:0002420","Ramp1",2.92549840794951e-27,6.82840583399494e-23,1.7616630655649,0.904,0.427
"immature T cell","CL:0002420","H3f3a",1.44936581637169e-26,3.38296475199317e-22,1.08218608943759,0.999,0.987
"immature T cell","CL:0002420","Ap3s1",8.00227498441758e-26,1.86781100411291e-21,2.00251924285786,0.856,0.36
"immature T cell","CL:0002420","Cd247",8.43455622965931e-25,1.96870976956478e-20,1.69524409285235,0.895,0.373
"immature T cell","CL:0002420","Dntt",1.17541281591431e-24,2.74353105362559e-20,3.14265935640086,0.799,0.32
"immature T cell","CL:0002420","Smc4",1.32823363724185e-24,3.10023013268619e-20,2.07622212114225,0.821,0.267
"immature T cell","CL:0002420","Sh2d1a",4.35438792882975e-24,1.01635768646815e-19,1.84622768890802,0.836,0.32
"immature T cell","CL:0002420","Ldhb",8.60501485383881e-24,2.00849651703452e-19,2.01242827749635,0.835,0.32
"immature T cell","CL:0002420","1190002H23Rik",1.65045543261634e-23,3.85232802526981e-19,1.9595488218181,0.778,0.253
"immature T cell","CL:0002420","Slc25a5",1.99270985636485e-23,4.65118407574121e-19,1.04864805578882,0.992,0.933
"immature T cell","CL:0002420","Endou",1.99417659139209e-23,4.65460758196828e-19,2.59784656526048,0.739,0.16
"immature T cell","CL:0002420","Hnrnpf",4.71869995418871e-23,1.10139175630719e-18,0.954597058162332,0.99,0.987
"immature T cell","CL:0002420","Hmgb1",5.34562189697649e-23,1.24772160697328e-18,1.94948628076737,0.987,0.987
"immature T cell","CL:0002420","Atp5b",1.46207764777433e-22,3.41263543767006e-18,1.12558494328463,0.975,0.933
"immature T cell","CL:0002420","Ccr9",7.07117549233366e-22,1.6504830716656e-17,2.18602810269813,0.764,0.147
"immature T cell","CL:0002420","Ywhae",7.49556401157054e-22,1.74953959594068e-17,1.30427582803145,0.891,0.68
"immature T cell","CL:0002420","Cd8a",7.87016614658687e-22,1.83697548027484e-17,2.73169429101392,0.857,0.667
"immature T cell","CL:0002420","Spint2",5.16036925934769e-21,1.20448178882434e-16,1.47248158998143,0.891,0.56
"immature T cell","CL:0002420","Bcl11b",7.14780997262164e-21,1.66837032570962e-16,1.69362657548965,0.799,0.293
"immature T cell","CL:0002420","Cyb5",1.06143250373111e-20,2.47748960695879e-16,1.57501364618974,0.889,0.64
"immature T cell","CL:0002420","Xrcc6",2.02783482292085e-20,4.73316926017957e-16,1.86778653838106,0.706,0.187
"immature T cell","CL:0002420","Thy1",2.74880583602719e-20,6.41598770187107e-16,1.44973336283844,0.933,0.76
"immature T cell","CL:0002420","Coro1a",6.15204706401531e-20,1.43594930521181e-15,0.81230795931667,1,0.96
"immature T cell","CL:0002420","Stmn1",6.81965377536807e-20,1.59177538770866e-15,2.35550036354272,0.857,0.587
"immature T cell","CL:0002420","Arpp21",1.8002041143221e-19,4.20185642323921e-15,2.02982475245591,0.693,0.173
"immature T cell","CL:0002420","Ezr",3.63042769409336e-19,8.47378128078331e-15,1.361290037656,0.865,0.44
"immature T cell","CL:0002420","Atp5a1",3.86232313412067e-19,9.01504842735105e-15,1.01038645218542,0.942,0.84
"immature T cell","CL:0002420","H2afv",3.96801086923656e-19,9.26173416988506e-15,1.75858631041593,0.874,0.667
"immature T cell","CL:0002420","H3f3b",4.82325248992768e-19,1.12579536367402e-14,0.939180554386462,0.999,1
"immature T cell","CL:0002420","Psma6",2.69790353481888e-18,6.29717664062074e-14,1.15922436826918,0.836,0.64
"immature T cell","CL:0002420","Pycard",4.98945762696531e-18,1.16458930470997e-13,1.26956514757386,0.898,0.667
"immature T cell","CL:0002420","Anp32e",6.60641487660154e-18,1.54200329634756e-13,2.03330531661063,0.771,0.48
"immature T cell","CL:0002420","Hnrnpa2b1",9.72868364841158e-18,2.27077205037575e-13,1.14250907146015,0.944,0.933
"immature T cell","CL:0002420","Hnrnpm",3.3690432463526e-17,7.8636838413116e-13,1.15816312247816,0.81,0.533
"immature T cell","CL:0002420","Rmnd5a",4.30025546005522e-17,1.00372262693149e-12,1.84700595799884,0.66,0.187
"immature T cell","CL:0002420","Aqp11",4.49836265735107e-17,1.04996282785231e-12,1.74854375870023,0.601,0.08
"immature T cell","CL:0002420","Sox4",5.34190612091531e-17,1.24685430768284e-12,1.59142964038179,0.668,0.147
"immature T cell","CL:0002420","Gmfg",1.48220260187146e-16,3.45960909302817e-12,1.39333419432526,0.925,0.693
"immature T cell","CL:0002420","Nono",1.83199899433473e-16,4.2760688526767e-12,1.10525522676376,0.849,0.587
"immature T cell","CL:0002420","Cd27",1.97228881047427e-16,4.603519312528e-12,1.42964211053836,0.88,0.533
"immature T cell","CL:0002420","Ssbp2",1.02251936376042e-15,2.38666244695319e-11,1.35901583755503,0.567,0.053
"immature T cell","CL:0002420","Tubb5",1.06835888318012e-15,2.49365646923072e-11,1.33926432764136,0.958,0.893
"immature T cell","CL:0002420","Ubb",2.16681402807605e-15,5.05756062293231e-11,0.89451130065079,1,1
"immature T cell","CL:0002420","Eif4a1",2.50613834041748e-15,5.84957750036844e-11,0.837102653491235,0.971,0.853
"immature T cell","CL:0002420","Rtn3",2.53016141023144e-15,5.90564974762121e-11,1.2430763959989,0.748,0.413
"immature T cell","CL:0002420","Pdlim1",3.76445583141082e-15,8.786616356096e-11,1.20900782916838,0.653,0.187
"immature T cell","CL:0002420","Mdh2",4.02093388337477e-15,9.38526177718504e-11,0.945111967963311,0.845,0.627
"immature T cell","CL:0002420","Hnrnpu",4.28139270833302e-15,9.9931987205201e-11,0.999525864314236,0.897,0.733
"immature T cell","CL:0002420","Cd4",5.25343429990751e-15,1.22620409994141e-10,1.51783436635545,0.648,0.187
"immature T cell","CL:0002420","Rhoh",5.60168903094369e-15,1.30749023671257e-10,1.22465653385677,0.802,0.453
"immature T cell","CL:0002420","Cfl1",6.27423067220343e-15,1.464468181199e-10,0.610665187879995,0.998,1
"immature T cell","CL:0002420","Tsc22d4",1.01653713710593e-14,2.37269933171895e-10,1.19065729110302,0.832,0.587
"immature T cell","CL:0002420","Ppp1ca",1.33361281780126e-14,3.11278567802993e-10,0.736600184078485,0.95,0.907
"immature T cell","CL:0002420","Sfpq",2.43923909595946e-14,5.69342797387898e-10,1.12213389417728,0.816,0.533
"immature T cell","CL:0002420","Nsg2",2.7519745280173e-14,6.42338374584518e-10,1.25353405239223,0.547,0.067
"immature T cell","CL:0002420","Atp5h",2.84223963371575e-14,6.63407152905594e-10,0.727221309921001,0.98,0.973
"immature T cell","CL:0002420","Vdac1",4.43968443894114e-14,1.03626674489325e-09,1.10534346827179,0.743,0.44
"immature T cell","CL:0002420","Txn1",4.5822030671293e-14,1.06953201789865e-09,1.05031284195829,0.894,0.813
"immature T cell","CL:0002420","Rag1",4.99660799510337e-14,1.16625827213708e-09,1.82677751915204,0.578,0.133
"immature T cell","CL:0002420","Cd3e",6.40009204027467e-14,1.49384548312051e-09,0.902219452273272,0.97,0.733
"immature T cell","CL:0002420","Atp5f1",9.21102237692675e-14,2.14994473299847e-09,0.778349835528424,0.911,0.773
"immature T cell","CL:0002420","Paip2",9.84492606055396e-14,2.2979041917939e-09,0.978720933637523,0.9,0.64
"immature T cell","CL:0002420","Ewsr1",1.52878622654157e-13,3.56833993137068e-09,0.972218505413097,0.797,0.56
"immature T cell","CL:0002420","Edem1",1.58512200566847e-13,3.69983327343079e-09,1.22660925415555,0.68,0.32
"immature T cell","CL:0002420","Skp1a",2.76489209706921e-13,6.45353464376925e-09,1.12296031197266,0.724,0.347
"immature T cell","CL:0002420","Hnrnpc",2.94728125071831e-13,6.87924916730161e-09,0.861183762185475,0.894,0.733
"immature T cell","CL:0002420","Hnrnpab",3.56263634072997e-13,8.31554948289782e-09,1.13287211906496,0.781,0.573
"immature T cell","CL:0002420","Tra2b",3.69443030776348e-13,8.62316978135073e-09,0.967821763982689,0.778,0.52
"immature T cell","CL:0002420","Ptma",3.78452811720852e-13,8.83346707837642e-09,1.28119244386466,0.997,1
"immature T cell","CL:0002420","Dnaja1",4.76759405465768e-13,1.11280412829765e-08,0.903817396752731,0.844,0.613
"immature T cell","CL:0002420","Cd3d",4.86572750895326e-13,1.13570945786478e-08,0.927357243199931,0.995,0.827
"immature T cell","CL:0002420","Emb",5.17880773899995e-13,1.20878551435998e-08,1.06175119771111,0.631,0.2
"immature T cell","CL:0002420","Tubb2b",6.80302278494345e-13,1.58789354823365e-08,1.7011783351085,0.538,0.08
"immature T cell","CL:0002420","Top1",7.07328101931257e-13,1.65097452271775e-08,1.01586478641,0.756,0.467
"immature T cell","CL:0002420","Snrpe",8.67525664142517e-13,2.02489165267505e-08,0.734469724533704,0.919,0.867
"immature T cell","CL:0002420","Hmgn2",9.55787584534083e-13,2.230903801061e-08,1.78366129901268,0.811,0.693
"immature T cell","CL:0002420","Anp32b",1.12504877119511e-12,2.6259763368465e-08,1.20977392789361,0.864,0.8
"immature T cell","CL:0002420","Ezh2",1.52804111057889e-12,3.56660075620218e-08,1.52345942633959,0.544,0.147
"immature T cell","CL:0002420","Fus",2.87488161923027e-12,6.71026118744538e-08,1.16849886250984,0.679,0.387
"immature T cell","CL:0002420","Lbr",3.02361529570208e-12,7.05742046169822e-08,1.20320112936989,0.692,0.4
"immature T cell","CL:0002420","Psma2",3.06206916440655e-12,7.14717563664133e-08,0.766972762301341,0.852,0.733
"immature T cell","CL:0002420","Il21r",3.60437967836915e-12,8.41298260728142e-08,1.03109797409158,0.792,0.453
"immature T cell","CL:0002420","Khdrbs1",4.53503303058618e-12,1.05852205966912e-07,0.926410119329857,0.829,0.627
"immature T cell","CL:0002420","Ppp1cc",4.57485881406208e-12,1.06781779579023e-07,0.916972697673045,0.839,0.693
"immature T cell","CL:0002420","Actn1",4.58340678542055e-12,1.06981297778501e-07,1.06004551826091,0.611,0.173
"immature T cell","CL:0002420","Cux1",4.93388047169817e-12,1.15161704089907e-07,1.14584938329022,0.578,0.173
"immature T cell","CL:0002420","Gtf2h4",5.22224591175394e-12,1.21892441826249e-07,1.35928322694503,0.559,0.16
"immature T cell","CL:0002420","Srsf3",5.38612829341726e-12,1.25717620496652e-07,1.07741216977589,0.88,0.787
"immature T cell","CL:0002420","Ict1",5.59649753762702e-12,1.30627849025752e-07,0.99606741455578,0.714,0.387
"immature T cell","CL:0002420","Pppde2",6.51227064966049e-12,1.52002909233726e-07,1.26194440286564,0.67,0.4
"immature T cell","CL:0002420","Gapdh",7.10383772495887e-12,1.65810676338265e-07,0.797198086922882,0.966,0.987
"immature T cell","CL:0002420","Eif4g2",7.4413579559567e-12,1.73688736049985e-07,0.870624192966735,0.857,0.68
"immature T cell","CL:0002420","Anp32a",7.73746601236998e-12,1.80600194194728e-07,0.768598769663351,0.9,0.76
"immature T cell","CL:0002420","Son",8.97394375307855e-12,2.09460821140607e-07,0.80613762434637,0.893,0.707
"immature T cell","CL:0002420","Tap2",9.82488750257025e-12,2.29322699197492e-07,1.02736894312923,0.736,0.387
"immature T cell","CL:0002420","Mns1",1.04196925200479e-11,2.43206043110439e-07,1.46749440363232,0.525,0.133
"immature T cell","CL:0002420","Hdac1",1.1897785811363e-11,2.77706218623025e-07,0.966790450217338,0.74,0.453
"immature T cell","CL:0002420","Tbxa2r",1.2424968164019e-11,2.90011181916367e-07,1.06140947827588,0.419,0.013
"immature T cell","CL:0002420","1700097N02Rik",1.33769350424732e-11,3.12231040826366e-07,1.1582231532839,0.456,0.053
"immature T cell","CL:0002420","Tomm20",1.3667632581913e-11,3.19016212094431e-07,0.748560863098289,0.885,0.72
"immature T cell","CL:0002420","Anapc5",1.68015911750551e-11,3.9216593961696e-07,1.11551930746198,0.707,0.453
"immature T cell","CL:0002420","Emg1",2.53375112471743e-11,5.91402850020296e-07,0.731419228044984,0.886,0.68
"immature T cell","CL:0002420","Cdkn2d",2.60344070730587e-11,6.07669095492264e-07,1.20168005350062,0.696,0.387
"immature T cell","CL:0002420","Prdx2",3.77074947079122e-11,8.80130633977379e-07,0.848952322399646,0.795,0.533
"immature T cell","CL:0002420","Lmnb1",4.52537562990981e-11,1.05626792577725e-06,1.45639173860411,0.592,0.28
"immature T cell","CL:0002420","Idh2",4.6971156743357e-11,1.0963537695467e-06,1.04146542451669,0.528,0.16
"immature T cell","CL:0002420","Znrf1",5.09107646277201e-11,1.18830815717562e-06,0.977109178655788,0.764,0.44
"immature T cell","CL:0002420","Camk4",5.18594542560457e-11,1.21045152179036e-06,1.06960925184149,0.538,0.133
"immature T cell","CL:0002420","Uqcrc2",5.20704386155559e-11,1.21537610772569e-06,0.856649549826848,0.742,0.453
"immature T cell","CL:0002420","Cox7a2",5.84103277859008e-11,1.36335546085071e-06,0.700460500893281,0.902,0.88
"immature T cell","CL:0002420","Fyb",6.17777438800931e-11,1.44195431990525e-06,0.954469422909349,0.775,0.453
"immature T cell","CL:0002420","Myb",6.26079588944317e-11,1.46133236855493e-06,1.18483413990968,0.511,0.133
"immature T cell","CL:0002420","Arl6ip1",6.32126014957531e-11,1.47544533151237e-06,1.25936466279693,0.877,0.747
"immature T cell","CL:0002420","Cdca7",8.68097907770952e-11,2.02622732652818e-06,1.31890451334631,0.554,0.227
"immature T cell","CL:0002420","Cd47",1.06016682895421e-10,2.47453539546201e-06,0.85140651975767,0.885,0.72
"immature T cell","CL:0002420","Cox4i1",1.1808713425468e-10,2.75627180063848e-06,0.496154693338464,0.992,0.973
"immature T cell","CL:0002420","Arl5c",1.44914832526932e-10,3.38245710601113e-06,1.37967978822757,0.603,0.227
"immature T cell","CL:0002420","Ctsl",1.64408363712537e-10,3.83745561741432e-06,1.19626165153273,0.572,0.2
"immature T cell","CL:0002420","Sumo2",1.77006290368971e-10,4.13150382350215e-06,0.680765854431244,0.967,0.987
"immature T cell","CL:0002420","Rag2",1.87877200874508e-10,4.38524174561188e-06,1.21560588145764,0.45,0.067
"immature T cell","CL:0002420","Kcnn4",2.14056816549451e-10,4.99630015508072e-06,0.947758015416805,0.572,0.16
"immature T cell","CL:0002420","Sla",2.87171660997005e-10,6.70287373933109e-06,1.11664784167115,0.713,0.413
"immature T cell","CL:0002420","Raly",2.89960047936782e-10,6.76795747889242e-06,0.763666860833024,0.856,0.707
"immature T cell","CL:0002420","Slc16a1",2.96882765137346e-10,6.92954062107078e-06,0.867201379223552,0.401,0.027
"immature T cell","CL:0002420","Uqcr10",2.97172925657558e-10,6.93631325777307e-06,0.738550636140416,0.841,0.693
"immature T cell","CL:0002420","Psmb7",3.11208274665462e-10,7.26391233896654e-06,0.724232144145649,0.759,0.573
"immature T cell","CL:0002420","Smarcd2",3.15133602193003e-10,7.35553340878689e-06,0.930193611905998,0.703,0.4
"immature T cell","CL:0002420","Ube2s",3.43653122773572e-10,8.02120753865793e-06,1.65950834763534,0.763,0.68
"immature T cell","CL:0002420","Dck",3.90310005197079e-10,9.11022583130502e-06,1.1168508110828,0.559,0.227
"immature T cell","CL:0002420","Atp5g3",3.90738351328785e-10,9.12022385836518e-06,0.709578555106992,0.854,0.76
"immature T cell","CL:0002420","Tmem66",4.13551395260555e-10,9.65270311677661e-06,0.906085664828986,0.893,0.667
"immature T cell","CL:0002420","Rbm39",6.20819700399342e-10,1.4490552627021e-05,0.741326300975939,0.864,0.773
"immature T cell","CL:0002420","Def6",7.27006967980282e-10,1.69690696396278e-05,0.922893356825679,0.686,0.373
"immature T cell","CL:0002420","Pcbp2",7.8953319537023e-10,1.84284943131365e-05,0.687173296164868,0.897,0.787
"immature T cell","CL:0002420","Minos1",1.04152715295066e-09,2.43102852770214e-05,0.672756428467169,0.852,0.773
"immature T cell","CL:0002420","Dynlrb1",1.12349973965903e-09,2.62236074233815e-05,0.74229302359866,0.849,0.693
"immature T cell","CL:0002420","Eif4h",1.15627105593056e-09,2.69885227164752e-05,0.842316849798214,0.738,0.48
