"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"basal cell of epidermis","CL:0002187","Wfdc2",0,0,2.45425948914383,0.833,0.257
"basal cell of epidermis","CL:0002187","Krt15",0,0,2.23712137453605,0.962,0.886
"basal cell of epidermis","CL:0002187","Stmn1",0,0,2.13030821958456,0.876,0.523
"basal cell of epidermis","CL:0002187","S100a6",0,0,1.90821404399416,1,0.942
"basal cell of epidermis","CL:0002187","Tubb5",0,0,1.83943749831973,0.853,0.715
"basal cell of epidermis","CL:0002187","Crip1",0,0,1.83439270192804,0.998,0.953
"basal cell of epidermis","CL:0002187","Igfbp2",0,0,1.80020048883354,0.999,0.88
"basal cell of epidermis","CL:0002187","Krt5",0,0,1.74829150803799,1,0.914
"basal cell of epidermis","CL:0002187","Serpinb10-ps",0,0,1.70447233130489,0.921,0.385
"basal cell of epidermis","CL:0002187","Igfbp3",0,0,1.68461794676057,0.622,0.19
"basal cell of epidermis","CL:0002187","Igfbp7",0,0,1.66872850432497,0.87,0.314
"basal cell of epidermis","CL:0002187","Col17a1",0,0,1.61698792340265,0.94,0.29
"basal cell of epidermis","CL:0002187","5730469M10Rik",0,0,1.54201644085581,0.839,0.373
"basal cell of epidermis","CL:0002187","Hmgb1",0,0,1.53851374596619,0.995,0.95
"basal cell of epidermis","CL:0002187","Ccnd2",0,0,1.47010735426747,0.843,0.34
"basal cell of epidermis","CL:0002187","Apoe",0,0,1.39212459540884,0.957,0.703
"basal cell of epidermis","CL:0002187","Hmgn2",0,0,1.38597413563663,0.71,0.374
"basal cell of epidermis","CL:0002187","Fth1",0,0,1.35600081089765,1,0.98
"basal cell of epidermis","CL:0002187","H2afv",0,0,1.34774892935083,0.859,0.686
"basal cell of epidermis","CL:0002187","Ifitm3",0,0,1.34739621592655,0.91,0.57
"basal cell of epidermis","CL:0002187","Wnt10a",0,0,1.34371415507705,0.846,0.211
"basal cell of epidermis","CL:0002187","S100a10",0,0,1.28217762661056,1,0.933
"basal cell of epidermis","CL:0002187","Ptrf",0,0,1.23728146118088,0.931,0.591
"basal cell of epidermis","CL:0002187","Serpinh1",0,0,1.20647797265922,0.782,0.16
"basal cell of epidermis","CL:0002187","Calm2",0,0,1.19657238121653,0.984,0.936
"basal cell of epidermis","CL:0002187","Serpinb6a",0,0,1.18829378490535,0.877,0.385
"basal cell of epidermis","CL:0002187","Itgb4",0,0,1.14075598453625,0.827,0.217
"basal cell of epidermis","CL:0002187","Bcam",0,0,1.13019424314661,0.827,0.414
"basal cell of epidermis","CL:0002187","Slc6a6",0,0,1.07849547825173,0.732,0.27
"basal cell of epidermis","CL:0002187","Moxd1",0,0,1.06905324513328,0.777,0.314
"basal cell of epidermis","CL:0002187","Ly6a",0,0,1.05544774011376,0.851,0.479
"basal cell of epidermis","CL:0002187","Ucp2",0,0,1.04883198902561,0.964,0.828
"basal cell of epidermis","CL:0002187","Gltscr2",0,0,1.02863506236985,1,0.977
"basal cell of epidermis","CL:0002187","Lamb3",0,0,1.01455397381391,0.755,0.15
"basal cell of epidermis","CL:0002187","Pdlim1",0,0,0.999948280681241,0.982,0.873
"basal cell of epidermis","CL:0002187","Ftl1",0,0,0.985848999044854,1,0.924
"basal cell of epidermis","CL:0002187","1500012F01Rik",0,0,0.959287797253747,0.912,0.778
"basal cell of epidermis","CL:0002187","Tspo",0,0,0.956164475162814,0.989,0.873
"basal cell of epidermis","CL:0002187","Cox7a2l",0,0,0.955231882319795,0.998,0.965
"basal cell of epidermis","CL:0002187","Sox4",0,0,0.928791397878229,0.699,0.257
"basal cell of epidermis","CL:0002187","2410006H16Rik",0,0,0.924829771569774,0.941,0.814
"basal cell of epidermis","CL:0002187","Ppic",0,0,0.910208019668568,0.779,0.273
"basal cell of epidermis","CL:0002187","Tmsb4x",0,0,0.892723721710673,0.999,0.974
"basal cell of epidermis","CL:0002187","Oat",0,0,0.889678579771745,0.831,0.5
"basal cell of epidermis","CL:0002187","Cct4",0,0,0.887811450813286,0.985,0.9
"basal cell of epidermis","CL:0002187","Siva1",0,0,0.881903333509827,0.773,0.403
"basal cell of epidermis","CL:0002187","Gpx4",0,0,0.878568316918017,0.947,0.817
"basal cell of epidermis","CL:0002187","Atp1a1",0,0,0.871877102099236,0.978,0.856
"basal cell of epidermis","CL:0002187","Paics",0,0,0.859282059720801,0.825,0.447
"basal cell of epidermis","CL:0002187","Ptms",0,0,0.85088958402273,0.991,0.957
"basal cell of epidermis","CL:0002187","Gas1",0,0,0.839674599985282,0.604,0.207
"basal cell of epidermis","CL:0002187","Cyb5r3",0,0,0.835588531786554,0.839,0.504
"basal cell of epidermis","CL:0002187","Cav1",0,0,0.832116027571864,0.616,0.094
"basal cell of epidermis","CL:0002187","Procr",0,0,0.829408742080995,0.649,0.218
"basal cell of epidermis","CL:0002187","Prkcdbp",0,0,0.825982602650782,0.718,0.309
"basal cell of epidermis","CL:0002187","Morf4l1",0,0,0.801589639494179,0.82,0.503
"basal cell of epidermis","CL:0002187","Npm1",0,0,0.798387951030225,0.999,0.987
