"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"mesenchymal cell","CL:0008019","Cytl1",0,0,4.43800695750125,0.889,0.709
"mesenchymal cell","CL:0008019","Mgp",0,0,4.03740451438569,0.997,0.849
"mesenchymal cell","CL:0008019","Dcn",0,0,3.80928261029347,0.837,0.31
"mesenchymal cell","CL:0008019","Col2a1",0,0,3.72491150194209,0.523,0.151
"mesenchymal cell","CL:0008019","3110079O15Rik",0,0,3.6901066420557,0.562,0.11
"mesenchymal cell","CL:0008019","Wif1",0,0,3.61896916715378,0.753,0.14
"mesenchymal cell","CL:0008019","Gsn",0,0,3.53999600564164,0.971,0.621
"mesenchymal cell","CL:0008019","Chad",0,0,3.53775070268534,0.721,0.252
"mesenchymal cell","CL:0008019","Mia1",0,0,3.42332565248386,0.647,0.142
"mesenchymal cell","CL:0008019","Bgn",0,0,3.33067551131801,0.967,0.264
"mesenchymal cell","CL:0008019","Ucma",0,0,3.30118396196288,0.513,0.08
"mesenchymal cell","CL:0008019","Fn1",0,0,3.21200459378396,0.774,0.26
"mesenchymal cell","CL:0008019","Col1a2",0,0,3.16886024613731,0.791,0.183
"mesenchymal cell","CL:0008019","Col11a1",0,0,3.08267434650818,0.61,0.073
"mesenchymal cell","CL:0008019","Col8a1",0,0,3.06812311659467,0.62,0.118
"mesenchymal cell","CL:0008019","Fmod",0,0,2.88253881729745,0.474,0.075
"mesenchymal cell","CL:0008019","Sparc",0,0,2.86788514011908,0.993,0.665
"mesenchymal cell","CL:0008019","Col3a1",0,0,2.81934992166733,0.57,0.156
"mesenchymal cell","CL:0008019","Acan",0,0,2.74422991169458,0.545,0.081
"mesenchymal cell","CL:0008019","Prg4",0,0,2.74073709745706,0.533,0.063
"mesenchymal cell","CL:0008019","Lum",0,0,2.72968278555926,0.556,0.084
"mesenchymal cell","CL:0008019","Col1a1",0,0,2.7180580877679,0.459,0.085
"mesenchymal cell","CL:0008019","Cpe",0,0,2.69089132777173,0.791,0.215
"mesenchymal cell","CL:0008019","Col9a2",0,0,2.65135077300693,0.543,0.081
"mesenchymal cell","CL:0008019","Comp",0,0,2.58309353068857,0.449,0.075
"mesenchymal cell","CL:0008019","1500015O10Rik",0,0,2.57926655856861,0.644,0.145
"mesenchymal cell","CL:0008019","Col9a3",0,0,2.41494327621135,0.454,0.061
"mesenchymal cell","CL:0008019","Ccdc80",0,0,2.33080495875763,0.699,0.091
"mesenchymal cell","CL:0008019","Meg3",0,0,2.32722091473125,0.75,0.113
"mesenchymal cell","CL:0008019","Serpinf1",0,0,2.30682495009344,0.484,0.108
