"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"fibroblast","CL:0000057","Rbms3",1.27333561042543e-54,2.97209264829399e-50,4.60028149610816,0.929,0.092
"fibroblast","CL:0000057","Abi3bp",3.99666693279506e-52,9.32862028783694e-48,4.71270550738518,0.929,0.109
"fibroblast","CL:0000057","Pdpn",5.28513501091687e-52,1.23360336289811e-47,5.44671592045299,0.843,0.071
"fibroblast","CL:0000057","Prrx1",3.76478248361535e-47,8.78737879500658e-43,5.97746564538611,0.757,0.059
"fibroblast","CL:0000057","Olfml2b",9.88060188832242e-47,2.30623128675334e-42,5.95946606624128,0.757,0.062
"fibroblast","CL:0000057","Twsg1",1.12193427763625e-46,2.61870679743078e-42,4.05731089373834,0.929,0.13
"fibroblast","CL:0000057","Col6a1",1.02928795962317e-45,2.40246102655645e-41,5.0405085528983,0.871,0.133
"fibroblast","CL:0000057","Ddr2",1.50950980359568e-45,3.52334683257268e-41,5.54629258778326,0.829,0.101
"fibroblast","CL:0000057","Rarres2",3.6655833941518e-45,8.55583820028972e-41,5.9237777804676,0.8,0.092
"fibroblast","CL:0000057","Sdc2",5.83312133464102e-45,1.36150885071856e-40,5.85402364712611,0.771,0.077
"fibroblast","CL:0000057","Fxyd1",1.00415533335844e-44,2.34379896359193e-40,3.14975102828099,0.786,0.08
"fibroblast","CL:0000057","Col6a2",6.57762230303209e-44,1.53528282175072e-39,6.87877007854078,0.843,0.127
"fibroblast","CL:0000057","Nbl1",2.92969686175502e-42,6.83820544502239e-38,5.84110393030288,0.857,0.145
"fibroblast","CL:0000057","Timp2",1.53654300262817e-41,3.58644502243442e-37,4.94157169256463,0.957,0.26
"fibroblast","CL:0000057","Leprel2",7.56654603003177e-41,1.76610750886971e-36,4.43245001856504,0.657,0.041
"fibroblast","CL:0000057","Loxl1",2.27603534253561e-40,5.31249409301237e-36,5.02793224117975,0.757,0.098
"fibroblast","CL:0000057","Pcolce",2.25822141162669e-39,5.27091459687785e-35,5.98180733711155,0.843,0.178
"fibroblast","CL:0000057","C1s",2.96283103684272e-39,6.91554392309458e-35,6.16655765023527,0.786,0.121
"fibroblast","CL:0000057","Ltbp3",1.27136998529447e-38,2.96750468267582e-34,4.19274904575445,0.771,0.098
"fibroblast","CL:0000057","Nfix",2.47599316478257e-38,5.779215645919e-34,3.69298232142294,0.857,0.148
"fibroblast","CL:0000057","Antxr1",8.07474754967339e-38,1.88472682556927e-33,4.32989249789152,0.714,0.077
"fibroblast","CL:0000057","Rhou",1.29504976382216e-37,3.0227756537373e-33,4.86391616872459,0.571,0.03
"fibroblast","CL:0000057","Col5a1",1.40671369429046e-37,3.28341043384336e-33,4.60051175831461,0.757,0.095
"fibroblast","CL:0000057","Sh3d19",1.68732389555872e-37,3.93838270462361e-33,2.40273724152325,0.771,0.092
"fibroblast","CL:0000057","Col5a2",1.79357199426047e-37,4.18637639180336e-33,3.90458638041359,0.757,0.107
