"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"bladder cell","CL:1001319","C1ra",4.61559477410843e-249,1.07732597622465e-244,7.29267990783015,0.997,0.054
"bladder cell","CL:1001319","Rarres2",8.31329623868364e-249,1.94040647507115e-244,7.50694876988428,0.994,0.05
"bladder cell","CL:1001319","Rcn3",2.07207906239266e-246,4.8364397395307e-242,7.43450838184505,0.994,0.073
"bladder cell","CL:1001319","Mxra8",2.71085456820933e-246,6.3274056476574e-242,7.78793130931457,0.996,0.089
"bladder cell","CL:1001319","Prelp",3.14428178804614e-246,7.3390681214785e-242,7.01728056013381,0.99,0.04
"bladder cell","CL:1001319","C1s",4.95564557740799e-246,1.1566972342228e-241,6.99947976526478,0.997,0.069
"bladder cell","CL:1001319","Col1a1",2.67518554377286e-245,6.24415057772024e-241,6.53090031236356,0.997,0.059
"bladder cell","CL:1001319","Col6a1",3.94002209565709e-245,9.1964055734732e-241,6.30158548089768,0.994,0.042
"bladder cell","CL:1001319","Cygb",1.26520092050233e-244,2.95310546854449e-240,6.94424841560062,0.986,0.04
"bladder cell","CL:1001319","Htra1",1.75917562662303e-244,4.10609183010082e-240,6.84570244345643,0.997,0.094
"bladder cell","CL:1001319","Calcrl",1.9651466200673e-243,4.58684872589909e-239,5.83836783060289,0.988,0.028
"bladder cell","CL:1001319","Emp3",7.88509604697384e-242,1.84046026832416e-237,6.04069704595585,0.996,0.082
"bladder cell","CL:1001319","Col1a2",9.29643438120704e-242,2.16988074891754e-237,6.89465837187635,0.999,0.119
"bladder cell","CL:1001319","Wnt2",5.06306316838355e-241,1.1817695741324e-236,6.90799437243263,0.97,0.012
"bladder cell","CL:1001319","Fxyd1",5.55261102008794e-241,1.29603493819873e-236,6.2932185483808,0.973,0.037
"bladder cell","CL:1001319","Selm",6.98097954062762e-241,1.62943043457789e-236,5.82673133741086,0.994,0.117
"bladder cell","CL:1001319","Fstl1",2.06023313415917e-240,4.80879015844091e-236,6.72657776842941,0.996,0.122
"bladder cell","CL:1001319","Col5a2",2.07181193232703e-240,4.83581623124451e-236,6.86578998403862,0.973,0.025
"bladder cell","CL:1001319","Col6a2",1.07326847585513e-239,2.50511594949346e-235,6.10601746872393,0.987,0.064
"bladder cell","CL:1001319","Col3a1",1.40628443090021e-239,3.28240849016418e-235,6.58300434313429,0.999,0.148
"bladder cell","CL:1001319","Plac8",2.29083482362608e-239,5.34703756182564e-235,6.70258554288371,0.977,0.059
"bladder cell","CL:1001319","Cald1",2.78221640219937e-239,6.49397130437354e-235,6.83215786263513,0.977,0.054
"bladder cell","CL:1001319","Serping1",7.52609959043314e-239,1.756666905403e-234,7.81897354054142,0.997,0.208
"bladder cell","CL:1001319","Lgals1",8.47435885787154e-239,1.9780001010158e-234,5.87489069267226,0.997,0.114
"bladder cell","CL:1001319","Fbln5",1.42115414087376e-238,3.31711588021343e-234,7.22217457957039,0.986,0.101
"bladder cell","CL:1001319","Bgn",8.33339608261892e-238,1.94509797964408e-233,6.58590352042273,0.997,0.155
"bladder cell","CL:1001319","Mmp2",1.5240383513767e-237,3.55725791594836e-233,6.77084226349458,0.993,0.136
"bladder cell","CL:1001319","Vim",3.46684267158926e-237,8.09195747975648e-233,6.63150597859611,1,0.199
"bladder cell","CL:1001319","Dkk3",7.75468012983881e-237,1.81001988910568e-232,5.9391435105015,0.996,0.177
"bladder cell","CL:1001319","Lhfp",2.3798524838765e-236,5.55481368261614e-232,6.83851356252766,0.977,0.078
"bladder cell","CL:1001319","Serpinh1",2.66973256327714e-236,6.23142277594517e-232,6.2742475965949,0.999,0.195
"bladder cell","CL:1001319","Tcf21",3.25013194989467e-236,7.58613298424915e-232,6.41283764542838,0.963,0.022
"bladder cell","CL:1001319","Fbln1",5.01126271719868e-236,1.16967883082134e-231,7.86315699197152,0.996,0.198
"bladder cell","CL:1001319","Adam23",7.00730348698263e-236,1.63557470689662e-231,6.412798482375,0.957,0.012
"bladder cell","CL:1001319","Mgp",5.40207993299078e-235,1.26089947715938e-230,7.56667524346828,1,0.283
"bladder cell","CL:1001319","Ddr2",6.98519719835423e-235,1.63041487806786e-230,6.14793455521779,0.965,0.037
"bladder cell","CL:1001319","Igfbp6",5.2432595048337e-234,1.22382920102323e-229,8.67291194848685,0.965,0.079
"bladder cell","CL:1001319","Aebp1",9.13195321800973e-234,2.13148920061565e-229,6.17783114469207,0.971,0.061
"bladder cell","CL:1001319","Lsp1",9.47777470741165e-234,2.21220739445695e-229,6.36384119626417,0.981,0.114
"bladder cell","CL:1001319","Crispld2",2.21776278572103e-233,5.17648011815146e-229,7.42862089072635,0.968,0.079
"bladder cell","CL:1001319","Bmp4",4.85348101181542e-233,1.13285100296784e-228,6.8989743543503,0.957,0.035
"bladder cell","CL:1001319","Nbl1",1.10967940884046e-232,2.59010270817452e-228,6.40119023877965,0.996,0.286
"bladder cell","CL:1001319","Thbs2",6.37173172623897e-232,1.48722590222144e-227,6.29904988804973,0.958,0.029
"bladder cell","CL:1001319","Cd302",9.64366014842196e-232,2.25092671524317e-227,6.82219454470865,0.98,0.174
"bladder cell","CL:1001319","Ctsk",1.04022560888673e-231,2.42799059370251e-227,7.7648154941141,0.945,0.025
"bladder cell","CL:1001319","Fcgrt",1.96520315784472e-231,4.58698069072535e-227,5.73363850694971,0.988,0.198
"bladder cell","CL:1001319","Fn1",7.95449571498269e-231,1.85665884483411e-226,6.73689666012065,0.964,0.072
"bladder cell","CL:1001319","Col5a1",2.35042275939666e-230,5.48612176270773e-226,6.25871866382924,0.95,0.022
"bladder cell","CL:1001319","Fkbp7",1.29767123786972e-229,3.02889443631172e-225,5.99392938196999,0.965,0.075
"bladder cell","CL:1001319","Loxl2",2.37528739706592e-229,5.54415831349157e-225,5.81317679015655,0.95,0.023
"bladder cell","CL:1001319","Lgals9",2.78512019880123e-229,6.50074905602194e-225,7.05607719070388,0.965,0.105
"bladder cell","CL:1001319","Pcolce",1.35710050926912e-228,3.16760829868504e-224,5.92096146089246,0.993,0.297
"bladder cell","CL:1001319","Dcn",1.69521112536101e-228,3.95679228770513e-224,8.04201446441273,1,0.523
"bladder cell","CL:1001319","Nupr1",7.36343203535246e-228,1.71869867137162e-223,5.23186336678864,0.986,0.145
"bladder cell","CL:1001319","Serpina3n",1.68032342968795e-227,3.92204291723465e-223,7.57757933280453,0.941,0.031
"bladder cell","CL:1001319","Pltp",1.38219530690892e-226,3.22618206585611e-222,5.75380345785273,0.988,0.259
"bladder cell","CL:1001319","Ppic",3.61186706473321e-225,8.43045891579378e-221,5.20953778129225,0.993,0.288
"bladder cell","CL:1001319","Sparc",9.84814491947902e-225,2.2986555056556e-220,6.81018194075404,1,0.635
"bladder cell","CL:1001319","Pdgfra",1.04033477273738e-224,2.42824539304631e-220,6.3447161696451,0.941,0.042
"bladder cell","CL:1001319","Col16a1",1.30612412316061e-224,3.04862431586919e-220,5.83652865264873,0.95,0.051
"bladder cell","CL:1001319","Ecm1",2.47859810596076e-223,5.785295839123e-219,4.81787705633878,0.999,0.647
"bladder cell","CL:1001319","Rbp1",1.10441115645943e-222,2.57780608029195e-218,6.66277954129066,0.958,0.127
"bladder cell","CL:1001319","Pmp22",1.872849616554e-222,4.37141828999869e-218,5.5719489660937,0.99,0.23
"bladder cell","CL:1001319","Ifitm3",1.94063642458205e-222,4.52963947861696e-218,4.03104737213492,1,0.858
"bladder cell","CL:1001319","Timp2",3.00328681136034e-222,7.00997174639617e-218,4.32855946175573,1,0.839
"bladder cell","CL:1001319","Serpinf1",1.22426369889872e-220,2.85755389959951e-216,7.18623682464389,0.951,0.124
"bladder cell","CL:1001319","Rhoj",2.45010149954307e-220,5.71878191008348e-216,6.35619770352092,0.931,0.059
"bladder cell","CL:1001319","Akap12",4.42506927235964e-220,1.03285541886146e-215,5.29669166434753,0.987,0.195
"bladder cell","CL:1001319","Itih5",5.29743881994346e-220,1.236475194963e-215,6.29234762427051,0.935,0.053
"bladder cell","CL:1001319","Kdelr3",9.46726239757559e-220,2.20975371621812e-215,6.06556661520718,0.938,0.063
"bladder cell","CL:1001319","Tuba1a",2.2400812943238e-219,5.22857374908118e-215,6.12761053428509,0.999,0.726
