"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"microglial cell","CL:0000129","P2ry12",7.16322420196447e-32,1.67196816098053e-27,2.67438490794629,0.998,0.721
"microglial cell","CL:0000129","Cst3",1.0725232423858e-30,2.5033765000527e-26,1.70569168780027,1,1
"microglial cell","CL:0000129","Siglech",1.11046212137967e-30,2.59192963751229e-26,2.53930988915766,0.993,0.623
"microglial cell","CL:0000129","Hexb",7.73903251531473e-28,1.80636757939961e-23,1.79920495112401,1,0.967
"microglial cell","CL:0000129","Gpr34",9.22372385139416e-28,2.15290938415391e-23,2.28328413695391,0.993,0.607
"microglial cell","CL:0000129","Ctsd",9.59318180045539e-28,2.23914456404429e-23,1.84163294924588,1,0.951
"microglial cell","CL:0000129","Cx3cr1",3.16919887466519e-27,7.39722709335602e-23,1.95674592846716,0.999,0.869
"microglial cell","CL:0000129","Tmem119",2.79875682733969e-25,6.53257831069358e-21,2.00593894663727,0.997,0.656
"microglial cell","CL:0000129","Sparc",6.93554555127639e-24,1.61882568712342e-19,2.05433287787394,0.998,0.672
"microglial cell","CL:0000129","Slc2a5",1.01753649398956e-22,2.37503193062103e-18,2.938717148537,0.877,0.295
"microglial cell","CL:0000129","Trem2",1.67106547165631e-22,3.900433917393e-18,1.75161839698774,0.99,0.705
"microglial cell","CL:0000129","Ctsl",5.85957137969781e-22,1.36768255573527e-17,2.16043585957742,0.957,0.541
"microglial cell","CL:0000129","Selplg",7.50902797047558e-22,1.75268221858871e-17,1.64658978046077,0.998,0.803
"microglial cell","CL:0000129","Olfml3",8.06090769495731e-22,1.88149646507999e-17,1.83127913129216,0.992,0.639
"microglial cell","CL:0000129","Fscn1",8.5961558014281e-22,2.00642872561133e-17,2.99157230350157,0.874,0.246
"microglial cell","CL:0000129","P2ry13",2.54729805281783e-21,5.94564838508209e-17,2.04319773514778,0.964,0.492
