"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"astrocyte","CL:0000127","Cyp4f15",0,0,6.76916837020272,0.59,0.011
"astrocyte","CL:0000127","Scara3",0,0,6.634557720069,0.595,0.027
"astrocyte","CL:0000127","Slc6a11",0,0,6.15098583094662,0.847,0.049
"astrocyte","CL:0000127","Gjb6",0,0,5.9943678389188,0.815,0.039
"astrocyte","CL:0000127","Grin2c",0,0,5.87464339943181,0.685,0.015
"astrocyte","CL:0000127","Fgfr3",0,0,5.83694879339292,0.884,0.096
"astrocyte","CL:0000127","Slc39a12",0,0,5.6412145363968,0.734,0.024
"astrocyte","CL:0000127","Fjx1",0,0,5.59057914641185,0.727,0.064
"astrocyte","CL:0000127","Cldn10",0,0,5.44809613582479,0.861,0.072
"astrocyte","CL:0000127","Gja1",0,0,5.39018586003542,0.97,0.201
"astrocyte","CL:0000127","Slc7a10",0,0,5.36893714864648,0.738,0.068
"astrocyte","CL:0000127","Ntsr2",0,0,5.14389585093869,0.944,0.128
"astrocyte","CL:0000127","Aldh1l1",0,0,5.13825068262014,0.729,0.05
"astrocyte","CL:0000127","Slc25a18",0,0,4.97329697824405,0.759,0.067
"astrocyte","CL:0000127","Btbd17",0,0,4.96634031311108,0.708,0.039
"astrocyte","CL:0000127","Rorb",0,0,4.92929163649092,0.775,0.067
"astrocyte","CL:0000127","Cxcl14",0,0,4.88604740319667,0.889,0.119
"astrocyte","CL:0000127","Acsl6",0,0,4.80125751222618,0.898,0.135
"astrocyte","CL:0000127","Acsbg1",0,0,4.74550053554007,0.942,0.096
"astrocyte","CL:0000127","Sox9",0,0,4.64942063524482,0.91,0.126
"astrocyte","CL:0000127","Nkain4",0,0,4.61027386466477,0.796,0.081
"astrocyte","CL:0000127","Aqp4",0,0,4.60046461487242,0.877,0.054
"astrocyte","CL:0000127","Mlc1",0,0,4.50789060696545,0.926,0.07
"astrocyte","CL:0000127","Id4",0,0,4.3546009600646,0.868,0.091
"astrocyte","CL:0000127","Lix1",0,0,4.35292499214479,0.713,0.052
"astrocyte","CL:0000127","Pla2g7",0,0,4.29932570284495,0.954,0.153
"astrocyte","CL:0000127","Slc4a4",0,0,4.15111287871468,0.926,0.112
"astrocyte","CL:0000127","Gpr37l1",0,0,3.5802388965725,0.97,0.164
"astrocyte","CL:0000127","2900052N01Rik",0,0,3.43802834337495,0.676,0.04
"astrocyte","CL:0000127","Tmem47",4.25800566093461e-301,9.93861101318748e-297,3.94510512847955,0.896,0.15
"astrocyte","CL:0000127","Dio2",3.45689984421469e-295,8.06874992638151e-291,4.9475615326397,0.653,0.045
"astrocyte","CL:0000127","Bcan",7.71976247435419e-288,1.80186975913901e-283,2.99311559765052,0.947,0.16
"astrocyte","CL:0000127","Dbx2",5.08373390928033e-286,1.18659433176512e-281,4.16500502122195,0.697,0.062
"astrocyte","CL:0000127","Ntrk2",2.29963282164351e-284,5.36757296899812e-280,3.95525583174598,0.97,0.239
"astrocyte","CL:0000127","F3",6.769403995611e-282,1.58004658661556e-277,5.38952832621815,0.806,0.121
"astrocyte","CL:0000127","Prodh",1.85560868801394e-279,4.33117623869334e-275,5.29839326982306,0.623,0.043
"astrocyte","CL:0000127","Gpc5",2.16551971882295e-279,5.05453957570465e-275,3.8053483149443,0.734,0.074
"astrocyte","CL:0000127","Slc1a3",5.7853427007301e-279,1.35035683977741e-274,4.36846200182084,0.991,0.326
"astrocyte","CL:0000127","Lhx2",8.89474082592888e-279,2.07612145618006e-274,4.40718134329593,0.62,0.042
"astrocyte","CL:0000127","Atp1a2",3.20839848138953e-276,7.4887228954113e-272,4.25722631186422,0.988,0.324
"astrocyte","CL:0000127","Mmd2",1.17432917726362e-273,2.74100173265103e-269,3.84453759573175,0.938,0.216
"astrocyte","CL:0000127","Slc1a2",5.6420490262432e-273,1.31691066321543e-268,4.89663295033082,0.986,0.366
"astrocyte","CL:0000127","Baalc",8.14361230474461e-273,1.90080054805044e-268,4.07399157402902,0.775,0.106
"astrocyte","CL:0000127","Aldoc",2.45285464145684e-271,5.72520801862441e-267,4.3982794016264,0.986,0.34
"astrocyte","CL:0000127","Hapln1",4.36211454355215e-269,1.01816115561051e-264,5.43674064461189,0.488,0.015
"astrocyte","CL:0000127","Tlcd1",1.33574241883611e-267,3.11775637980537e-263,4.76801104725397,0.63,0.05
"astrocyte","CL:0000127","Clu",7.84163357534862e-266,1.83031569282212e-261,5.20776915363252,0.998,0.447
"astrocyte","CL:0000127","Mt3",1.06457185256582e-265,2.48481716107387e-261,3.90645726156068,1,0.383
"astrocyte","CL:0000127","Entpd2",1.14792959652541e-265,2.67938247124996e-261,5.96663897327171,0.586,0.041
"astrocyte","CL:0000127","Ppp1r3g",3.96580704522515e-265,9.25659022426001e-261,6.65944365961771,0.442,0.008
"astrocyte","CL:0000127","Cbs",3.19854585651709e-264,7.46572588369655e-260,4.33180770595428,0.692,0.071
"astrocyte","CL:0000127","Ptprz1",7.47814243622633e-264,1.74547322603959e-259,2.49117395357199,0.942,0.163
"astrocyte","CL:0000127","Slc15a2",4.65863269084753e-261,1.08737145637072e-256,4.96547604928813,0.581,0.039
"astrocyte","CL:0000127","Fam176a",2.91227519306655e-260,6.79754152813663e-256,5.49227347845093,0.514,0.023
"astrocyte","CL:0000127","Fxyd1",2.3639885968389e-259,5.51778578388167e-255,2.31268218472356,0.889,0.141
"astrocyte","CL:0000127","Adhfe1",1.20845410972551e-257,2.8206527375103e-253,4.09299396159756,0.595,0.044
"astrocyte","CL:0000127","Fzd2",2.32697066402358e-254,5.43138222689743e-250,5.08180251441308,0.549,0.033
"astrocyte","CL:0000127","Plcd4",4.85140763263584e-254,1.13236705553353e-249,5.89905384430342,0.481,0.018
"astrocyte","CL:0000127","Atp1b2",8.06041061645058e-254,1.88138044198573e-249,3.65321191696697,0.965,0.275
"astrocyte","CL:0000127","Nwd1",7.34330621703895e-253,1.71400110411906e-248,5.20259617754403,0.519,0.026
"astrocyte","CL:0000127","Phkg1",2.30799473593831e-250,5.38709051315361e-246,5.22585361376281,0.521,0.028
"astrocyte","CL:0000127","AI464131",4.85559209402956e-250,1.13334375066744e-245,5.13067573149044,0.623,0.057
"astrocyte","CL:0000127","Fam107a",1.65367026778794e-249,3.85983177204383e-245,3.15728878656209,0.928,0.212
"astrocyte","CL:0000127","Dkk3",2.66512155803089e-249,6.22066022859989e-245,4.63490542747182,0.627,0.058
"astrocyte","CL:0000127","Gabrg1",5.57987639887246e-245,1.30239895026082e-240,4.94689429235579,0.588,0.048
"astrocyte","CL:0000127","Ncan",2.01165706375934e-244,4.69540875252067e-240,2.86676727810995,0.907,0.174
"astrocyte","CL:0000127","Gpm6a",2.52777897355685e-242,5.90008890217905e-238,3.24816980134774,0.97,0.267
"astrocyte","CL:0000127","Oaf",3.13953473629758e-242,7.32798802799217e-238,5.24453498594905,0.581,0.049
"astrocyte","CL:0000127","Tubb2b",8.2961409119392e-240,1.93640225025573e-235,3.12626581701818,0.875,0.177
"astrocyte","CL:0000127","Scg3",5.33464705361201e-238,1.24515996878358e-233,3.83759717806787,0.961,0.34
"astrocyte","CL:0000127","Bmpr1b",2.85206987936162e-237,6.65701630541796e-233,4.4612198148684,0.468,0.019
"astrocyte","CL:0000127","Ppp1r3c",4.26575359123251e-237,9.9566954572958e-233,4.60400820385195,0.597,0.053
"astrocyte","CL:0000127","Sfxn5",5.10596842705862e-236,1.19178409055975e-231,3.26607548952181,0.931,0.25
"astrocyte","CL:0000127","Gldc",9.37334781730817e-236,2.1878331140379e-231,5.06525166230806,0.532,0.036
"astrocyte","CL:0000127","Chst1",5.24719586756305e-232,1.22474798744789e-227,4.03269357583254,0.634,0.065
"astrocyte","CL:0000127","Slc7a11",5.89393564862566e-232,1.37570351974572e-227,5.41032188150352,0.634,0.078
"astrocyte","CL:0000127","Fads2",1.48563290060034e-231,3.46761575329125e-227,3.9117657779689,0.748,0.123
"astrocyte","CL:0000127","Ephx2",1.86027778647936e-231,4.34207438142147e-227,4.18111079918198,0.532,0.038
"astrocyte","CL:0000127","Cst3",1.65199772789024e-229,3.85592789666862e-225,4.04270692806901,1,0.96
"astrocyte","CL:0000127","Apoe",3.34912661241846e-229,7.81719642604592e-225,3.47383653503931,1,0.911
"astrocyte","CL:0000127","Cspg5",1.76973517415502e-226,4.13073886999522e-222,2.45463596419975,0.931,0.22
"astrocyte","CL:0000127","Gli3",2.3585752275059e-222,5.50515043852152e-218,5.03294956738626,0.461,0.023
"astrocyte","CL:0000127","Timp4",2.69541566484393e-222,6.29136970331223e-218,2.60837164987542,0.773,0.13
"astrocyte","CL:0000127","Ppap2b",9.39693882420211e-221,2.19333949095701e-216,4.2567903621059,0.984,0.532
"astrocyte","CL:0000127","Sdc4",2.69522456896726e-220,6.29092366642649e-216,3.59145502222008,0.977,0.427
"astrocyte","CL:0000127","Ndrg2",3.1397830163408e-218,7.32856753844107e-214,3.1047458325575,1,0.51
"astrocyte","CL:0000127","Gabrb1",1.68548651948041e-217,3.93409408511923e-213,3.8403512472216,0.618,0.07
"astrocyte","CL:0000127","Cpe",4.38533606326269e-217,1.02358129052614e-212,3.50135521618228,0.991,0.655
"astrocyte","CL:0000127","Atp13a4",1.91149282784098e-216,4.46161540946363e-212,4.63661941608557,0.428,0.018
"astrocyte","CL:0000127","Luzp2",6.9332160569578e-216,1.61828195985452e-211,3.56869158835014,0.884,0.252
"astrocyte","CL:0000127","Ezr",8.12692934398125e-215,1.89690657817866e-210,4.49927843915759,0.752,0.146
"astrocyte","CL:0000127","Ttyh1",2.26024251320511e-214,5.27563205007205e-210,3.28833599478256,0.993,0.452
"astrocyte","CL:0000127","Ntm",4.57323776509814e-214,1.06743942675156e-209,2.92190637116146,0.868,0.182
"astrocyte","CL:0000127","Lgi4",1.77261640177326e-213,4.13746394337896e-209,3.73535830489678,0.468,0.026
"astrocyte","CL:0000127","Lcat",1.80822725821955e-213,4.22058324341025e-209,3.75568794961927,0.637,0.082
"astrocyte","CL:0000127","Elovl2",4.40435770549355e-213,1.02802113203925e-208,3.9133210783171,0.507,0.036
"astrocyte","CL:0000127","Ednrb",2.61054439112089e-211,6.09327166331526e-207,2.32549832955935,0.794,0.133
"astrocyte","CL:0000127","Mt2",6.19073788224876e-210,1.44498012909568e-205,3.09895931289754,0.993,0.469
"astrocyte","CL:0000127","C030018K13Rik",2.26813575394369e-207,5.29405566327997e-203,4.10421919146614,0.352,0.006
"astrocyte","CL:0000127","Tspan7",1.02407053726717e-203,2.39028304103531e-199,3.5796401465275,0.975,0.63
"astrocyte","CL:0000127","Prdx6",9.01443366107878e-200,2.1040589608324e-195,3.47485326095049,0.981,0.63
"astrocyte","CL:0000127","Vcam1",1.95057837551048e-198,4.55284498627901e-194,3.02169509604883,0.641,0.091
"astrocyte","CL:0000127","Aifm3",3.33507761599924e-198,7.78440466350383e-194,3.01294928357672,0.481,0.035
"astrocyte","CL:0000127","Slc1a4",4.72967675018352e-197,1.10395385026034e-192,4.41444128158294,0.59,0.072
"astrocyte","CL:0000127","Arhgef26",6.94971517971633e-197,1.62213302009759e-192,4.08822134072627,0.525,0.05
"astrocyte","CL:0000127","Chchd10",4.33197023289665e-196,1.01112517206041e-191,2.39209627648084,0.88,0.227
"astrocyte","CL:0000127","Mt1",1.52631365819668e-194,3.56256870959686e-190,2.63107111799214,1,0.89
"astrocyte","CL:0000127","Gstm1",2.86961872932351e-192,6.69797707611402e-188,3.06596757979055,0.991,0.672
"astrocyte","CL:0000127","Ngef",4.40694506168354e-190,1.02862504684755e-185,2.93126521437194,0.593,0.072
"astrocyte","CL:0000127","Hsd11b1",2.27490380868448e-189,5.30985297985044e-185,3.85790060032895,0.556,0.067
"astrocyte","CL:0000127","Kcnk1",5.96126421981304e-188,1.39141868154656e-183,3.7625972272201,0.713,0.143
"astrocyte","CL:0000127","Cml3",6.33610834861016e-188,1.4789110496491e-183,3.84714520816313,0.333,0.008
"astrocyte","CL:0000127","Lsamp",1.34214496908201e-186,3.13270057233433e-182,3.22101617577805,0.782,0.19
"astrocyte","CL:0000127","Adrbk2",9.74065713477373e-186,2.27356678182754e-181,4.16575807817791,0.532,0.059
"astrocyte","CL:0000127","Rgs20",1.122418307749e-184,2.61983657211695e-180,3.85740772169363,0.572,0.074
"astrocyte","CL:0000127","Trim9",1.8614879845259e-184,4.3448991046819e-180,3.14255355147238,0.694,0.121
"astrocyte","CL:0000127","Sparcl1",2.04272012744292e-184,4.76791304946453e-180,2.54272196270111,0.995,0.641
"astrocyte","CL:0000127","Rmst",9.61572111879061e-182,2.24440546633692e-177,3.91985974060741,0.331,0.009
"astrocyte","CL:0000127","Slc9a3r1",2.8821284322055e-179,6.72717597361086e-175,3.5895162240318,0.789,0.223
"astrocyte","CL:0000127","Ttyh3",9.98815069322255e-179,2.33133425330507e-174,3.91902711155127,0.713,0.153
"astrocyte","CL:0000127","Naaa",1.60710972812272e-178,3.75115481641123e-174,4.27810879718694,0.66,0.128
"astrocyte","CL:0000127","Igfbp2",1.92603928143729e-178,4.49556828680277e-174,5.17736187954987,0.507,0.059
"astrocyte","CL:0000127","Nrxn1",5.16153956596865e-178,1.20475495009274e-173,2.47750538470438,0.894,0.251
"astrocyte","CL:0000127","Slc27a1",7.49098847358703e-178,1.74847161961995e-173,4.09772208189554,0.819,0.254
"astrocyte","CL:0000127","Slc14a1",2.68069050912843e-177,6.25699971735666e-173,3.59080423457708,0.461,0.039
"astrocyte","CL:0000127","Mfge8",2.90644191071508e-177,6.78392606380006e-173,3.56274328044808,0.933,0.462
