"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"skeletal muscle satellite stem cell","CL:0008011","Chodl",1.02998513919555e-139,2.40408831339633e-135,8.07652234092649,0.916,0.016
"skeletal muscle satellite stem cell","CL:0008011","Des",3.0345599001314e-133,7.08296626289671e-129,6.91246850280564,0.909,0.056
"skeletal muscle satellite stem cell","CL:0008011","Sdc4",4.87825417837496e-129,1.1386333077745e-124,3.92690573076572,0.993,0.826
"skeletal muscle satellite stem cell","CL:0008011","Cd82",2.00862895428554e-122,4.68834084219788e-118,6.17217479478174,0.918,0.223
"skeletal muscle satellite stem cell","CL:0008011","Ncam1",2.15195732864517e-107,5.02288360079069e-103,5.13017828538526,0.87,0.128
"skeletal muscle satellite stem cell","CL:0008011","Gpx3",1.90527911533709e-100,4.44711198310831e-96,2.34003257647747,0.989,0.689
"skeletal muscle satellite stem cell","CL:0008011","Eef1a1",3.42382516098539e-100,7.991550308256e-96,1.27227060750071,1,0.995
"skeletal muscle satellite stem cell","CL:0008011","Gnas",2.57899812261224e-99,6.01963951798922e-95,2.45912745825046,0.995,0.949
"skeletal muscle satellite stem cell","CL:0008011","Cd63",6.64703208039042e-99,1.55148375788393e-94,2.02798674154728,0.993,0.731
"skeletal muscle satellite stem cell","CL:0008011","Myf5",3.73504665448416e-86,8.71797239623149e-82,8.19604848063725,0.642,0.002
"skeletal muscle satellite stem cell","CL:0008011","Asb5",7.41716468674571e-85,1.73124040953332e-80,8.85661344343036,0.661,0.028
"skeletal muscle satellite stem cell","CL:0008011","Rpl4",5.06427876506788e-81,1.18205330655449e-76,1.44551740691247,0.995,0.94
"skeletal muscle satellite stem cell","CL:0008011","Cnn3",8.03663334292824e-81,1.87583058857288e-76,2.52468705504501,0.941,0.589
"skeletal muscle satellite stem cell","CL:0008011","Vcam1",8.3822205899379e-80,1.95649410789741e-75,4.59243416314355,0.738,0.116
"skeletal muscle satellite stem cell","CL:0008011","Tnfrsf12a",1.87415506064584e-77,4.37446532705345e-73,3.1385119702181,0.87,0.462
"skeletal muscle satellite stem cell","CL:0008011","Pdpn",2.42943166930586e-77,5.6705364593268e-73,2.43990830086815,0.968,0.561
