"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"endothelial cell","CL:0000115","Cldn5",0,0,10.8217984942761,0.738,0.063
"endothelial cell","CL:0000115","8430408G22Rik",0,0,10.5967683099609,0.753,0.076
"endothelial cell","CL:0000115","Esam",0,0,9.99404411500069,0.877,0.064
"endothelial cell","CL:0000115","Gpihbp1",0,0,9.83583027272482,0.829,0.051
"endothelial cell","CL:0000115","Timp4",0,0,9.77196070482306,0.54,0.025
"endothelial cell","CL:0000115","Car4",0,0,9.60758063231317,0.542,0.034
"endothelial cell","CL:0000115","Apold1",0,0,9.26005452911808,0.72,0.027
"endothelial cell","CL:0000115","Emcn",0,0,9.1590143376035,0.719,0.031
"endothelial cell","CL:0000115","Sox18",0,0,9.14953461649501,0.671,0.023
"endothelial cell","CL:0000115","Ptprb",0,0,9.04705558749947,0.799,0.027
"endothelial cell","CL:0000115","Egfl7",0,0,8.94594029519727,0.865,0.044
"endothelial cell","CL:0000115","Aqp7",0,0,8.76468918131549,0.729,0.042
"endothelial cell","CL:0000115","Eltd1",0,0,8.71336005661355,0.729,0.021
"endothelial cell","CL:0000115","Ushbp1",0,0,8.51710357026447,0.714,0.025
"endothelial cell","CL:0000115","Tie1",0,0,8.42099892842042,0.723,0.016
"endothelial cell","CL:0000115","Tinagl1",0,0,8.38591451833552,0.858,0.066
"endothelial cell","CL:0000115","Kdr",0,0,8.28724446048214,0.759,0.042
"endothelial cell","CL:0000115","Flt1",0,0,8.26944376383425,0.786,0.04
"endothelial cell","CL:0000115","Tcf15",0,0,8.12661896711528,0.71,0.018
"endothelial cell","CL:0000115","Cdh5",0,0,8.03173751986284,0.888,0.032
"endothelial cell","CL:0000115","Gpr116",0,0,7.98112959775688,0.858,0.05
"endothelial cell","CL:0000115","C1qtnf9",0,0,7.97134407532733,0.602,0.008
"endothelial cell","CL:0000115","Btnl9",0,0,7.93198787892541,0.493,0.008
"endothelial cell","CL:0000115","Robo4",0,0,7.89532896769148,0.591,0.007
"endothelial cell","CL:0000115","Fabp4",0,0,7.81271585033538,0.913,0.243
"endothelial cell","CL:0000115","Rbp7",0,0,7.74336949989548,0.533,0.009
"endothelial cell","CL:0000115","Mmrn2",0,0,7.61119309082553,0.704,0.036
"endothelial cell","CL:0000115","Myct1",0,0,7.5014994577778,0.567,0.01
"endothelial cell","CL:0000115","Podxl",0,0,7.39217448714069,0.575,0.014
"endothelial cell","CL:0000115","Palmd",0,0,7.38845722026442,0.543,0.021
"endothelial cell","CL:0000115","1810011O10Rik",0,0,7.25428761111016,0.674,0.058
"endothelial cell","CL:0000115","Arhgef15",0,0,7.00297005634794,0.493,0.006
"endothelial cell","CL:0000115","Grrp1",0,0,6.99006908152863,0.364,0.004
"endothelial cell","CL:0000115","Lmcd1",0,0,6.83451325227278,0.482,0.02
"endothelial cell","CL:0000115","Dll4",0,0,6.76621630343139,0.365,0.005
"endothelial cell","CL:0000115","Bcam",0,0,6.640210172155,0.741,0.094
"endothelial cell","CL:0000115","Ablim3",0,0,6.53027765885513,0.479,0.009
"endothelial cell","CL:0000115","Thrsp",0,0,6.52561684539286,0.457,0.015
"endothelial cell","CL:0000115","Rasip1",0,0,6.33181874586594,0.731,0.031
"endothelial cell","CL:0000115","Gpr56",0,0,6.26395070932255,0.668,0.049
"endothelial cell","CL:0000115","Cd300lg",0,0,6.24028673330239,0.819,0.122
"endothelial cell","CL:0000115","Cyyr1",0,0,6.23039466080499,0.461,0.002
"endothelial cell","CL:0000115","Dysf",0,0,6.18250674933754,0.365,0.004
"endothelial cell","CL:0000115","Clic5",0,0,6.08174028346394,0.439,0.019
"endothelial cell","CL:0000115","C130074G19Rik",0,0,6.04242736314181,0.383,0.01
"endothelial cell","CL:0000115","Sox7",0,0,5.96792409511559,0.534,0.027
"endothelial cell","CL:0000115","Pecam1",0,0,5.9514691139602,0.865,0.114
"endothelial cell","CL:0000115","Tspan7",0,0,5.94866427339935,0.771,0.154
"endothelial cell","CL:0000115","Sox17",0,0,5.82266496527446,0.564,0.01
"endothelial cell","CL:0000115","Cd36",0,0,5.72125491822502,0.901,0.282
"endothelial cell","CL:0000115","Cav2",0,0,5.6884411540209,0.784,0.133
"endothelial cell","CL:0000115","Mgll",0,0,5.64740134644522,0.892,0.258
"endothelial cell","CL:0000115","Sdpr",0,0,5.55618946607762,0.942,0.287
"endothelial cell","CL:0000115","Tm4sf1",0,0,5.55420491792711,0.882,0.255
"endothelial cell","CL:0000115","Ecscr",0,0,5.50093926754932,0.63,0.067
"endothelial cell","CL:0000115","Kcna5",0,0,5.4667513224609,0.334,0.001
"endothelial cell","CL:0000115","Epas1",0,0,5.33175485397937,0.865,0.19
"endothelial cell","CL:0000115","F11r",0,0,5.28852586012257,0.819,0.152
"endothelial cell","CL:0000115","Unc45b",0,0,5.20792627405956,0.612,0.073
"endothelial cell","CL:0000115","Cav1",0,0,4.97616808427608,0.951,0.361
"endothelial cell","CL:0000115","Slc9a3r2",0,0,4.93841840017046,0.862,0.272
"endothelial cell","CL:0000115","Kank3",0,0,4.74668290719787,0.725,0.116
"endothelial cell","CL:0000115","Cd93",0,0,4.71713134674501,0.804,0.12
"endothelial cell","CL:0000115","S1pr1",0,0,3.50764757296762,0.88,0.219
"endothelial cell","CL:0000115","Nos3",2.84478309709442e-306,6.64000822692808e-302,5.79885110248541,0.4,0.015
"endothelial cell","CL:0000115","Etl4",1.29697003801211e-305,3.02725776572407e-301,5.07375520599038,0.519,0.045
"endothelial cell","CL:0000115","Afap1l1",3.02132587285994e-305,7.05207671984238e-301,5.88487966431621,0.439,0.024
"endothelial cell","CL:0000115","Aqp1",1.31092160984434e-301,3.05982212953767e-297,8.91703317087902,0.524,0.053
"endothelial cell","CL:0000115","Gng11",1.05206805784837e-300,2.45563205382387e-296,4.43770570134848,0.856,0.281
"endothelial cell","CL:0000115","Fam70b",2.1779426199897e-300,5.08353586931795e-296,7.47079923520026,0.361,0.009
"endothelial cell","CL:0000115","BC020535",1.62755897913619e-299,3.79888541320179e-295,6.37047356463774,0.322,0.002
"endothelial cell","CL:0000115","Fam101b",1.41186009691214e-297,3.29542265220263e-293,4.43077344853933,0.683,0.12
"endothelial cell","CL:0000115","Hspb1",1.30162350463889e-295,3.03811942217764e-291,3.98462924018901,0.921,0.41
"endothelial cell","CL:0000115","Ctla2a",9.26649300614986e-295,2.16289213256544e-290,2.27364790051898,0.651,0.099
"endothelial cell","CL:0000115","Sncg",5.35489829258973e-293,1.24988681047337e-288,6.71885815180609,0.365,0.011
"endothelial cell","CL:0000115","Icam2",1.63187850242671e-291,3.80896761251418e-287,4.08818212127639,0.671,0.115
"endothelial cell","CL:0000115","Flt4",2.72781787008241e-289,6.36699969055936e-285,6.48171458288754,0.355,0.01
"endothelial cell","CL:0000115","Mall",4.90618727435952e-286,1.14515317170826e-281,4.77631710539629,0.304,0.002
"endothelial cell","CL:0000115","Pcdh17",2.31180672678626e-279,5.39598808099181e-275,5.10772511196964,0.397,0.02
"endothelial cell","CL:0000115","Arap3",9.84306274007943e-276,2.29746927416194e-271,4.7422348962133,0.4,0.021
"endothelial cell","CL:0000115","Itga6",5.06647978619512e-274,1.1825670468958e-269,4.76366891894089,0.531,0.062
"endothelial cell","CL:0000115","Id1",5.51318399366103e-273,1.28683227596042e-268,5.05239601618497,0.698,0.158
"endothelial cell","CL:0000115","Gpr4",2.57292770233915e-270,6.0054705500298e-266,6.06431020181878,0.406,0.024
"endothelial cell","CL:0000115","Eng",4.3311017527595e-265,1.01092246011159e-260,4.23644374477661,0.897,0.389
"endothelial cell","CL:0000115","Cyp4b1",1.36287795775306e-263,3.18109344119142e-259,5.55737418480365,0.606,0.107
"endothelial cell","CL:0000115","Adcy4",9.74757859373094e-262,2.27518231956274e-257,5.49448763803735,0.479,0.048
"endothelial cell","CL:0000115","Itga1",1.37132228416209e-259,3.20080334346272e-255,4.51398137987417,0.518,0.062
"endothelial cell","CL:0000115","Cd200",1.86068283094866e-256,4.34301979571726e-252,3.82318856148644,0.799,0.232
"endothelial cell","CL:0000115","Erg",1.94249779295976e-255,4.53398409854738e-251,5.47689133738528,0.296,0.005
"endothelial cell","CL:0000115","Pdgfb",4.90399848424553e-250,1.14464228620775e-245,5.39340539504017,0.398,0.028
"endothelial cell","CL:0000115","Jam2",1.69769012312512e-242,3.96257851638634e-238,4.60340878166125,0.735,0.215
"endothelial cell","CL:0000115","Aplnr",9.43639880447767e-242,2.20254984495313e-237,7.32190124711162,0.299,0.008
"endothelial cell","CL:0000115","Crip2",1.89357594846088e-241,4.41979562130254e-237,3.01635152748635,0.916,0.482
"endothelial cell","CL:0000115","1190002H23Rik",1.03441922140329e-238,2.41443790467743e-234,4.15467699611271,0.777,0.27
"endothelial cell","CL:0000115","Sorbs1",3.42881363804199e-237,8.0031939125538e-233,4.53699202211059,0.645,0.135
"endothelial cell","CL:0000115","Ccdc85a",9.59115246319673e-236,2.23867089643475e-231,6.43765570260321,0.265,0.003
"endothelial cell","CL:0000115","Pde2a",8.5796109383147e-235,2.00256698911203e-230,4.10414888296805,0.587,0.103
"endothelial cell","CL:0000115","Scarb1",9.25417698181893e-234,2.16001744932636e-229,5.13544654231502,0.654,0.156
"endothelial cell","CL:0000115","Sema7a",2.00066859045495e-232,4.66976055698091e-228,5.08480775487448,0.32,0.014
"endothelial cell","CL:0000115","Pkp4",2.86199780231859e-230,6.68018907039181e-226,4.18665839922444,0.549,0.086
"endothelial cell","CL:0000115","Akap2",1.14315549011749e-228,2.66823922948324e-224,4.0846707021553,0.751,0.224
"endothelial cell","CL:0000115","Gpr182",2.93959352413313e-226,6.86130524467913e-222,6.25035435679072,0.29,0.009
"endothelial cell","CL:0000115","Tspan13",2.66296963463301e-223,6.2156374241969e-219,2.928037144387,0.856,0.348
"endothelial cell","CL:0000115","Tspan15",9.97762309401906e-223,2.32887700637499e-218,7.36051328497116,0.347,0.023
"endothelial cell","CL:0000115","Trim37",9.99347370870998e-218,2.33257669835e-213,3.75405409064674,0.542,0.091
"endothelial cell","CL:0000115","Nova2",9.17591220130968e-217,2.14174966690769e-212,4.31046512034979,0.272,0.008
"endothelial cell","CL:0000115","Sorbs2",1.46269901027834e-216,3.41408575989068e-212,5.08007955492111,0.329,0.019
"endothelial cell","CL:0000115","Sema6a",2.00765905781326e-215,4.68607700684193e-211,4.55527349681296,0.513,0.081
"endothelial cell","CL:0000115","Nrarp",1.52424645083172e-214,3.55774364088632e-210,4.31854320677084,0.359,0.027
"endothelial cell","CL:0000115","Abcg2",1.22485783963013e-213,2.85894068348069e-209,4.88598598269927,0.581,0.124
"endothelial cell","CL:0000115","Nes",7.54629370763845e-212,1.76138041429989e-207,5.42630927282858,0.311,0.017
"endothelial cell","CL:0000115","Shank3",8.30783548682766e-212,1.93913188098044e-207,3.55151721582171,0.287,0.011
"endothelial cell","CL:0000115","Efcab4a",2.10626975556652e-211,4.9162442364678e-207,4.82749195125696,0.476,0.069
"endothelial cell","CL:0000115","Prex2",3.32039432069761e-211,7.75013238394028e-207,3.97202824646812,0.557,0.104
"endothelial cell","CL:0000115","Timp3",5.27544320061927e-209,1.23134119745654e-204,2.70746916111953,0.928,0.477
"endothelial cell","CL:0000115","Mcf2l",6.65166503638742e-209,1.55256513614319e-204,4.91950212520435,0.37,0.032
"endothelial cell","CL:0000115","Snrk",9.77555790000499e-209,2.28171296944016e-204,3.59853961716965,0.844,0.383
"endothelial cell","CL:0000115","Ly6c1",4.84340152260338e-202,1.13049834939086e-197,2.85790130993347,0.897,0.563
"endothelial cell","CL:0000115","Myo10",8.5002162369332e-202,1.98403547186258e-197,4.57570470995771,0.512,0.089
