"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"epithelial cell of large intestine","CL:0002253","Mgst1",0,0,3.85706392003442,0.771,0.213
"epithelial cell of large intestine","CL:0002253","Sult1a1",0,0,3.7332024506879,0.873,0.305
"epithelial cell of large intestine","CL:0002253","Clca4",0,0,3.58661321291777,0.821,0.227
"epithelial cell of large intestine","CL:0002253","Cftr",0,0,3.2221199665199,0.798,0.193
"epithelial cell of large intestine","CL:0002253","Csrp2",0,0,2.6674742902253,0.912,0.459
"epithelial cell of large intestine","CL:0002253","Gpx2",0,0,2.35056417856008,0.964,0.449
"epithelial cell of large intestine","CL:0002253","Ptma",0,0,2.10869577450447,0.992,0.759
"epithelial cell of large intestine","CL:0002253","Ncl",0,0,2.08271752446854,0.99,0.788
"epithelial cell of large intestine","CL:0002253","Rps19",0,0,1.78592314371159,0.996,0.88
"epithelial cell of large intestine","CL:0002253","Rps2",0,0,1.73265166799866,0.992,0.842
"epithelial cell of large intestine","CL:0002253","Rpsa",0,0,1.67466548515622,0.997,0.911
"epithelial cell of large intestine","CL:0002253","Rps18",0,0,1.62233976399942,0.997,0.898
"epithelial cell of large intestine","CL:0002253","Rps8",0,0,1.58836650673145,0.997,0.893
"epithelial cell of large intestine","CL:0002253","Rpl13",0,0,1.56801628722244,0.997,0.922
"epithelial cell of large intestine","CL:0002253","Rps5",0,0,1.51604510060142,0.996,0.912
"epithelial cell of large intestine","CL:0002253","Rpl35",2.86552465801024e-307,6.6884211042617e-303,1.71969209592973,0.993,0.86
"epithelial cell of large intestine","CL:0002253","Rps26",3.03614496852273e-303,7.0866659710289e-299,1.46540110762886,0.994,0.904
"epithelial cell of large intestine","CL:0002253","Kcnq1",5.74429899490707e-302,1.34077682840126e-297,3.62630035684122,0.721,0.155
"epithelial cell of large intestine","CL:0002253","Rpl32",1.83162200564472e-298,4.27518892337535e-294,1.49712772717024,0.996,0.89
"epithelial cell of large intestine","CL:0002253","Rpl8",1.89211773926675e-291,4.41639201522252e-287,1.3381124418292,0.995,0.903
"epithelial cell of large intestine","CL:0002253","Rpl12",2.63127853968804e-290,6.14166723948585e-286,1.63812811812393,0.99,0.673
"epithelial cell of large intestine","CL:0002253","Rps12",1.29091523567076e-283,3.01312525157913e-279,1.43336132521248,0.994,0.871
"epithelial cell of large intestine","CL:0002253","Rpl10a",1.77390798609939e-278,4.14047863035459e-274,1.5339541780221,0.987,0.792
"epithelial cell of large intestine","CL:0002253","Hmgn1",1.3875993913708e-277,3.23879573939859e-273,2.59054084756288,0.841,0.328
"epithelial cell of large intestine","CL:0002253","Rpl13a",1.57907986652717e-276,3.68573031646106e-272,1.30016740197206,0.994,0.915
"epithelial cell of large intestine","CL:0002253","Rps15",1.31588879131302e-275,3.07141602780373e-271,1.35842169662086,0.995,0.899
"epithelial cell of large intestine","CL:0002253","Rps9",3.43775263476978e-274,8.02405842481614e-270,1.49696255981616,0.994,0.916
"epithelial cell of large intestine","CL:0002253","Rps10",5.41280640893741e-274,1.26340314391008e-269,1.36257186903519,0.995,0.917
"epithelial cell of large intestine","CL:0002253","Hsp90ab1",1.25525476784646e-270,2.92989015363041e-266,1.45728192352779,0.997,0.94
"epithelial cell of large intestine","CL:0002253","Rpl36",1.2103180658362e-269,2.82500339746827e-265,1.38512205581752,0.997,0.951
"epithelial cell of large intestine","CL:0002253","Rps24",4.74062605714957e-267,1.10650952799928e-262,1.45494193999387,0.992,0.844
"epithelial cell of large intestine","CL:0002253","Rpl35a",6.44415676458429e-267,1.50413063042162e-262,1.29561329746637,0.991,0.869
"epithelial cell of large intestine","CL:0002253","Notch1",5.92209665677591e-259,1.38227658065807e-254,3.14829808421639,0.645,0.122
"epithelial cell of large intestine","CL:0002253","Rpl18",2.31592922528253e-256,5.40561040473195e-252,1.20274495184865,0.991,0.937
"epithelial cell of large intestine","CL:0002253","Rplp2",3.16290279716134e-256,7.38253141885428e-252,1.27633360459849,0.994,0.927
"epithelial cell of large intestine","CL:0002253","Acsm3",1.06164890259801e-252,2.47799470355402e-248,5.03505830064513,0.531,0.042
"epithelial cell of large intestine","CL:0002253","Hmgb2",3.66885122758691e-252,8.5634656503106e-248,2.80894396060485,0.913,0.616
"epithelial cell of large intestine","CL:0002253","Rps28",1.39275412082152e-249,3.25082739340951e-245,1.25093894888482,0.995,0.929
"epithelial cell of large intestine","CL:0002253","Rpl37a",4.14998383177733e-248,9.68647726175145e-244,1.28116179424755,0.996,0.956
"epithelial cell of large intestine","CL:0002253","Rps16",1.77810075770671e-246,4.15026497856323e-242,1.31776236741909,0.989,0.888
"epithelial cell of large intestine","CL:0002253","Hspe1",1.51065031306479e-245,3.52600889572452e-241,1.92684670277406,0.912,0.579
"epithelial cell of large intestine","CL:0002253","Rpl23a",2.25633280538336e-244,5.2665064010453e-240,1.33514139059142,0.987,0.875
"epithelial cell of large intestine","CL:0002253","Rpl28",4.95178281840544e-244,1.15579562764401e-239,1.26840377000177,0.995,0.932
"epithelial cell of large intestine","CL:0002253","Rpl18a",1.84876029775481e-243,4.3151914109895e-239,1.12975802786364,0.998,0.982
"epithelial cell of large intestine","CL:0002253","Rps4x",3.50722154319704e-242,8.1862058039762e-238,1.50754372278896,0.978,0.811
"epithelial cell of large intestine","CL:0002253","Rps23",4.79144706775674e-241,1.1183716600851e-236,1.26983660505566,0.991,0.89
"epithelial cell of large intestine","CL:0002253","Kcne3",8.09199499783119e-241,1.88875255244378e-236,3.01445936082796,0.787,0.324
"epithelial cell of large intestine","CL:0002253","Rps20",1.23184205208152e-237,2.87524253376347e-233,1.31374714396915,0.991,0.918
"epithelial cell of large intestine","CL:0002253","Rpl3",2.7290510936818e-235,6.36987815776268e-231,1.48392779134493,0.989,0.789
"epithelial cell of large intestine","CL:0002253","Stmn1",3.72945099838658e-235,8.70491157533411e-231,3.23656411419632,0.76,0.324
"epithelial cell of large intestine","CL:0002253","Rps21",3.64199519479338e-234,8.50078098416723e-230,1.26770252152305,0.985,0.813
"epithelial cell of large intestine","CL:0002253","Rps15a",1.67380703096483e-233,3.90683299097501e-229,1.53066777236507,0.96,0.732
"epithelial cell of large intestine","CL:0002253","Rps17",7.23282638138152e-232,1.68821400567826e-227,1.24555744413348,0.992,0.881
"epithelial cell of large intestine","CL:0002253","Shmt1",2.12378149529585e-228,4.95711838817004e-224,3.80233522364635,0.598,0.128
"epithelial cell of large intestine","CL:0002253","Snrpf",4.36778709388097e-228,1.01948518558276e-223,1.81163606001456,0.865,0.492
"epithelial cell of large intestine","CL:0002253","Sox4",3.15074258566412e-227,7.35414826919863e-223,2.2578326911778,0.728,0.232
"epithelial cell of large intestine","CL:0002253","Isyna1",7.60654133030362e-226,1.77544281190617e-221,2.68787629717734,0.75,0.294
"epithelial cell of large intestine","CL:0002253","Rps13",2.45416016229825e-224,5.72825523482034e-220,1.25601797914001,0.983,0.846
"epithelial cell of large intestine","CL:0002253","Rpl4",9.11583326023388e-224,2.12772664127119e-219,1.42312061731929,0.997,0.9
"epithelial cell of large intestine","CL:0002253","Mif",1.004653154399e-223,2.3449609276827e-219,1.79912882147177,0.912,0.616
"epithelial cell of large intestine","CL:0002253","Hspd1",3.33149850473928e-223,7.77605065991195e-219,2.22062519621819,0.905,0.57
"epithelial cell of large intestine","CL:0002253","Rpl19",7.48264578318835e-223,1.74652435225399e-218,1.02840468562331,0.993,0.939
"epithelial cell of large intestine","CL:0002253","Rps3",1.60150048976534e-222,3.73806229316129e-218,1.28390630044951,0.993,0.924
"epithelial cell of large intestine","CL:0002253","Rpl6",8.28646523739488e-220,1.93414385106034e-215,1.35768046212343,0.988,0.833
"epithelial cell of large intestine","CL:0002253","Rpl22",1.31605156567576e-217,3.07179595944379e-213,1.33855688580508,0.982,0.796
"epithelial cell of large intestine","CL:0002253","Otc",8.7743331866427e-217,2.04801710909427e-212,4.60334992334134,0.472,0.035
"epithelial cell of large intestine","CL:0002253","Rpl21",4.93845482845443e-215,1.15268474150955e-210,1.1451829667068,0.994,0.914
"epithelial cell of large intestine","CL:0002253","Rpl14",8.38951196526333e-215,1.95819598781211e-210,1.2859192471176,0.991,0.879
"epithelial cell of large intestine","CL:0002253","Snrpd2",1.49657552007795e-212,3.49315692141395e-208,1.66757100284545,0.903,0.579
"epithelial cell of large intestine","CL:0002253","Rpl31",4.9596913731638e-212,1.15764156341016e-207,1.03565161301318,0.989,0.922
"epithelial cell of large intestine","CL:0002253","Rpl29",1.20145038060588e-209,2.80430533337218e-205,1.14100046353373,0.983,0.872
"epithelial cell of large intestine","CL:0002253","Rpl27a",5.46906430167238e-209,1.27653429865335e-204,1.33050993064937,0.984,0.783
"epithelial cell of large intestine","CL:0002253","1300001I01Rik",2.84006149120519e-208,6.62898752662202e-204,2.24903556795119,0.774,0.311
"epithelial cell of large intestine","CL:0002253","Rpl17",3.4221872405717e-207,7.98772723821841e-203,1.14357542919397,0.994,0.93
"epithelial cell of large intestine","CL:0002253","Myb",3.57440785892764e-206,8.343025383523e-202,2.60457376544774,0.703,0.239
"epithelial cell of large intestine","CL:0002253","Adck3",7.26047908050633e-206,1.69466842218098e-201,3.31712064856801,0.619,0.176
"epithelial cell of large intestine","CL:0002253","Rpl15",1.77904787268305e-205,4.1524756396295e-201,1.36122708839877,0.959,0.808
"epithelial cell of large intestine","CL:0002253","Rps11",2.46000609495127e-203,5.74190022622576e-199,1.10281660324479,0.994,0.946
