"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"skeletal muscle satellite cell","CL:0000594","Chodl",8.59889071715029e-180,2.00706708229005e-175,7.00586536126345,0.939,0.027
"skeletal muscle satellite cell","CL:0000594","Des",1.22656471518328e-162,2.86292470170929e-158,6.18823855455933,0.913,0.1
"skeletal muscle satellite cell","CL:0000594","Cd82",3.35332383173131e-160,7.82699315564404e-156,4.90567969019851,0.952,0.244
"skeletal muscle satellite cell","CL:0000594","Sdc4",6.96746424928428e-154,1.62627583042545e-149,4.07988481473937,0.996,0.758
"skeletal muscle satellite cell","CL:0000594","Asb5",1.490983824887e-151,3.48010534566874e-147,7.76526121060683,0.844,0.04
"skeletal muscle satellite cell","CL:0000594","Crlf1",1.8052969867104e-148,4.21374369668073e-144,4.46982295554109,0.915,0.164
"skeletal muscle satellite cell","CL:0000594","Fam132b",2.29493433225623e-132,5.35660622491926e-128,7.25479177601362,0.77,0.033
"skeletal muscle satellite cell","CL:0000594","Gpx3",1.15570229480284e-131,2.69752472629932e-127,2.92575119526125,0.978,0.613
"skeletal muscle satellite cell","CL:0000594","Ncam1",2.1390744975072e-130,4.99281378463155e-126,4.41073445779407,0.87,0.151
"skeletal muscle satellite cell","CL:0000594","Musk",2.06877117484595e-129,4.82871879920793e-125,4.33158370863208,0.878,0.193
"skeletal muscle satellite cell","CL:0000594","Runx1",5.40497863555686e-119,1.26157606332533e-114,4.0069769243222,0.883,0.267
"skeletal muscle satellite cell","CL:0000594","Cd63",4.80358813930841e-112,1.12120550759598e-107,2.03723322141277,0.978,0.653
"skeletal muscle satellite cell","CL:0000594","Arl4d",8.91158917095253e-110,2.08005402839203e-105,3.75558212728649,0.826,0.213
"skeletal muscle satellite cell","CL:0000594","Chrdl2",9.45255383510363e-108,2.20632059065154e-103,6.26545302968924,0.665,0.022
"skeletal muscle satellite cell","CL:0000594","Myf5",5.40374785947615e-107,1.26128878788033e-102,6.96396656077364,0.656,0.016
"skeletal muscle satellite cell","CL:0000594","Cnn3",1.94494862861835e-103,4.53970459405808e-99,2.25230842358113,0.954,0.669
"skeletal muscle satellite cell","CL:0000594","Pdlim4",5.01503711755063e-100,1.17055981360749e-95,3.0667033367343,0.87,0.395
"skeletal muscle satellite cell","CL:0000594","Gnas",5.10357170858505e-100,1.19122467250084e-95,2.02613362712383,0.987,0.936
"skeletal muscle satellite cell","CL:0000594","Myl12a",1.28638151562928e-99,3.0025430956303e-95,1.60921565611279,0.98,0.927
"skeletal muscle satellite cell","CL:0000594","Fgfr4",1.12744787755522e-98,2.63157609100163e-94,6.80841537239162,0.62,0.018
"skeletal muscle satellite cell","CL:0000594","Vcam1",2.43975208485287e-96,5.69462534125509e-92,3.94288212327193,0.813,0.235
"skeletal muscle satellite cell","CL:0000594","Pdpn",2.00620473772957e-95,4.6826824783346e-91,2.61658419643604,0.956,0.493
"skeletal muscle satellite cell","CL:0000594","Tnfrsf12a",3.3327340374118e-94,7.77893451672289e-90,2.63679271710303,0.906,0.567
"skeletal muscle satellite cell","CL:0000594","Flnc",2.04875819220116e-92,4.78200649641674e-88,3.71499248908389,0.789,0.204
"skeletal muscle satellite cell","CL:0000594","Akap2",2.29974256993081e-92,5.36782913247551e-88,2.57216094755679,0.915,0.418
"skeletal muscle satellite cell","CL:0000594","Eef1a1",4.42228032328686e-92,1.03220445025839e-87,1.07117849862293,0.998,1
"skeletal muscle satellite cell","CL:0000594","Cdh15",3.42893117661521e-88,8.00346825933757e-84,7.86941578861212,0.559,0.011
"skeletal muscle satellite cell","CL:0000594","Rpl4",1.75385599609109e-87,4.09367528047621e-83,1.34233764600769,0.993,0.94
"skeletal muscle satellite cell","CL:0000594","Pde4b",7.17527866630016e-87,1.67478179350112e-82,2.00244115992359,0.976,0.745
"skeletal muscle satellite cell","CL:0000594","Chrnb1",2.14492035373246e-81,5.00645859764693e-77,3.93701919327203,0.646,0.1
"skeletal muscle satellite cell","CL:0000594","Peg3",4.57330557440919e-80,1.06745525412285e-75,3.9043614494381,0.693,0.142
"skeletal muscle satellite cell","CL:0000594","Notch3",2.19018306388795e-79,5.11210628942086e-75,3.61150043749437,0.578,0.045
"skeletal muscle satellite cell","CL:0000594","Odc1",1.05472260174914e-76,2.46182802474267e-72,3.2825927611727,0.863,0.545
"skeletal muscle satellite cell","CL:0000594","Rplp0",5.3311242764407e-76,1.24433771736402e-71,1.13556217111925,0.996,0.967
"skeletal muscle satellite cell","CL:0000594","Bdkrb1",1.50635396666502e-75,3.51598079359281e-71,5.06224779179782,0.528,0.031
"skeletal muscle satellite cell","CL:0000594","Rps19",1.90138540440947e-75,4.43802367243215e-71,1.02161532905731,0.996,0.96
"skeletal muscle satellite cell","CL:0000594","Rpl37",9.54798172890265e-75,2.22859441534317e-70,1.04007269612422,0.991,0.935
"skeletal muscle satellite cell","CL:0000594","Clcf1",1.54711466113631e-74,3.61112033055827e-70,5.41282356277289,0.578,0.076
"skeletal muscle satellite cell","CL:0000594","Slc43a3",1.89010803694175e-74,4.41170116902574e-70,2.12401803621708,0.915,0.625
"skeletal muscle satellite cell","CL:0000594","Rps6",2.77164035162662e-74,6.4692857447317e-70,1.16816031510791,0.991,0.933
"skeletal muscle satellite cell","CL:0000594","Hspa5",1.34564535203773e-73,3.14087081619127e-69,1.79872362483396,0.996,0.971
"skeletal muscle satellite cell","CL:0000594","Rpl13",1.47329196636262e-73,3.438810778687e-69,0.921505982620673,0.993,0.969
"skeletal muscle satellite cell","CL:0000594","Tln2",3.16708453074842e-72,7.39229200321988e-68,3.05663398416868,0.656,0.14
"skeletal muscle satellite cell","CL:0000594","Lmna",8.14231247761361e-72,1.90049715539979e-67,1.62570836623974,0.989,0.82
"skeletal muscle satellite cell","CL:0000594","Slc39a14",9.88738127666815e-72,2.30781366378711e-67,3.79820012754117,0.707,0.209
"skeletal muscle satellite cell","CL:0000594","Pmepa1",2.16173129729567e-70,5.04569702101781e-66,2.79218644722863,0.839,0.384
"skeletal muscle satellite cell","CL:0000594","Rps3a",2.68305856955018e-70,6.26252700718707e-66,1.02251687656777,0.991,0.942
"skeletal muscle satellite cell","CL:0000594","Fosl1",3.31565442287939e-70,7.73906898844279e-66,2.99576250262752,0.737,0.262
"skeletal muscle satellite cell","CL:0000594","Rps3",7.69780142563156e-70,1.79674383075666e-65,0.997092777255514,0.993,0.947
"skeletal muscle satellite cell","CL:0000594","Insig2",1.37751722920942e-68,3.2152629646977e-64,3.11001450388842,0.754,0.3
"skeletal muscle satellite cell","CL:0000594","Fxyd6",3.77735674723564e-68,8.81672838372271e-64,2.63345151998931,0.722,0.242
"skeletal muscle satellite cell","CL:0000594","Meg3",1.23120826356733e-67,2.87376320799251e-63,2.21891314617446,0.828,0.382
"skeletal muscle satellite cell","CL:0000594","Rps5",1.29240169379347e-67,3.01659479348335e-63,1.15276998996536,0.985,0.929
"skeletal muscle satellite cell","CL:0000594","Uck2",6.80719670716143e-67,1.58886778341855e-62,3.43093023773468,0.641,0.16
"skeletal muscle satellite cell","CL:0000594","Rpl18",3.40963483756599e-66,7.95842867436278e-62,0.968341840056802,0.981,0.913
"skeletal muscle satellite cell","CL:0000594","Mt2",3.41439987420182e-66,7.96955074637447e-62,1.61786200865769,0.969,0.653
"skeletal muscle satellite cell","CL:0000594","Sqstm1",3.70665167433495e-66,8.65169567306521e-62,1.34999900935286,0.987,0.911
"skeletal muscle satellite cell","CL:0000594","Tgif1",4.51737863282992e-66,1.05440134668883e-61,2.19993101333754,0.852,0.498
"skeletal muscle satellite cell","CL:0000594","Rps18",1.08351085324026e-65,2.52902268254808e-61,0.968186703979448,0.991,0.951
"skeletal muscle satellite cell","CL:0000594","Rps4x",4.71976817677986e-65,1.10164109014219e-60,1.16688403841749,0.983,0.896
"skeletal muscle satellite cell","CL:0000594","Drp2",7.74744929834132e-65,1.80833214072585e-60,5.11186300183665,0.463,0.022
"skeletal muscle satellite cell","CL:0000594","Itga7",8.48215910747653e-65,1.9798207572761e-60,5.85829435786386,0.481,0.035
"skeletal muscle satellite cell","CL:0000594","Rpl10a",8.62384324700251e-65,2.01289125228285e-60,1.21484760323998,0.972,0.838
"skeletal muscle satellite cell","CL:0000594","Edn3",3.17759068354222e-63,7.4168144144559e-59,7.16083846792393,0.43,0.009
"skeletal muscle satellite cell","CL:0000594","Rps14",3.51200567954592e-63,8.19737245662814e-59,0.930201811632609,0.994,0.971
"skeletal muscle satellite cell","CL:0000594","Rpl7",5.90599655521625e-63,1.37851865595302e-58,1.09117686671176,0.987,0.935
"skeletal muscle satellite cell","CL:0000594","Pde4d",8.52775071467459e-63,1.9904622943122e-58,3.53798797883378,0.58,0.105
"skeletal muscle satellite cell","CL:0000594","Fgfr1",3.11703656222264e-62,7.27547503988385e-58,1.91491251960382,0.922,0.513
"skeletal muscle satellite cell","CL:0000594","Arid5b",5.94668246744156e-62,1.38801515472553e-57,2.04838416897959,0.874,0.569
"skeletal muscle satellite cell","CL:0000594","Calcr",7.5295521770775e-62,1.75747277365166e-57,6.75576983546186,0.417,0.005
"skeletal muscle satellite cell","CL:0000594","Cux1",1.11790349567358e-61,2.6092985492517e-57,2.58757873754217,0.739,0.287
"skeletal muscle satellite cell","CL:0000594","Myod1",2.6700269105735e-61,6.23210981196961e-57,7.6248438663986,0.454,0.033
"skeletal muscle satellite cell","CL:0000594","Gal",9.33937163631474e-61,2.17990273363222e-56,8.22222309654058,0.417,0.009
"skeletal muscle satellite cell","CL:0000594","Errfi1",2.81547382182939e-60,6.57159744753197e-56,1.78777642221745,0.961,0.616
"skeletal muscle satellite cell","CL:0000594","F2r",4.04492797271672e-60,9.44126638111809e-56,2.75798429423287,0.68,0.198
"skeletal muscle satellite cell","CL:0000594","Rpl9",5.13454264772895e-60,1.19845359940641e-55,0.960748542411318,0.987,0.94
"skeletal muscle satellite cell","CL:0000594","Eif4a1",9.09506464256646e-60,2.12287903822144e-55,1.35306445499562,0.97,0.895
"skeletal muscle satellite cell","CL:0000594","Ank3",6.86523643246301e-58,1.60241483570119e-53,4.24777180949644,0.476,0.053
"skeletal muscle satellite cell","CL:0000594","Rpl36",7.1271389723199e-58,1.66354550752919e-53,0.859102636120133,0.989,0.953
"skeletal muscle satellite cell","CL:0000594","Rpl14",1.13285411613749e-57,2.64419479247652e-53,0.997765369311354,0.987,0.927
"skeletal muscle satellite cell","CL:0000594","Rps23",1.26537742980661e-57,2.95351745891161e-53,0.766698881289008,0.994,0.947
"skeletal muscle satellite cell","CL:0000594","Trib1",5.76554827869748e-57,1.34573662373078e-52,2.53349722948783,0.809,0.413
"skeletal muscle satellite cell","CL:0000594","Rpl18a",7.2921542350225e-57,1.7020617199966e-52,0.774701438931231,0.996,0.987
"skeletal muscle satellite cell","CL:0000594","Rpl31",1.45734200255117e-56,3.40158196815469e-52,0.939941153660033,0.987,0.938
"skeletal muscle satellite cell","CL:0000594","Rps8",5.86683484882917e-56,1.36937792206522e-51,0.936136187229696,0.993,0.924
"skeletal muscle satellite cell","CL:0000594","Rpl23",1.17138026233731e-55,2.73411867032151e-51,0.935136368580368,0.985,0.935
"skeletal muscle satellite cell","CL:0000594","Apoe",2.60220267239971e-55,6.07380125764817e-51,0.912311353479277,0.98,0.856
"skeletal muscle satellite cell","CL:0000594","Rpl3",2.77504159673494e-55,6.47722459093902e-51,1.02552566319025,0.991,0.935
"skeletal muscle satellite cell","CL:0000594","Rpl36a",3.21581905615549e-55,7.50604325897253e-51,1.21234502450787,0.961,0.804
