"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"natural killer cell","CL:0000623","Il2rb",6.7634092849047e-135,1.57864736118961e-130,10.1966018813378,0.949,0.006
"natural killer cell","CL:0000623","Cd3e",1.37041144851891e-126,3.19867736198798e-122,6.96008812204973,0.897,0.006
"natural killer cell","CL:0000623","Thy1",4.79896822314496e-118,1.12012717296427e-113,7.29729676462872,0.846,0.006
"natural killer cell","CL:0000623","Sh2d2a",1.00459486942728e-114,2.34482488473021e-110,7.87769968396567,0.846,0.007
"natural killer cell","CL:0000623","Cd226",5.12163740779349e-113,1.19544138735308e-108,8.20573871767678,0.795,0.004
"natural killer cell","CL:0000623","Tbx21",2.72014350377717e-112,6.34908695216629e-108,8.20728938523647,0.769,0.003
"natural killer cell","CL:0000623","Skap1",3.05032929525806e-112,7.11977360806183e-108,9.42361360039363,0.949,0.019
"natural killer cell","CL:0000623","Ms4a4b",3.04751097587605e-110,7.11319536879229e-106,9.93543232588186,0.974,0.024
"natural killer cell","CL:0000623","Cxcr6",4.5456169814648e-109,1.0609924596437e-104,10.112794310855,0.769,0.004
"natural killer cell","CL:0000623","Bcl11b",2.60864793726018e-108,6.08884515035898e-104,7.64412297847818,0.744,0.003
"natural killer cell","CL:0000623","Nkg7",3.21572575404974e-108,7.50582548252749e-104,11.0433591053701,0.923,0.019
"natural killer cell","CL:0000623","Xcl1",9.88605226372359e-108,2.30750345887572e-103,7.88893866096512,0.718,0.001
"natural killer cell","CL:0000623","Ctsw",1.94964118724297e-106,4.55065749514382e-102,9.07832887428272,0.872,0.015
"natural killer cell","CL:0000623","Cd3g",2.77794884821045e-106,6.484010406608e-102,9.90165450172445,0.897,0.018
"natural killer cell","CL:0000623","Cd3d",3.16596132115527e-102,7.38967031970852e-98,9.02727777764325,0.897,0.021
"natural killer cell","CL:0000623","Fasl",1.32008535062056e-99,3.08121121688346e-95,9.01145624190803,0.667,0.001
"natural killer cell","CL:0000623","Ccl5",1.58133090926476e-92,3.69098447531488e-88,9.4744535936024,0.923,0.033
"natural killer cell","CL:0000623","Lat",2.49385752202979e-92,5.82091284216974e-88,8.64123729181432,0.821,0.019
"natural killer cell","CL:0000623","Gimap7",1.56310421790331e-88,3.64844155500813e-84,6.07670352730825,0.821,0.021
"natural killer cell","CL:0000623","Itk",4.15733395071659e-88,9.70363317436759e-84,5.34730727047429,0.641,0.004
"natural killer cell","CL:0000623","Cxcr3",2.95257351218331e-87,6.89160183478707e-83,9.41242284730199,0.718,0.012
"natural killer cell","CL:0000623","Cd160",1.83782476274881e-86,4.289666778732e-82,8.82576881676581,0.744,0.015
"natural killer cell","CL:0000623","Hcst",3.53566872402538e-82,8.25260436874763e-78,5.66942694773729,0.923,0.041
"natural killer cell","CL:0000623","Txk",5.04879246002116e-80,1.17843864809354e-75,7.37316970565766,0.564,0.003
"natural killer cell","CL:0000623","Gimap3",3.4354797648569e-79,8.01875331915249e-75,5.25352164476415,0.974,0.053
"natural killer cell","CL:0000623","Klrb1c",9.90925349059525e-77,2.31291885723984e-72,8.79654079005254,0.564,0.004
"natural killer cell","CL:0000623","Cd247",1.56922065462252e-75,3.66271792995442e-71,8.07329820157803,0.641,0.012
"natural killer cell","CL:0000623","Lck",1.87509173020076e-74,4.37665160746159e-70,7.14124097186311,0.974,0.067
"natural killer cell","CL:0000623","Cd2",1.03557051028717e-73,2.41712512806129e-69,4.94026490592734,0.897,0.046
"natural killer cell","CL:0000623","Fam189b",1.55455218393564e-72,3.62848025252418e-68,6.47901576361609,0.744,0.025
"natural killer cell","CL:0000623","Cd40lg",2.36053953199818e-71,5.50973532163696e-67,5.67933775199094,0.462,0
"natural killer cell","CL:0000623","Dusp2",9.87769724184298e-71,2.30555331321857e-66,5.93094210962207,0.949,0.064
