"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"stromal cell","CL:0000499","Rarres2",4.26487776962559e-288,9.95465120208309e-284,5.36238359348973,0.943,0.063
"stromal cell","CL:0000499","Loxl1",3.12733112059533e-285,7.29950356858157e-281,7.29757912273403,0.894,0.036
"stromal cell","CL:0000499","Fxyd1",9.76718915321628e-272,2.27975962025221e-267,4.10344218741575,0.929,0.062
"stromal cell","CL:0000499","Sod3",1.34298983706682e-266,3.13467257869766e-262,6.68375173341763,0.934,0.096
"stromal cell","CL:0000499","Crispld2",2.62564590156324e-264,6.12852009883875e-260,6.89663904304256,0.882,0.057
"stromal cell","CL:0000499","Col1a1",4.73379335987736e-254,1.10491470812898e-249,8.29513703018397,0.896,0.085
"stromal cell","CL:0000499","Col1a2",1.10623685240785e-253,2.58206743720516e-249,8.16106164542436,0.965,0.16
"stromal cell","CL:0000499","Pdgfra",2.05758359406075e-246,4.8026058668972e-242,6.85876926981158,0.797,0.031
"stromal cell","CL:0000499","Ogn",4.11988925232764e-246,9.61623350385794e-242,6.30547613707335,0.884,0.09
"stromal cell","CL:0000499","Ms4a4d",3.63416838438719e-243,8.48251242599814e-239,8.18297011528973,0.792,0.035
"stromal cell","CL:0000499","Tcf21",8.09845856619345e-240,1.89026121393521e-235,6.21292041144574,0.752,0.015
"stromal cell","CL:0000499","Pcolce",1.74837638844075e-239,4.08088532825954e-235,6.66216689324066,0.898,0.116
"stromal cell","CL:0000499","Plxdc2",1.65011800451517e-238,3.85154043433886e-234,6.6809038279756,0.87,0.089
"stromal cell","CL:0000499","Col6a1",6.49385662267681e-237,1.51573107429899e-232,6.49275249689244,0.908,0.119
"stromal cell","CL:0000499","Pcolce2",1.10284054638059e-236,2.57414011930693e-232,5.74441197756842,0.894,0.107
"stromal cell","CL:0000499","Serping1",3.79512664037742e-234,8.85820509130494e-230,5.99393820115238,0.983,0.262
"stromal cell","CL:0000499","Bgn",3.2296043777421e-231,7.53821957808784e-227,4.79152945727021,0.991,0.259
"stromal cell","CL:0000499","Atp1a2",5.44719534329549e-231,1.2714298650786e-226,6.42360023855796,0.775,0.037
"stromal cell","CL:0000499","Clec3b",3.48664347745361e-230,8.13817454072446e-226,7.27083659819399,0.813,0.063
"stromal cell","CL:0000499","Ednra",1.04727445620583e-228,2.44444330823002e-224,7.31226984031801,0.7,0.007
"stromal cell","CL:0000499","Col6a2",1.37254384358784e-228,3.20365458531837e-224,7.72435503065497,0.872,0.118
"stromal cell","CL:0000499","Col6a3",4.88326538563638e-227,1.13980297366139e-222,7.1462878852329,0.768,0.04
"stromal cell","CL:0000499","C1qtnf7",2.08699344318973e-226,4.87125139574915e-222,6.84179064323958,0.721,0.017
"stromal cell","CL:0000499","Col3a1",5.46729547059466e-223,1.2761214357915e-218,7.69907430880578,0.915,0.167
"stromal cell","CL:0000499","Sdc2",6.24980168490283e-221,1.45876621127317e-216,5.65705734561062,0.818,0.073
"stromal cell","CL:0000499","Prelp",8.37317219512307e-221,1.95438212206368e-216,3.472328290089,0.92,0.118
"stromal cell","CL:0000499","Gpc3",2.38315967916999e-218,5.56253300715068e-214,7.5422531341345,0.766,0.05
"stromal cell","CL:0000499","Mxra8",4.65171090777995e-216,1.08575584298492e-211,4.28178250606984,0.967,0.221
"stromal cell","CL:0000499","C7",7.06441859085515e-216,1.6489059432915e-211,8.32084792981048,0.719,0.029
