"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"basal cell","CL:0000646","Krt14",0,0,8.5224743095971,0.978,0.327
"basal cell","CL:0000646","Krt5",0,0,8.21199703098666,0.972,0.142
"basal cell","CL:0000646","Acta2",0,0,8.2042097261618,0.975,0.45
"basal cell","CL:0000646","Cnn1",0,0,8.06675541587808,0.906,0.067
"basal cell","CL:0000646","Krt17",0,0,7.16988524300005,0.976,0.305
"basal cell","CL:0000646","Myh11",0,0,7.13169926218064,0.866,0.046
"basal cell","CL:0000646","Tagln",0,0,7.01564560363543,0.952,0.163
"basal cell","CL:0000646","Tpm2",0,0,6.91559796360748,0.973,0.204
"basal cell","CL:0000646","Mylk",0,0,6.13419188733285,0.928,0.1
"basal cell","CL:0000646","Cxcl14",0,0,5.51650951668129,0.969,0.139
"basal cell","CL:0000646","Gjb4",0,0,5.23309816768638,0.904,0.173
"basal cell","CL:0000646","Myl9",0,0,5.05426193150356,0.937,0.265
"basal cell","CL:0000646","Apoe",0,0,3.80100568428026,0.996,0.823
"basal cell","CL:0000646","Cotl1",0,0,3.50798440486967,0.963,0.577
"basal cell","CL:0000646","Rbp1",7.67538553641634e-298,1.79151173805494e-293,3.21958261710538,0.959,0.491
"basal cell","CL:0000646","Moxd1",5.74623100669034e-283,1.34122777927159e-278,6.6410010102334,0.787,0.021
"basal cell","CL:0000646","Col17a1",7.33775395917461e-283,1.71270515161095e-278,6.38903845599526,0.794,0.035
"basal cell","CL:0000646","Cdh3",1.8309661610069e-278,4.27365811640621e-274,6.16838424869229,0.775,0.018
"basal cell","CL:0000646","Gjb3",2.32114551173915e-277,5.41778573895036e-273,5.05874422299669,0.841,0.128
"basal cell","CL:0000646","Lgals7",1.12555491901146e-275,2.62715773646464e-271,3.11663062875568,0.948,0.337
"basal cell","CL:0000646","Igfbp3",6.16137831037143e-268,1.43812731142379e-263,3.19562160863871,0.896,0.161
"basal cell","CL:0000646","Palld",3.3969623254712e-265,7.92884976388232e-261,3.00603351197506,0.945,0.421
"basal cell","CL:0000646","Slpi",1.42000202955049e-259,3.3144267371738e-255,7.52822663536454,0.796,0.114
"basal cell","CL:0000646","Arl4c",1.83095479361983e-252,4.27363158378806e-248,4.22188893950493,0.84,0.168
"basal cell","CL:0000646","Phlda3",1.06860247532592e-245,2.49422503765824e-241,3.65075501581324,0.851,0.213
"basal cell","CL:0000646","Jag1",1.51612591595e-245,3.53878950041888e-241,3.31059556753093,0.931,0.438
"basal cell","CL:0000646","Emid1",2.67882364096964e-244,6.25264226038723e-240,4.4201979295375,0.793,0.113
"basal cell","CL:0000646","Smtn",5.0793259613724e-244,1.18556547264393e-239,3.10834456012162,0.928,0.347
"basal cell","CL:0000646","Emb",8.20041208792111e-243,1.91405818544167e-238,4.41349335650372,0.786,0.098
"basal cell","CL:0000646","Fst",1.43561639577409e-241,3.35087222937631e-237,3.61564570560881,0.898,0.298
"basal cell","CL:0000646","Wnt10a",2.16148145356922e-241,5.04511386077592e-237,7.12402813683002,0.707,0.023
"basal cell","CL:0000646","Myl6",1.02118908426526e-236,2.38355744158354e-232,1.39601507854753,0.996,0.983
"basal cell","CL:0000646","Chi3l1",4.46795629991041e-235,1.04286567996209e-230,4.69236005204307,0.84,0.207
"basal cell","CL:0000646","Trim29",1.01230325551103e-232,2.3628170286883e-228,4.32219499512985,0.783,0.13
"basal cell","CL:0000646","Id4",5.72269265983927e-232,1.33573369373308e-227,5.87045825594859,0.718,0.048
"basal cell","CL:0000646","Lamb3",2.64895826528431e-229,6.18293348700011e-225,3.74286331277585,0.811,0.141
"basal cell","CL:0000646","Lmo1",6.10356216234756e-228,1.42463244431354e-223,4.71692790789872,0.728,0.064
"basal cell","CL:0000646","Cpne8",3.48032383954515e-224,8.12342387388233e-220,2.96709313828097,0.869,0.245
"basal cell","CL:0000646","Dstn",6.76751044231735e-224,1.57960461234129e-219,1.72832290050394,0.99,0.918
"basal cell","CL:0000646","Sfn",2.6473490099483e-223,6.17917732412032e-219,1.86225895514136,0.98,0.64
"basal cell","CL:0000646","Fblim1",5.39031643251183e-223,1.25815375851259e-218,3.47959689860187,0.809,0.148
"basal cell","CL:0000646","Tpm1",7.60676292610731e-222,1.77549453458271e-217,1.85697772984533,0.983,0.838
"basal cell","CL:0000646","Ltbp2",8.77733949519433e-218,2.04871881157331e-213,3.86393059155834,0.759,0.102
"basal cell","CL:0000646","Pdlim4",1.50132182182396e-217,3.50423526431931e-213,2.76066327696165,0.895,0.404
"basal cell","CL:0000646","Crispld2",1.02407344352584e-207,2.39028982453365e-203,2.94490741373526,0.907,0.408
"basal cell","CL:0000646","Fermt1",1.67472069096203e-207,3.90896556477447e-203,3.93005188648141,0.775,0.158
"basal cell","CL:0000646","Arc",5.44341638655423e-206,1.27054781878562e-201,3.31098825740217,0.779,0.145
"basal cell","CL:0000646","Tes",2.15372546761634e-201,5.0270106139633e-197,2.23416234914701,0.927,0.46
"basal cell","CL:0000646","Perp",1.46960066400748e-200,3.43019490985986e-196,2.51025422091581,0.916,0.486
"basal cell","CL:0000646","1500015O10Rik",3.6396168475156e-197,8.49522968378617e-193,6.29064436688563,0.628,0.03
"basal cell","CL:0000646","Pqlc1",2.91106890955899e-196,6.79472594180163e-192,2.15254096649154,0.94,0.636
"basal cell","CL:0000646","Dusp7",9.46596152537066e-195,2.20945007963677e-190,2.61351587314187,0.908,0.4
"basal cell","CL:0000646","Snai2",1.59521458447704e-194,3.72339036162787e-190,5.05897075819802,0.673,0.08
"basal cell","CL:0000646","Csrp1",2.01635195742268e-194,4.70636710382028e-190,1.70101306183041,0.984,0.746
"basal cell","CL:0000646","Col9a2",4.05774498956749e-194,9.47118258014947e-190,4.04192768231361,0.688,0.079
"basal cell","CL:0000646","Runx1",2.8177929182775e-193,6.57701045055151e-189,2.16716869038298,0.939,0.433
"basal cell","CL:0000646","Bcam",3.63734645077891e-190,8.48993035076306e-186,2.02033077770603,0.928,0.448
"basal cell","CL:0000646","Set",1.68768884531431e-189,3.93923453384812e-185,1.38085826718856,0.993,0.952
"basal cell","CL:0000646","Stac2",1.86434663036802e-189,4.351571469942e-185,2.90710384550169,0.797,0.181
"basal cell","CL:0000646","Gsto1",2.6877200892742e-189,6.27340746037491e-185,2.33401961270376,0.905,0.528
"basal cell","CL:0000646","Atxn1",1.23798254556245e-187,2.8895750595973e-183,2.66732913288001,0.872,0.349
"basal cell","CL:0000646","Col16a1",5.27893433419345e-186,1.23215606294409e-181,2.56176632733003,0.852,0.254
"basal cell","CL:0000646","Cda",1.23515684050509e-183,2.88297958142292e-179,4.13455615553561,0.691,0.115
"basal cell","CL:0000646","Sox4",3.40393300939031e-183,7.94512003721792e-179,2.66793445377654,0.911,0.53
"basal cell","CL:0000646","Pltp",6.43262119984876e-183,1.5014381142567e-178,2.06241774582896,0.856,0.309
"basal cell","CL:0000646","Lama3",4.26165791057225e-181,9.94713572906668e-177,4.42779370901004,0.637,0.059
"basal cell","CL:0000646","Pmepa1",8.80292983303841e-180,2.0546918523295e-175,2.03967298922812,0.969,0.749
"basal cell","CL:0000646","Actn1",3.87498426914711e-179,9.04460078261627e-175,2.12438016833167,0.896,0.37
"basal cell","CL:0000646","Actg2",8.1695298911119e-178,1.90684997188443e-173,7.24177031778026,0.584,0.032
"basal cell","CL:0000646","Tmem51",1.21496210030288e-177,2.83584303831696e-173,2.58269420880033,0.839,0.314
"basal cell","CL:0000646","Chadl",3.6088582450415e-177,8.42343602975136e-173,3.82862003912838,0.657,0.083
"basal cell","CL:0000646","Akap2",8.61750353982351e-174,2.01141150123021e-169,2.21985389737902,0.835,0.295
"basal cell","CL:0000646","Cald1",2.64147439258448e-173,6.16546537973143e-169,1.68932311433903,0.946,0.567
"basal cell","CL:0000646","Ncl",7.87772057654383e-173,1.8387387597711e-168,1.24474271627334,0.993,0.971
"basal cell","CL:0000646","Rbpms",1.61415163021537e-171,3.7675913200857e-167,2.27752547840013,0.897,0.56
"basal cell","CL:0000646","Sorbs1",1.51041754639727e-168,3.52546559504586e-164,3.04375414312738,0.692,0.126
"basal cell","CL:0000646","Dusp6",3.04965567517399e-167,7.11820131142361e-163,1.97992583109395,0.952,0.511
"basal cell","CL:0000646","Synpo",6.15533465905637e-165,1.43671666277035e-160,2.53552359630898,0.779,0.233
"basal cell","CL:0000646","Srm",3.53303256023009e-164,8.24645129883306e-160,1.93786304704933,0.911,0.608
"basal cell","CL:0000646","1300014I06Rik",3.78368424313043e-164,8.83149739189074e-160,2.2447155231488,0.878,0.396
"basal cell","CL:0000646","Eif5a",1.22132514884495e-162,2.85069502991901e-158,0.907161631792878,0.99,0.99
"basal cell","CL:0000646","Krt15",8.1244511371486e-162,1.89632813992185e-157,6.82223452913898,0.725,0.29
