"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"pancreatic A cell","CL:0000171","Irx2",3.7346745656279e-206,8.71710390363207e-202,4.49953402100106,0.828,0.06
"pancreatic A cell","CL:0000171","Pappa2",5.22431535059073e-203,1.21940744598138e-198,3.63252449561264,0.974,0.181
"pancreatic A cell","CL:0000171","Gcg",1.17732669882111e-201,2.74799824771835e-197,5.91254185593521,1,0.481
"pancreatic A cell","CL:0000171","Mafb",6.68437659283204e-192,1.56020034053293e-187,3.27626162481253,0.982,0.225
"pancreatic A cell","CL:0000171","Ttr",3.47823427916063e-187,8.11854663098883e-183,4.86130626135546,1,0.712
"pancreatic A cell","CL:0000171","Sfrp5",3.79992522246773e-184,8.86940546176193e-180,3.37053386458212,0.987,0.281
"pancreatic A cell","CL:0000171","Edn3",1.62772274629822e-182,3.79926766213468e-178,4.31371916251016,0.756,0.052
"pancreatic A cell","CL:0000171","Tmsb15b2",7.25528273696738e-182,1.69345554363556e-177,3.77906318032936,0.987,0.395
"pancreatic A cell","CL:0000171","Ndst4",1.50533075816094e-180,3.51359252262346e-176,3.39402027701254,0.854,0.097
"pancreatic A cell","CL:0000171","Arx",7.17681465860963e-179,1.67514030946607e-174,3.11320123022398,0.823,0.076
"pancreatic A cell","CL:0000171","C8b",6.55820825139176e-175,1.53075138795735e-170,3.22953771943948,0.972,0.267
"pancreatic A cell","CL:0000171","Higd1a",3.87362813612567e-168,9.04143543253093e-164,3.31143491856397,0.923,0.223
"pancreatic A cell","CL:0000171","Ctxn2",9.37093847391618e-167,2.18727074919677e-162,3.1751562963969,0.818,0.101
"pancreatic A cell","CL:0000171","Irx1",9.63706727670896e-165,2.24938787305664e-160,2.65984503699996,0.603,0.013
"pancreatic A cell","CL:0000171","Kcnk3",3.74197019217474e-162,8.73413262555506e-158,2.73759251958054,0.921,0.172
"pancreatic A cell","CL:0000171","Pdk4",2.20621991491004e-160,5.14953790339152e-156,4.07447794584465,0.71,0.061
"pancreatic A cell","CL:0000171","Gpx3",2.32518897001137e-159,5.42722357490353e-155,2.79195286038781,1,0.503
"pancreatic A cell","CL:0000171","Tmsb15l",2.66107675093547e-159,6.21121924435849e-155,3.53620998233021,0.89,0.209
"pancreatic A cell","CL:0000171","Hhatl",2.69391626096917e-152,6.28786994472813e-148,5.26710657270984,0.577,0.018
"pancreatic A cell","CL:0000171","Cryba2",3.11216692348799e-149,7.26410881611333e-145,3.2772808868458,0.91,0.27
"pancreatic A cell","CL:0000171","Oxtr",1.04551328493779e-148,2.44033255837329e-144,3.31166523246931,0.785,0.115
"pancreatic A cell","CL:0000171","Mamld1",4.42866489814101e-148,1.03369467387509e-143,3.49926104216374,0.708,0.07
"pancreatic A cell","CL:0000171","1700086L19Rik",1.15783334060763e-146,2.70249880031228e-142,2.7170888387376,0.987,0.464
"pancreatic A cell","CL:0000171","Gnas",4.32527001237723e-146,1.00956127358897e-141,2.13711303394978,1,0.939
"pancreatic A cell","CL:0000171","Pcsk1n",2.81296302911582e-145,6.56573700625923e-141,2.09307697129443,1,0.576
"pancreatic A cell","CL:0000171","Slc7a2",2.44524434478027e-144,5.70744482515163e-140,2.64198546480002,1,0.508
"pancreatic A cell","CL:0000171","Gfra3",1.60166839966595e-143,3.7384542116603e-139,5.98431414263528,0.526,0.011
"pancreatic A cell","CL:0000171","Etv1",5.08859138255623e-142,1.18772811460245e-137,2.2389943148982,0.997,0.313
"pancreatic A cell","CL:0000171","Gm20554",1.25003332878012e-141,2.91770279270568e-137,4.16146417323837,0.646,0.057
"pancreatic A cell","CL:0000171","Tmsb15b1",2.5944969656644e-141,6.05581536755727e-137,3.04222329341945,0.867,0.226
"pancreatic A cell","CL:0000171","Gria2",9.11686496043266e-137,2.12796745041459e-132,2.43826045170167,0.933,0.233
