"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"epidermal cell","CL:0000362","Acer1",0,0,7.09150565219175,0.779,0.019
"epidermal cell","CL:0000362","Elovl4",0,0,5.85746875530713,0.862,0.04
"epidermal cell","CL:0000362","Krt77",3.41466672772076e-265,7.97017360917302e-261,6.72668920322842,0.848,0.068
"epidermal cell","CL:0000362","Tmprss4",1.35440686628469e-247,3.16132106659509e-243,4.96887655409037,0.88,0.089
"epidermal cell","CL:0000362","Skint6",1.79217360150084e-243,4.18311240326311e-239,5.19969968960352,0.627,0.017
"epidermal cell","CL:0000362","Krt1",5.88364362384801e-241,1.37330125824236e-236,6.93509988556291,0.92,0.127
"epidermal cell","CL:0000362","Ptgs1",3.24464284142785e-221,7.57332085617673e-217,5.00653736898774,0.844,0.099
"epidermal cell","CL:0000362","Mt4",1.38650134997441e-215,3.23623280097527e-211,6.12811440339391,0.721,0.058
"epidermal cell","CL:0000362","Grhl3",2.56358338154153e-210,5.98365997085607e-206,5.3545830537218,0.58,0.022
"epidermal cell","CL:0000362","Ly6g6e",1.19881896833164e-203,2.79816335398288e-199,4.74508192374746,0.623,0.033
"epidermal cell","CL:0000362","Lipm",4.70213905176376e-200,1.09752627607218e-195,4.66042231733332,0.562,0.022
"epidermal cell","CL:0000362","Krtdap",9.79852734882564e-190,2.28707426848939e-185,6.28362526449041,0.797,0.114
"epidermal cell","CL:0000362","Npl",5.95471849531917e-188,1.38989084399245e-183,4.30785486407765,0.732,0.076
"epidermal cell","CL:0000362","Zfp750",2.51341536308441e-182,5.86656279897533e-178,3.38384631059983,0.928,0.166
"epidermal cell","CL:0000362","Pla2g4f",4.53470475427205e-180,1.05844543669464e-175,4.55994551012182,0.605,0.042
"epidermal cell","CL:0000362","Gm94",2.2159968876549e-177,5.1723583354753e-173,6.21543282110847,0.522,0.025
"epidermal cell","CL:0000362","Cyp4f39",6.24434951194204e-162,1.45749361958239e-157,5.20731577780538,0.417,0.01
"epidermal cell","CL:0000362","Abca12",3.50439333332155e-158,8.17960447930583e-154,3.56947030452486,0.576,0.045
"epidermal cell","CL:0000362","Krt10",1.01388105375821e-157,2.36649976757703e-153,6.98472327654158,0.96,0.396
"epidermal cell","CL:0000362","Ly6g6c",1.11758496547087e-155,2.60855506790555e-151,5.111342502096,0.688,0.089
"epidermal cell","CL:0000362","Dsg1a",1.14301588658501e-146,2.66791338087808e-142,3.32978275981073,0.946,0.297
"epidermal cell","CL:0000362","Hpgds",4.89096731657035e-145,1.14160068136069e-140,5.59055016225282,0.558,0.054
"epidermal cell","CL:0000362","Ephx3",1.15980389500867e-144,2.70709827133973e-140,4.65643468556434,0.362,0.007
"epidermal cell","CL:0000362","Sult2b1",1.73626088370676e-142,4.05260652865995e-138,4.10277096815208,0.612,0.071
"epidermal cell","CL:0000362","Ly6d",8.02716985160256e-140,1.87362171506255e-135,2.74551298760806,0.986,0.4
"epidermal cell","CL:0000362","Gsta2",6.00560390640243e-138,1.40176800779339e-133,4.33582933696228,0.351,0.007
"epidermal cell","CL:0000362","Gltp",1.17721832102899e-137,2.74774528311375e-133,3.01367139423327,0.993,0.547
"epidermal cell","CL:0000362","Calm4",2.92856942395535e-136,6.83557389245418e-132,3.67737317109633,0.938,0.318
"epidermal cell","CL:0000362","Metrnl",3.47162953402162e-135,8.10313049535987e-131,3.46804412313867,0.645,0.089
"epidermal cell","CL:0000362","Gpr115",4.00645536379813e-134,9.35146746464121e-130,2.72872361634795,0.768,0.133
"epidermal cell","CL:0000362","Mall",1.68406641994122e-133,3.9307794307848e-129,2.63178895139991,0.703,0.107
"epidermal cell","CL:0000362","Oas1f",2.04035972909025e-132,4.76240364366956e-128,2.69070806132579,0.844,0.182
"epidermal cell","CL:0000362","4833423E24Rik",5.46090866692529e-130,1.27463069194703e-125,3.68520814569922,0.493,0.04
"epidermal cell","CL:0000362","Tprg",1.32735926537618e-129,3.09818926131453e-125,4.06451421841866,0.409,0.021
"epidermal cell","CL:0000362","Niacr1",4.9084958799683e-129,1.1456920233434e-124,3.40749185999418,0.609,0.079
"epidermal cell","CL:0000362","Aldh3b2",2.3609434412132e-128,5.51067808613574e-124,2.67107328079175,0.891,0.238
"epidermal cell","CL:0000362","Fabp5",3.36328183277154e-127,7.85023612587206e-123,4.52211588214268,0.736,0.155
"epidermal cell","CL:0000362","Clca5",6.53654017246345e-125,1.52569384165469e-120,2.47554444706848,0.862,0.204
"epidermal cell","CL:0000362","Clca2",6.91002289120174e-119,1.6128684430354e-114,2.64556421022168,0.953,0.324
"epidermal cell","CL:0000362","Rarres1",1.26628811097008e-118,2.95564307981527e-114,2.79432065037864,0.728,0.135
"epidermal cell","CL:0000362","Ankrd35",1.65948913061404e-117,3.87341357976623e-113,3.23127494143904,0.576,0.076
"epidermal cell","CL:0000362","Rab25",8.55661729790029e-117,1.99720004350291e-112,2.4409782253084,0.986,0.479
"epidermal cell","CL:0000362","Nat8l",6.69703649310731e-115,1.56315528785618e-110,3.39200686854707,0.409,0.028
"epidermal cell","CL:0000362","Skint1",4.49962284932988e-113,1.05025696926209e-108,2.5872142995196,0.652,0.107
"epidermal cell","CL:0000362","Spink5",5.10696894775392e-106,1.19201762209524e-101,3.61939830840792,0.522,0.071
"epidermal cell","CL:0000362","Ggct",1.93142043483278e-105,4.50812843694319e-101,3.14023210295819,0.699,0.157
"epidermal cell","CL:0000362","Dsg1b",4.75473656046219e-104,1.10980306057748e-99,2.65702302685735,0.543,0.075
"epidermal cell","CL:0000362","Me1",2.70385494685723e-103,6.31106783145947e-99,3.34322877760783,0.601,0.106
"epidermal cell","CL:0000362","Acsl1",9.30334913179777e-103,2.17149472085292e-98,2.79840421644562,0.739,0.18
"epidermal cell","CL:0000362","Krt78",1.57797459000591e-102,3.6831504905328e-98,5.93976955291288,0.264,0.006
"epidermal cell","CL:0000362","Il34",8.41802722209372e-102,1.96485173390889e-97,2.53117049441355,0.786,0.204
"epidermal cell","CL:0000362","D7Ertd443e",9.36847779997623e-102,2.18669640329245e-97,4.46013979681085,0.261,0.005
"epidermal cell","CL:0000362","Casp14",1.10390754503136e-101,2.57663060085769e-97,3.27166270377397,0.493,0.061
"epidermal cell","CL:0000362","Ankrd22",2.22700365560519e-101,5.19804923254808e-97,2.3883282757385,0.681,0.136
"epidermal cell","CL:0000362","Rhbg",7.03409497832336e-101,1.64182810889046e-96,2.67674565534505,0.536,0.075
"epidermal cell","CL:0000362","Paqr5",2.99172181979558e-100,6.98297789958486e-96,2.3393003024254,0.779,0.197
"epidermal cell","CL:0000362","Aim1l",4.122494282735e-100,9.62231390533177e-96,1.9248576865269,0.906,0.289
"epidermal cell","CL:0000362","Ovol1",5.76733349844915e-100,1.34615331187302e-95,3.52276352766994,0.598,0.109
"epidermal cell","CL:0000362","Ccr4",9.5624383016914e-100,2.23196872399779e-95,3.44869191398884,0.388,0.031
"epidermal cell","CL:0000362","Plbd1",2.43831093152132e-99,5.69126154526392e-95,2.1157484158863,0.938,0.322
"epidermal cell","CL:0000362","Mettl7a1",6.24333856511011e-99,1.45725765448235e-94,2.44809410457114,0.75,0.184
"epidermal cell","CL:0000362","Notch3",2.64072948790187e-98,6.16372669771176e-94,2.14322812413707,0.601,0.105
"epidermal cell","CL:0000362","Slc24a3",3.4186035370655e-98,7.97936251586459e-94,2.42396589614027,0.699,0.147
"epidermal cell","CL:0000362","Pkib",2.78294067055596e-97,6.49566181914468e-93,2.56660277342344,0.692,0.153
"epidermal cell","CL:0000362","Ghr",3.67470598023162e-92,8.57713122845863e-88,2.33502522060587,0.623,0.122
"epidermal cell","CL:0000362","Cyp3a13",6.34681993401897e-92,1.48141124079937e-87,3.11958553755568,0.467,0.062
"epidermal cell","CL:0000362","Il6ra",2.44697777880784e-86,5.71149083351538e-82,1.81449285620323,0.88,0.297
"epidermal cell","CL:0000362","Itm2b",7.49811984439085e-86,1.75013615287927e-81,1.34258521551944,1,0.999
"epidermal cell","CL:0000362","Tmem45a",1.84348524041048e-84,4.30287889964209e-80,1.88451483197238,0.96,0.615
"epidermal cell","CL:0000362","Slco3a1",1.15796913624901e-83,2.70281576091881e-79,2.04798104332741,0.913,0.422
"epidermal cell","CL:0000362","Chit1",2.25163104822351e-82,5.2555320296585e-78,1.71144052649564,0.826,0.246
"epidermal cell","CL:0000362","Nipal4",4.07341918315977e-81,9.50776771541323e-77,2.38348338867894,0.511,0.089
"epidermal cell","CL:0000362","Ddr2",9.93707027564437e-81,2.31941157303815e-76,4.22546520559852,0.333,0.032
"epidermal cell","CL:0000362","Bbox1",1.12717561239872e-80,2.63094059689986e-76,2.02876275928401,0.841,0.306
"epidermal cell","CL:0000362","Lgals7",1.72033890862669e-80,4.01544304662556e-76,1.00728829980835,1,0.997
"epidermal cell","CL:0000362","Lgals3",2.3530528872656e-80,5.49226074416664e-76,1.25284721725979,1,0.975
"epidermal cell","CL:0000362","Tacstd2",5.20519823051364e-80,1.21494531898419e-75,1.76417522487661,0.993,0.606
"epidermal cell","CL:0000362","Ikzf2",6.8272923278556e-80,1.59355830224477e-75,1.82184329653177,0.804,0.247
"epidermal cell","CL:0000362","Prom2",7.46690404139674e-80,1.74285007230241e-75,1.73475226599322,0.797,0.245
