"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"B cell","CL:0000236","Cd74",8.95908161246981e-194,2.09113923916658e-189,9.43279410200643,0.985,0.342
"B cell","CL:0000236","H2-Ab1",1.09544821329882e-189,2.55688567466078e-185,10.0172040684753,0.977,0.292
"B cell","CL:0000236","H2-Aa",5.5785631568929e-189,1.30209242645037e-184,9.5251302626554,0.975,0.272
"B cell","CL:0000236","H2-Eb1",3.98402626495319e-188,9.29911570502725e-184,8.9570196270974,0.968,0.18
"B cell","CL:0000236","Cd79a",2.25178694395081e-185,5.25589590587558e-181,10.0364698238195,0.957,0.095
"B cell","CL:0000236","Cd79b",8.39437615487852e-178,1.95933133831019e-173,7.10976705331985,0.944,0.12
"B cell","CL:0000236","Ly6d",9.51723379177177e-172,2.22141753933745e-167,8.6400182230957,0.928,0.138
"B cell","CL:0000236","Ms4a1",1.24867997592467e-163,2.91454393180577e-159,10.0717937222646,0.894,0.045
"B cell","CL:0000236","H2-DMb2",6.16668580696373e-162,1.43936613420341e-157,10.0671349981909,0.886,0.035
"B cell","CL:0000236","Cd19",4.32029222481762e-152,1.00839940819468e-147,9.97887805988104,0.858,0.038
"B cell","CL:0000236","Faim3",8.33402186934418e-149,1.94524404452362e-144,10.5421750684201,0.85,0.05
"B cell","CL:0000236","Unc93b1",1.1079442336907e-117,2.58605263585746e-113,5.08807516869829,0.806,0.17
"B cell","CL:0000236","Bank1",4.03304376254668e-117,9.4135274461602e-113,8.43948837979793,0.733,0.013
"B cell","CL:0000236","Syk",1.89835640277588e-115,4.43095367971917e-111,4.69178646854138,0.781,0.07
"B cell","CL:0000236","Mef2c",8.647328519954e-114,2.01837294984246e-109,5.96875959447742,0.757,0.08
"B cell","CL:0000236","Ly86",5.09662397848915e-112,1.18960300281915e-107,8.39813601828821,0.736,0.072
"B cell","CL:0000236","H2-Ob",1.69364810307909e-111,3.95314403739691e-107,4.36401948460828,0.8,0.15
"B cell","CL:0000236","Cd22",1.23468213580011e-107,2.88187157317103e-103,7.06509570383181,0.702,0.018
"B cell","CL:0000236","Napsa",1.71855586625001e-106,4.01128124741415e-102,5.20866076865651,0.732,0.065
