"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"immature T cell","CL:0002420","Tcf7",1.57055130580502e-34,3.66582380287949e-30,3.42283635148361,0.969,0.292
"immature T cell","CL:0002420","Satb1",7.10516583203646e-32,1.65841675685563e-27,3.11788599508661,0.98,0.514
"immature T cell","CL:0002420","Ccr9",3.58772859906933e-24,8.37411732308771e-20,4.86011421575367,0.771,0.139
"immature T cell","CL:0002420","Lat",1.59945930688625e-23,3.73329796820319e-19,2.24331433990316,0.926,0.486
"immature T cell","CL:0002420","Lck",5.41814776420942e-23,1.26464986964412e-18,1.84832254304133,0.975,0.569
"immature T cell","CL:0002420","Cd8b1",2.32823498442325e-21,5.43433327714231e-17,3.07205104496683,0.757,0.125
"immature T cell","CL:0002420","Cd8a",1.01337073926736e-20,2.36530864252395e-16,3.47250534996366,0.722,0.111
"immature T cell","CL:0002420","Cd4",4.22059063257938e-20,9.85128059550354e-16,3.72135361032394,0.738,0.167
"immature T cell","CL:0002420","Bcl11b",9.71394052892855e-19,2.26733085885721e-14,3.17501768097014,0.806,0.319
"immature T cell","CL:0002420","Ldhb",2.24462062322452e-18,5.23916899666834e-14,3.1285742643801,0.72,0.167
"immature T cell","CL:0002420","Ramp1",2.78072082956943e-18,6.49048048829801e-14,2.58624115159895,0.754,0.194
"immature T cell","CL:0002420","Cd27",3.79139311950849e-18,8.84949068024476e-14,2.74906468358208,0.804,0.319
"immature T cell","CL:0002420","Dntt",1.02750612255891e-15,2.39830204066474e-11,3.48469590361115,0.624,0.111
"immature T cell","CL:0002420","Themis",1.1404647116994e-15,2.66195868357757e-11,3.43995880177787,0.619,0.083
"immature T cell","CL:0002420","Smc4",9.90049374424226e-15,2.31087424484358e-10,2.16027290734664,0.742,0.292
"immature T cell","CL:0002420","Nsg2",1.63308418324216e-14,3.81178179210551e-10,2.0488533212201,0.585,0.056
"immature T cell","CL:0002420","Sh2d1a",4.33226132549938e-14,1.01119311598481e-09,3.31136271838588,0.601,0.125
"immature T cell","CL:0002420","Sox4",6.23738019375687e-14,1.45586691102479e-09,3.39777414273974,0.614,0.139
"immature T cell","CL:0002420","Lef1",7.453750659512e-14,1.7397799414367e-09,2.50875556815224,0.677,0.194
"immature T cell","CL:0002420","Rag1",3.55012924452578e-13,8.28635666964761e-09,3.73568302887357,0.536,0.069
"immature T cell","CL:0002420","Sept1",5.69468234228907e-13,1.32919580551369e-08,1.48806453843405,0.906,0.611
"immature T cell","CL:0002420","Stmn1",6.16834079341664e-13,1.43975242459138e-08,4.01719458692957,0.582,0.153
"immature T cell","CL:0002420","Camk4",7.56245845499986e-13,1.76515342798152e-08,2.52076716105814,0.659,0.194
