"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"basal cell of epidermis","CL:0002187","Igfbp2",4.11970392278574e-123,9.6158009261742e-119,2.40226571593496,0.996,0.83
"basal cell of epidermis","CL:0002187","Col17a1",1.04291419333072e-115,2.43426601865322e-111,3.70032690738528,0.95,0.467
"basal cell of epidermis","CL:0002187","Krt5",1.24413255116877e-115,2.90392978768303e-111,2.21167997987328,0.998,0.906
"basal cell of epidermis","CL:0002187","Lamb3",1.30482095396267e-108,3.04558258864428e-104,3.71271129669535,0.925,0.3
"basal cell of epidermis","CL:0002187","Fth1",1.8015701299264e-102,4.20504484026121e-98,1.63424128165201,0.996,1
"basal cell of epidermis","CL:0002187","Moxd1",2.41862147385171e-98,5.64530438211727e-94,2.98587931766517,0.94,0.461
"basal cell of epidermis","CL:0002187","Igfbp7",5.58411652072045e-98,1.30338863710136e-93,3.65926361625119,0.891,0.427
"basal cell of epidermis","CL:0002187","Itgb4",1.7363257275901e-93,4.05275788076804e-89,2.88559884617329,0.932,0.555
"basal cell of epidermis","CL:0002187","S100a6",3.70345151159744e-90,8.64422617321958e-86,1.89937165545592,0.998,0.961
"basal cell of epidermis","CL:0002187","Cbr2",1.50332532019645e-88,3.50891162987053e-84,2.70921749985274,0.888,0.324
"basal cell of epidermis","CL:0002187","Ptrf",6.90486658091313e-84,1.61166490865093e-79,1.896629488864,0.989,0.976
"basal cell of epidermis","CL:0002187","Ccnd2",1.07467036464352e-83,2.50838809811443e-79,2.6919963295056,0.929,0.552
"basal cell of epidermis","CL:0002187","Crip1",1.91958745782195e-82,4.48050908530222e-78,1.80197927498369,0.995,0.973
"basal cell of epidermis","CL:0002187","Wfdc2",4.32187556466646e-82,1.0087689755488e-77,4.49107106005762,0.772,0.197
"basal cell of epidermis","CL:0002187","Wnt10a",1.35827244754278e-80,3.17034371980959e-76,2.72295114374312,0.84,0.264
"basal cell of epidermis","CL:0002187","Krt15",1.46984154766595e-78,3.43075715640709e-74,2.4710031330333,0.937,0.694
"basal cell of epidermis","CL:0002187","Serpinh1",1.36151935365465e-75,3.17792232336532e-71,2.78715919454129,0.79,0.212
"basal cell of epidermis","CL:0002187","Itgb1",6.23249835145592e-75,1.45472744021333e-70,2.37222200919323,0.952,0.67
"basal cell of epidermis","CL:0002187","S100a10",7.56235680554581e-75,1.76512970198245e-70,1.28414285510431,0.996,0.964
"basal cell of epidermis","CL:0002187","Stmn1",9.12405115668756e-75,2.12964478048244e-70,3.24316445731401,0.872,0.494
"basal cell of epidermis","CL:0002187","Cav1",8.58499049746733e-74,2.00382263201385e-69,3.86139721318481,0.75,0.218
"basal cell of epidermis","CL:0002187","Slc6a6",6.49327052391054e-72,1.51559427298596e-67,2.97972449822799,0.883,0.539
"basal cell of epidermis","CL:0002187","Tmsb4x",3.81307128042276e-71,8.90008967563476e-67,1.19789137741074,0.999,0.952
"basal cell of epidermis","CL:0002187","Gpc3",9.24413509560891e-71,2.15767357266608e-66,2.25639150199071,0.878,0.424
"basal cell of epidermis","CL:0002187","Pltp",4.94881038706859e-70,1.15510183244568e-65,3.28244695953914,0.773,0.279
"basal cell of epidermis","CL:0002187","Jag2",1.22637061569169e-69,2.86247165408597e-65,3.81790795977054,0.666,0.076
"basal cell of epidermis","CL:0002187","Itga3",2.17132331646212e-69,5.06808575295423e-65,3.52572631157896,0.726,0.158
"basal cell of epidermis","CL:0002187","Ptn",3.44238185691122e-69,8.03486349221648e-65,4.03288982796204,0.708,0.182
"basal cell of epidermis","CL:0002187","Hmgb1",3.96650121028618e-68,9.25821047492897e-64,1.60701259101394,0.995,0.994
"basal cell of epidermis","CL:0002187","Serpinb6a",1.09485132593032e-64,2.55549247985395e-60,2.51552061036401,0.867,0.527
"basal cell of epidermis","CL:0002187","5730469M10Rik",1.94506339399133e-64,4.53997246791517e-60,3.00609837572052,0.809,0.448
"basal cell of epidermis","CL:0002187","Bcam",1.10315645365063e-63,2.57487747846595e-59,2.00975904390763,0.907,0.703
"basal cell of epidermis","CL:0002187","Antxr1",1.26939590879226e-63,2.96289699071201e-59,2.76709209994048,0.718,0.158
"basal cell of epidermis","CL:0002187","Itga6",2.04933634365431e-62,4.78335595972353e-58,2.20261291072059,0.903,0.594
"basal cell of epidermis","CL:0002187","Ppic",5.39132345460999e-62,1.25838880754052e-57,2.26303230091465,0.829,0.433
"basal cell of epidermis","CL:0002187","Pdlim1",8.42601420125273e-57,1.9667159747144e-52,1.15028112821128,0.985,0.973
"basal cell of epidermis","CL:0002187","Dkk3",1.17008653656518e-56,2.73109898499679e-52,2.40899087178585,0.762,0.273
"basal cell of epidermis","CL:0002187","Ifitm3",2.97654861051837e-56,6.94756211181094e-52,1.73807436391324,0.916,0.621
"basal cell of epidermis","CL:0002187","Tspo",4.00770275454418e-56,9.35437899938158e-52,1.10766235720285,0.992,0.909
"basal cell of epidermis","CL:0002187","Serpinb10-ps",5.31880107903677e-56,1.24146135985797e-51,2.15629647593992,0.823,0.373
"basal cell of epidermis","CL:0002187","Ccdc3",8.29882333691399e-56,1.93702835506909e-51,1.96528308599086,0.909,0.615
"basal cell of epidermis","CL:0002187","Sox4",9.07907621061717e-56,2.11914717832015e-51,2.06675038470173,0.844,0.427
"basal cell of epidermis","CL:0002187","Calm2",9.85544860984528e-55,2.30036026002399e-50,1.44222585836543,0.998,0.985
"basal cell of epidermis","CL:0002187","Ccni",1.06584394077134e-54,2.48778634215439e-50,1.76164579949724,0.929,0.709
"basal cell of epidermis","CL:0002187","Sod1",2.40283180018334e-54,5.60844970480793e-50,1.43313543034306,0.997,0.936
"basal cell of epidermis","CL:0002187","Ltbp1",7.69611833953057e-54,1.79635098162983e-49,2.91279452313869,0.75,0.327
"basal cell of epidermis","CL:0002187","Rpl18a",3.54683419165563e-53,8.27866568674341e-49,0.568081025850528,1,1
"basal cell of epidermis","CL:0002187","Prkcdbp",2.29289959664005e-51,5.35185694851754e-47,2.16700706105539,0.795,0.436
"basal cell of epidermis","CL:0002187","Nfib",1.07500658137999e-50,2.50917286159904e-46,1.64087757155952,0.943,0.697
"basal cell of epidermis","CL:0002187","Igfbp3",1.57703793685483e-50,3.68096424841285e-46,2.69401984251187,0.69,0.218
"basal cell of epidermis","CL:0002187","Gas1",1.61127340126628e-50,3.76087324589563e-46,2.79902474922753,0.753,0.37
"basal cell of epidermis","CL:0002187","Ugdh",2.02622454819234e-50,4.72941071793573e-46,2.29035752875114,0.808,0.455
"basal cell of epidermis","CL:0002187","Procr",1.50410898337916e-49,3.51074077810529e-45,2.33689697372435,0.689,0.23
"basal cell of epidermis","CL:0002187","Morf4l1",3.05599720814776e-49,7.1330030835377e-45,1.59469303967504,0.961,0.776
"basal cell of epidermis","CL:0002187","Gyltl1b",9.75982043501657e-49,2.27803968773722e-44,2.56157777408708,0.651,0.185
"basal cell of epidermis","CL:0002187","Oat",4.23113082771425e-48,9.87588246496784e-44,1.5081908186595,0.933,0.733
"basal cell of epidermis","CL:0002187","Ltbp4",6.04463817450853e-48,1.41087899631204e-43,2.03861338716665,0.848,0.518
