"cell_ontology_class","cell_ontology_id","gene","p_val","p_val_adj","avg_log2FC","pct.1","pct.2"
"endothelial cell","CL:0000115","Cdh5",7.16292492915332e-235,1.67189830771368e-230,7.31731834765306,0.982,0.022
"endothelial cell","CL:0000115","Emcn",3.16554090588944e-222,7.38868902843654e-218,8.70885988734376,0.947,0.023
"endothelial cell","CL:0000115","Eltd1",3.36303372214399e-222,7.84965701085628e-218,9.24981195801787,0.92,0.019
"endothelial cell","CL:0000115","Tie1",2.70947679959201e-218,6.32418979792771e-214,8.19550772502774,0.92,0.021
"endothelial cell","CL:0000115","Robo4",2.18630622268242e-217,5.10305735436304e-213,8.74149091894955,0.832,0.009
"endothelial cell","CL:0000115","Ptprb",6.10429076585238e-209,1.4248025076576e-204,8.04586790990845,0.956,0.032
"endothelial cell","CL:0000115","Cyyr1",1.91434027631918e-208,4.46826163895659e-204,5.81755869214936,0.779,0.006
"endothelial cell","CL:0000115","Podxl",3.58509819968066e-205,8.36797770787463e-201,7.66618060871816,0.885,0.022
"endothelial cell","CL:0000115","Egfl7",5.41715528231834e-199,1.26441821444592e-194,7.64012941347176,0.965,0.041
"endothelial cell","CL:0000115","Kdr",5.35635007574303e-197,1.25022567117918e-192,7.67994597594,0.929,0.035
"endothelial cell","CL:0000115","Mmrn2",8.43953093235237e-190,1.96987091492037e-185,7.26321324550108,0.894,0.032
"endothelial cell","CL:0000115","Rasip1",2.53357496435877e-187,5.91361732430981e-183,6.98639201613298,0.929,0.041
"endothelial cell","CL:0000115","Flt1",8.19338566096624e-184,1.91241814712613e-179,8.368549751737,0.947,0.049
"endothelial cell","CL:0000115","Apold1",1.16857435304144e-183,2.72756939743403e-179,6.56696469016844,0.973,0.054
"endothelial cell","CL:0000115","Nos3",4.75039772009435e-177,1.10879033184722e-172,6.85119437859876,0.752,0.015
"endothelial cell","CL:0000115","Gpr116",1.2795442910656e-172,2.98658432977622e-168,6.3370444592633,0.991,0.07
"endothelial cell","CL:0000115","Gpihbp1",1.77805172072221e-168,4.15015052133771e-164,9.01637877372079,0.796,0.028
"endothelial cell","CL:0000115","Tcf15",7.85533724474829e-166,1.8335142662967e-161,6.00668175022828,0.743,0.019
"endothelial cell","CL:0000115","Unc45b",1.61222942831037e-164,3.76310470861924e-160,6.67453207661604,0.699,0.014
"endothelial cell","CL:0000115","Esam",4.05463749996281e-164,9.46392938866319e-160,6.98458889476425,0.956,0.07
"endothelial cell","CL:0000115","Sox7",4.71958129706555e-164,1.10159747054807e-159,7.31796380913896,0.894,0.051
"endothelial cell","CL:0000115","Grrp1",7.20715344837076e-163,1.68222168638422e-158,7.24093835832924,0.655,0.009
"endothelial cell","CL:0000115","Ushbp1",1.13672800746673e-155,2.65323684222809e-151,7.3004427028241,0.717,0.021
"endothelial cell","CL:0000115","Dll4",7.16685172089239e-154,1.67281486017349e-149,7.38719188727055,0.619,0.008
"endothelial cell","CL:0000115","Cd93",4.69229523830945e-148,1.09522863157381e-143,5.30559955896095,0.947,0.078
"endothelial cell","CL:0000115","Pecam1",3.82270531483086e-144,8.92257647534671e-140,6.96201368186233,1,0.117
"endothelial cell","CL:0000115","Tgtp1",1.09578962204884e-142,2.5576825568242e-138,6.12901005169622,0.752,0.035
"endothelial cell","CL:0000115","Flt4",2.11466342971141e-141,4.9358359112894e-137,5.92653000222047,0.637,0.016
"endothelial cell","CL:0000115","Myct1",8.09904627148893e-137,1.89039839022823e-132,5.69557462428151,0.54,0.006
"endothelial cell","CL:0000115","Cd300lg",2.11209670038539e-136,4.92984490836955e-132,6.86907977058721,0.858,0.07
"endothelial cell","CL:0000115","Sema7a",1.9154863116007e-134,4.4709365999072e-130,6.46011507340994,0.708,0.032
"endothelial cell","CL:0000115","Arhgef15",8.67106196044719e-134,2.02391257218798e-129,5.87740926004668,0.558,0.009
"endothelial cell","CL:0000115","Clic5",7.91581760619733e-133,1.84763098746252e-128,6.37657596837962,0.637,0.02
"endothelial cell","CL:0000115","C1qtnf9",1.56139808019656e-130,3.64445925898679e-126,6.94153915294356,0.531,0.007
"endothelial cell","CL:0000115","Icam2",4.01769991088099e-127,9.37771336198731e-123,6.13815356455854,0.779,0.056
"endothelial cell","CL:0000115","Ctla2a",1.12817346732764e-125,2.63326969008945e-121,4.32100177507251,0.814,0.062
"endothelial cell","CL:0000115","S1pr1",7.11383250783415e-123,1.66043964565357e-118,6.05047407916608,1,0.156
"endothelial cell","CL:0000115","Rasgrp3",1.48183300329025e-122,3.45874641297977e-118,5.87885707130044,0.628,0.025
"endothelial cell","CL:0000115","Cd38",6.54218789374119e-122,1.52701207627813e-117,5.67497728695331,0.673,0.034
"endothelial cell","CL:0000115","Pde2a",2.38591721917062e-118,5.56896938126614e-114,6.01086021885475,0.699,0.043
"endothelial cell","CL:0000115","Tinagl1",3.12400728135218e-118,7.29174539540413e-114,4.56423870091251,0.894,0.099
"endothelial cell","CL:0000115","Gimap5",2.04131633348506e-116,4.76463645398748e-112,5.33096870488837,0.655,0.034
"endothelial cell","CL:0000115","Gpr56",2.49595008688224e-113,5.82579709779183e-109,5.13756090499993,0.85,0.095
"endothelial cell","CL:0000115","Prkch",1.0744415278207e-112,2.50785397008629e-108,4.84397332074478,0.823,0.081
"endothelial cell","CL:0000115","Sox18",1.24728437046524e-112,2.91128644910293e-108,8.50041253459167,0.575,0.023
"endothelial cell","CL:0000115","Gimap4",2.36431885995267e-111,5.51855665101552e-107,4.66598637449081,0.611,0.028
"endothelial cell","CL:0000115","Pcdh17",1.41342399396968e-108,3.29907294432463e-104,4.93400036515372,0.681,0.046
"endothelial cell","CL:0000115","Pcp4l1",6.59581080885078e-107,1.53952820089386e-102,3.15033727748833,0.69,0.046
"endothelial cell","CL:0000115","Thrsp",1.20441143950976e-106,2.81121674095972e-102,5.06654367306622,0.531,0.019
"endothelial cell","CL:0000115","Gpr4",3.12818949642746e-106,7.30150710361133e-102,5.27415200420098,0.664,0.043
"endothelial cell","CL:0000115","Fabp4",3.52416899972349e-106,8.22576286225461e-102,6.38841623828932,0.796,0.09
"endothelial cell","CL:0000115","Arap3",1.68375099752225e-104,3.93004320331668e-100,4.93787586664714,0.549,0.023
"endothelial cell","CL:0000115","Palmd",2.42255192267003e-103,5.65447844270411e-99,5.12985720095434,0.752,0.07
"endothelial cell","CL:0000115","Gimap6",8.54898461738905e-103,1.99541849954478e-98,4.65393907257043,0.894,0.133
"endothelial cell","CL:0000115","Ednrb",3.6860127570647e-102,8.60352237626471e-98,5.05413118328014,0.637,0.042
"endothelial cell","CL:0000115","Sox17",1.7195985004699e-101,4.0137148599468e-97,7.71772106475904,0.478,0.014
"endothelial cell","CL:0000115","Mcf2l",2.53323112700676e-101,5.91281477354648e-97,5.20869689943788,0.619,0.038
"endothelial cell","CL:0000115","Rbp7",7.15460933472565e-101,1.66995736481831e-96,6.4474516945377,0.434,0.008
"endothelial cell","CL:0000115","Afap1l1",3.51495864515204e-98,8.20426497364939e-94,6.60521595139555,0.522,0.023
"endothelial cell","CL:0000115","Fut2",1.29075186905433e-97,3.01274393755972e-93,5.72541565919869,0.451,0.011
"endothelial cell","CL:0000115","Slc9a3r2",1.83388346713699e-95,4.28046740064444e-91,5.30660037102516,0.938,0.192
"endothelial cell","CL:0000115","Ecscr",4.806477851442e-95,1.12187999530508e-90,5.24754074926468,0.699,0.069
"endothelial cell","CL:0000115","Dysf",1.37345076545539e-92,3.20577143164942e-88,4.4915054371386,0.646,0.051
"endothelial cell","CL:0000115","Rnd1",1.15045715212572e-91,2.68528203877664e-87,5.00621892592435,0.832,0.125
"endothelial cell","CL:0000115","Sh2d3c",4.94282844970063e-91,1.15370558844462e-86,5.13643077921073,0.619,0.049
"endothelial cell","CL:0000115","Shank3",6.09780470000692e-89,1.42328859502861e-84,4.88813049488049,0.496,0.023
"endothelial cell","CL:0000115","Tgtp2",3.41432141072362e-88,7.96936760477001e-84,5.21051986316923,0.69,0.074
"endothelial cell","CL:0000115","Btnl9",5.43744220494468e-88,1.26915338505614e-83,6.50402490268826,0.407,0.011
"endothelial cell","CL:0000115","Notch4",8.64762905484792e-87,2.01844309769205e-82,4.50235060910205,0.496,0.024
