"cell_ontology_class","number","file"
"bladder cell",1474,"droplet_Bladder_seurat_tiss.Robj"
"bladder urothelial cell",1194,"droplet_Bladder_seurat_tiss.Robj"
"endothelial cell",1096,"droplet_Bladder_seurat_tiss.Robj"
"leukocyte",617,"droplet_Bladder_seurat_tiss.Robj"
"endothelial cell",825,"droplet_Heart_and_Aorta_seurat_tiss.Robj"
"fibroblast",953,"droplet_Heart_and_Aorta_seurat_tiss.Robj"
"endocardial cell",949,"droplet_Heart_and_Aorta_seurat_tiss.Robj"
"cardiac muscle cell",909,"droplet_Heart_and_Aorta_seurat_tiss.Robj"
"kidney capillary endothelial cell",1599,"droplet_Kidney_seurat_tiss.Robj"
"kidney cell",1054,"droplet_Kidney_seurat_tiss.Robj"
"kidney collecting duct epithelial cell",824,"droplet_Kidney_seurat_tiss.Robj"
"kidney loop of Henle ascending limb epithelial cell",765,"droplet_Kidney_seurat_tiss.Robj"
"kidney proximal straight tubule epithelial cell",1042,"droplet_Kidney_seurat_tiss.Robj"
"leukocyte",615,"droplet_Kidney_seurat_tiss.Robj"
"macrophage",904,"droplet_Kidney_seurat_tiss.Robj"
"mesangial cell",1475,"droplet_Kidney_seurat_tiss.Robj"
"B cell",489,"droplet_Limb_Muscle_seurat_tiss.Robj"
"endothelial cell",646,"droplet_Limb_Muscle_seurat_tiss.Robj"
"macrophage",634,"droplet_Limb_Muscle_seurat_tiss.Robj"
"mesenchymal stem cell",654,"droplet_Limb_Muscle_seurat_tiss.Robj"
"skeletal muscle satellite cell",588,"droplet_Limb_Muscle_seurat_tiss.Robj"
"T cell",453,"droplet_Limb_Muscle_seurat_tiss.Robj"
"duct epithelial cell",280,"droplet_Liver_seurat_tiss.Robj"
"endothelial cell of hepatic sinusoid",1000,"droplet_Liver_seurat_tiss.Robj"
"hepatocyte",862,"droplet_Liver_seurat_tiss.Robj"
"leukocyte",857,"droplet_Liver_seurat_tiss.Robj"
"alveolar macrophage",1257,"droplet_Lung_seurat_tiss.Robj"
"B cell",494,"droplet_Lung_seurat_tiss.Robj"
"ciliated columnar cell of tracheobronchial tree",2190,"droplet_Lung_seurat_tiss.Robj"
"classical monocyte",922,"droplet_Lung_seurat_tiss.Robj"
"leukocyte",459,"droplet_Lung_seurat_tiss.Robj"
"lung endothelial cell",1140,"droplet_Lung_seurat_tiss.Robj"
"mast cell",443,"droplet_Lung_seurat_tiss.Robj"
"myeloid cell",756,"droplet_Lung_seurat_tiss.Robj"
"natural killer cell",701,"droplet_Lung_seurat_tiss.Robj"
"non-classical monocyte",913,"droplet_Lung_seurat_tiss.Robj"
"stromal cell",860,"droplet_Lung_seurat_tiss.Robj"
"T cell",530,"droplet_Lung_seurat_tiss.Robj"
"type II pneumocyte",727,"droplet_Lung_seurat_tiss.Robj"
"B cell",353,"droplet_Mammary_Gland_seurat_tiss.Robj"
"basal cell",1726,"droplet_Mammary_Gland_seurat_tiss.Robj"
"endothelial cell",1402,"droplet_Mammary_Gland_seurat_tiss.Robj"
"luminal epithelial cell of mammary gland",1293,"droplet_Mammary_Gland_seurat_tiss.Robj"
"macrophage",665,"droplet_Mammary_Gland_seurat_tiss.Robj"
"stromal cell",970,"droplet_Mammary_Gland_seurat_tiss.Robj"
"T cell",412,"droplet_Mammary_Gland_seurat_tiss.Robj"
"basophil",887,"droplet_Marrow_seurat_tiss.Robj"
"early pro-B cell",1070,"droplet_Marrow_seurat_tiss.Robj"
"erythroblast",166,"droplet_Marrow_seurat_tiss.Robj"
"Fraction A pre-pro B cell",1891,"droplet_Marrow_seurat_tiss.Robj"
"granulocyte",419,"droplet_Marrow_seurat_tiss.Robj"
"granulocytopoietic cell",375,"droplet_Marrow_seurat_tiss.Robj"
